coverage,errors,time,rsum,size
129,0,0.20801009999922826,3.809999,1
427,2,0.15101560000039171,3.5,1
398,0,0.48007050000160234,3.12,1
294,9,0.19933270000183256,3.7299990000000003,1
398,0,0.4799495000006573,3.12,1
134,7,0.19941990000006626,3.499999,1
399,0,0.38797059999706107,3.12,1
398,0,0.4917989999994461,3.12,1
398,0,0.29868250000072294,3.12,1
134,7,0.20348920000105863,3.499999,1
398,0,0.15031639999870094,3.12,1
134,7,0.2048145000007935,3.499999,1
398,0,0.47646309999981895,3.12,1
399,0,0.47809410000263597,3.12,1
325,1,0.33999080000285176,3.469999,2
398,0,0.1953735000024608,3.12,1
399,0,0.15346370000042953,3.12,1
398,0,0.19916079999893554,3.12,1
398,0,0.4838482000013755,3.12,1
134,7,0.1917648000016925,3.499999,1
398,0,0.3816136000023107,3.12,1
398,0,0.29273509999984526,3.12,1
131,2,1.0341035000019474,2.4299979999999994,3
398,0,0.4794316000006802,3.12,1
398,0,0.2009820999992371,3.12,1
129,0,0.5928616000019247,3.689998,2
398,0,0.29091260000132024,3.12,1
398,0,0.38246259999868926,3.12,1
398,0,0.20252340000297409,3.12,1
398,0,0.29835910000110744,3.12,1
134,7,0.1965395000006538,3.499999,1
398,0,0.4783208000008017,3.12,1
398,0,0.15013989999715704,3.12,1
399,0,0.1495238999996218,3.12,1
398,0,0.4818696000002092,3.12,1
398,0,0.206524500001251,3.12,1
398,0,0.196712100001605,3.12,1
398,0,0.3019610000010289,3.12,1
398,0,0.19999259999895003,3.12,1
398,0,0.19912729999850853,3.12,1
427,2,0.1609654000021692,3.5,1
129,0,0.5758811999985483,3.809999,1
427,2,0.1988517000027059,3.5,1
398,0,0.20124520000172197,3.12,1
211,2,0.5833553000011307,2.5700000000000003,2
398,0,0.15060970000195084,3.12,1
398,0,0.2933092999992368,3.12,1
398,0,0.29456220000065514,3.12,1
134,7,0.203515499997593,3.499999,1
398,0,0.19549629999892204,3.12,1
294,9,0.19494250000207103,3.7299990000000003,1
398,0,0.475228800001787,3.12,1
398,0,0.47641760000260547,3.12,1
398,0,0.20085699999981443,3.12,1
398,0,0.2867103999997198,3.12,1
398,0,0.4802288999999291,3.12,1
398,0,0.48510069999974803,3.12,1
134,7,0.20098270000016782,3.499999,1
294,9,0.2888794999998936,3.7299990000000003,1
267,0,0.2921736999996938,3.27,1
398,0,0.2881758000003174,3.12,1
134,7,0.19729860000006738,3.499999,1
398,0,0.4793771000004199,3.12,1
134,7,0.19657209999786573,3.499999,1
398,0,0.4863390000027721,3.12,1
398,0,0.29387710000082734,3.12,1
398,0,0.471466999999393,3.12,1
398,0,0.47578710000016144,3.12,1
398,0,0.1549167999983183,3.12,1
134,7,0.1959370000004128,3.499999,1
398,0,0.29228340000190656,3.12,1
398,0,0.2895740999992995,3.12,1
398,0,0.2951004999995348,3.12,1
398,0,0.19691100000272854,3.12,1
128,0,0.9229354999988573,3.199999,2
114,3,0.33837969999876805,3.8499980000000003,2
129,0,0.1958612999987963,3.809999,1
78,0,0.9721587999993062,2.309998,2
134,7,0.1997324000003573,3.499999,1
426,3,0.40077689999816357,3.969999,1
398,0,0.3069962999979907,3.12,1
398,0,0.20344000000113738,3.12,1
134,7,0.1988006999999925,3.499999,1
399,0,0.29503249999834225,3.12,1
398,0,0.29553909999958705,3.12,1
398,0,0.47382199999992736,3.12,1
294,9,0.19474789999731001,3.7299990000000003,1
398,0,0.3871995999979845,3.12,1
398,0,0.4809262000017043,3.12,1
398,0,0.3859738999999536,3.12,1
294,9,0.29363179999927524,3.7299990000000003,1
398,0,0.4793571999980486,3.12,1
294,9,0.19492589999936172,3.7299990000000003,1
398,0,0.2942691000025661,3.12,1
398,0,0.48734179999883054,3.12,1
398,0,0.47685490000003483,3.12,1
461,9,0.3851247999991756,3.8799989999999998,1
398,0,0.48162070000034873,3.12,1
398,0,0.4804595000023255,3.12,1
398,0,0.4754995000002964,3.12,1
398,0,0.29223450000063167,3.12,1
398,0,0.19416799999817158,3.12,1
165,0,0.2554152000011527,3.659998,2
398,0,0.19475030000103288,3.12,1
294,9,0.29748879999897326,3.7299990000000003,1
398,0,0.2857936000000336,3.12,1
398,0,0.15365810000002966,3.12,1
134,7,0.19158609999794862,3.499999,1
101,2,0.24581580000085523,3.469998,2
398,0,0.28632010000001173,3.12,1
427,2,0.1510889999990468,3.5,1
133,3,0.4822398999967845,3.039999,1
427,2,0.19814889999906882,3.5,1
134,7,0.19584689999828697,3.499999,1
134,7,0.1989030000004277,3.499999,1
134,7,0.19264250000196625,3.499999,1
129,9,0.8788634999982605,2.7999990000000006,2
398,0,0.19713169999886304,3.12,1
144,0,1.0269034999982978,3.2899969999999996,3
398,0,0.20075609999912558,3.12,1
293,0,0.34470040000087465,3.929999,1
398,0,0.4851157000011881,3.12,1
398,0,0.3891935999999987,3.12,1
427,2,0.15241860000242013,3.5,1
398,0,0.47821660000045085,3.12,1
427,2,0.14848930000152905,3.5,1
398,0,0.29105690000142204,3.12,1
398,0,0.37793949999831966,3.12,1
398,0,0.2866695000011532,3.12,1
398,0,0.3841867999981332,3.12,1
398,0,0.2888621999991301,3.12,1
73,2,0.24510589999772492,3.3799989999999998,2
294,9,0.1914245000007213,3.7299990000000003,1
427,2,0.15202789999966626,3.5,1
398,0,0.4768656000014744,3.12,1
398,0,0.14707140000246,3.12,1
398,0,0.2871128000006138,3.12,1
426,3,0.37601590000122087,3.969999,1
398,0,0.4735276999999769,3.12,1
398,0,0.47584920000008424,3.12,1
461,9,0.38538100000005215,3.8799989999999998,1
398,0,0.47505579999779,3.12,1
398,0,0.28587010000046575,3.12,1
