Explanation,Bounds
"['vconst_corr > 0.77', 'bckgrnd_vdc_eq <= 0.25', 'vconst_2 > 0.46', 'slm_corr <= 0.28', 'bckgrnd_vdc1 <= 0.45', 'vertical_decay_scale <= 0.26', 'tidal_mix_max > 0.48', 'convect_corr > 0.56', 'ah_bolus <= 0.76', 'vconst_3 <= 0.73']","[[0.770001 1.      ]
 [0.460001 1.      ]
 [0.       0.73    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.76    ]
 [0.       0.28    ]
 [0.       1.      ]
 [0.480001 1.      ]
 [0.       0.26    ]
 [0.560001 1.      ]
 [0.       0.45    ]
 [0.       1.      ]
 [0.       0.25    ]
 [0.       1.      ]
 [0.       1.      ]]"
"['vconst_corr > 0.77', 'vconst_2 > 0.71', 'slm_corr <= 0.28', 'bckgrnd_vdc1 <= 0.25', 'vconst_3 <= 0.26', 'Prandtl <= 0.50', 'bckgrnd_vdc_eq <= 0.75', 'bckgrnd_vdc_psim <= 0.28', 'convect_corr > 0.76', 'tidal_mix_max > 0.22', 'vconst_5 > 0.50']","[[0.770001 1.      ]
 [0.710001 1.      ]
 [0.       0.26    ]
 [0.       1.      ]
 [0.500001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.28    ]
 [0.       1.      ]
 [0.220001 1.      ]
 [0.       1.      ]
 [0.760001 1.      ]
 [0.       0.25    ]
 [0.       1.      ]
 [0.       0.75    ]
 [0.       0.28    ]
 [0.       0.5     ]]"
"['slm_corr <= 0.28', 'vconst_corr > 0.77', 'bckgrnd_vdc_eq <= 0.25', 'vconst_2 > 0.71', 'tidal_mix_max > 0.75', 'vconst_3 <= 0.26', 'bckgrnd_vdc_psim <= 0.28', 'Prandtl <= 0.50', 'bckgrnd_vdc1 <= 0.78', 'ah_bolus <= 0.51', 'vconst_5 > 0.26', 'ah_corr <= 0.72']","[[0.770001 1.      ]
 [0.710001 1.      ]
 [0.       0.26    ]
 [0.       1.      ]
 [0.260001 1.      ]
 [0.       1.      ]
 [0.       0.72    ]
 [0.       0.51    ]
 [0.       0.28    ]
 [0.       1.      ]
 [0.750001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.78    ]
 [0.       1.      ]
 [0.       0.25    ]
 [0.       0.28    ]
 [0.       0.5     ]]"
"['vconst_corr > 0.77', 'vconst_2 > 0.71', 'bckgrnd_vdc1 <= 0.25', 'bckgrnd_vdc_eq <= 0.25', 'slm_corr <= 0.28', 'Prandtl <= 0.23', 'vertical_decay_scale <= 0.26', 'bckgrnd_vdc_psim <= 0.48']","[[0.770001 1.      ]
 [0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.28    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.26    ]
 [0.       1.      ]
 [0.       0.25    ]
 [0.       1.      ]
 [0.       0.25    ]
 [0.       0.48    ]
 [0.       0.23    ]]"
['slm_corr > 0.52'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.520001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['vconst_corr <= 0.24'],"[[0.   0.24]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]]"
['bckgrnd_vdc1 > 0.78'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.780001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['vconst_corr <= 0.24'],"[[0.   0.24]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]]"
['vconst_corr <= 0.24'],"[[0.   0.24]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]]"
['vconst_corr <= 0.24'],"[[0.   0.24]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]]"
['bckgrnd_vdc_eq > 0.75'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.750001 1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['bckgrnd_vdc_eq > 0.25', 'tidal_mix_max <= 0.75']","[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.75    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.250001 1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['vconst_corr <= 0.77', 'Prandtl > 0.77']","[[0.       0.77    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.770001 1.      ]]"
['bckgrnd_vdc1 > 0.25'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.250001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['vconst_corr <= 0.77'],"[[0.   0.77]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]]"
['slm_corr > 0.52'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.520001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['slm_corr > 0.77'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.770001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['slm_corr > 0.52', 'bckgrnd_vdc_psim > 0.71']","[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.520001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.710001 1.      ]
 [0.       1.      ]]"
['bckgrnd_vdc_eq > 0.52'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.520001 1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['slm_corr > 0.52'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.520001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['bckgrnd_vdc_eq > 0.75'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.750001 1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['tidal_mix_max <= 0.75', 'convect_corr > 0.30']","[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.75    ]
 [0.       1.      ]
 [0.300001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['vconst_corr <= 0.77', 'tidal_mix_max <= 0.48']","[[0.   0.77]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.48]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]]"
['bckgrnd_vdc_eq > 0.52'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.520001 1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['ah_bolus > 0.51'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.510001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['slm_corr > 0.77'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.770001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
