coverage,errors,time,rsum,size
24,0,5.688050499997189,3.1599989999999996,4
35,1,5.395755499997904,2.869999,5
14,0,4.503925700002583,3.639999,3
42,1,3.7473626999999397,3.089999,4
22,2,5.21018980000008,4.129999,3
34,1,4.77507340000011,2.729999,5
26,0,5.986285599999974,3.039999,4
14,0,5.118453900002351,3.0499989999999997,4
36,0,4.467330400002538,3.199999,4
14,0,5.180099900000641,2.9399990000000003,4
15,0,3.9866890999983298,3.8399989999999997,3
11,0,5.042572999998811,3.9799990000000003,3
22,2,4.698680299999978,4.129999,3
22,2,5.386406400000851,4.129999,3
26,0,5.365185599999677,3.939999,3
36,0,3.96724439999889,3.199999,4
42,1,4.875397599997086,2.059999,6
19,0,4.689158799999859,3.349999,4
43,1,4.896923000000243,2.429999,5
11,0,5.437152599999536,3.9799990000000003,3
12,0,3.968570200002432,3.679999,3
3,0,4.9102606999986165,4.019999,3
30,0,5.388746300002822,3.439999,4
4,0,3.7824380999991263,3.509999,4
17,0,4.398278600001504,3.7999989999999997,3
24,0,4.438962000000174,2.579999,5
4,0,4.937667099999089,3.7999980000000004,3
22,2,4.826385099997424,4.129999,3
36,0,4.62393709999742,3.199999,4
26,0,5.178966699997545,3.039999,4
14,0,5.167946100002155,3.639999,3
4,0,3.8971340999996755,3.509999,4
22,2,4.648649899998418,4.129999,3
14,0,5.640836799997487,2.9399990000000003,4
4,0,3.954777799997828,3.509999,4
24,0,4.172538200000417,2.579999,5
26,0,5.495741800001269,3.939999,3
22,0,4.11958180000147,3.6899990000000003,3
14,0,6.154449799996655,2.9399990000000003,4
46,3,5.177914099996997,2.38,5
24,0,5.906283799999073,3.1599989999999996,4
19,0,4.335969299998396,3.7299990000000003,3
22,2,7.363788700000441,4.129999,3
19,0,5.272120699999505,4.009999,3
3,0,5.541364100001374,4.019999,3
22,2,5.051134100001946,4.129999,3
14,0,4.902129300000524,2.9399990000000003,4
30,0,4.592311399999744,3.439999,4
14,0,5.062274500000058,3.639999,3
22,2,5.82678930000111,4.129999,3
14,0,5.586284400000295,2.9399990000000003,4
42,1,5.069593399999576,3.089999,4
36,0,5.570527300002141,3.199999,4
4,0,4.349906600000395,3.7999980000000004,3
20,0,5.483413999998447,2.0099989999999996,6
4,0,3.2900201000011293,3.449999,4
19,0,5.109268500000326,4.009999,3
22,2,5.044500599997264,4.129999,3
25,0,6.096886600000289,3.7199989999999996,3
11,0,5.746792699999787,3.9799990000000003,3
14,0,5.377964899998915,2.9399990000000003,4
12,0,4.200082100000145,3.759999,3
22,2,4.683517199999187,4.129999,3
30,0,5.396956900000077,3.439999,4
3,1,3.973199600000953,3.209998,4
26,0,5.8092475999983435,3.939999,3
22,2,3.4789794999996957,4.129999,3
12,0,4.725596199998108,3.759999,3
22,2,4.854590099999768,4.129999,3
36,0,5.578307299998414,3.199999,4
19,1,4.124945500003378,3.8699989999999995,3
22,2,4.576352800002496,4.129999,3
36,0,5.675239500000316,3.199999,4
27,0,4.783966599999985,3.4899999999999998,3
6,0,4.6609886000005645,4.279998,3
