Explanation,Bounds
"['Al <= 0.26', 'RI > 0.42', 'Na <= 0.40']","[[0.420001 1.      ]
 [0.       0.4     ]
 [0.       1.      ]
 [0.       0.26    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Al <= 0.26', 'Mg > 0.78', 'Fe <= 0.00', 'Ba <= 0.00', 'RI > 0.23']","[[0.230001 1.      ]
 [0.       1.      ]
 [0.780001 1.      ]
 [0.       0.26    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.      ]
 [0.       0.      ]]"
"['Al <= 0.26', 'RI > 0.42', 'Ca > 0.37']","[[0.420001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.26    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.370001 1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Al <= 0.33', 'Mg > 0.78', 'K <= 0.08', 'RI > 0.30', 'Fe <= 0.06', 'Si <= 0.52']","[[0.300001 1.      ]
 [0.       1.      ]
 [0.780001 1.      ]
 [0.       0.33    ]
 [0.       0.52    ]
 [0.       0.08    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.06    ]]"
"['Al <= 0.26', 'Mg > 0.78', 'K <= 0.02']","[[0.       1.      ]
 [0.       1.      ]
 [0.780001 1.      ]
 [0.       0.26    ]
 [0.       1.      ]
 [0.       0.02    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Al <= 0.33', 'Mg > 0.81', 'Fe <= 0.00', 'Ca > 0.30', 'Ba <= 0.00', 'K <= 0.10']","[[0.       1.      ]
 [0.       1.      ]
 [0.810001 1.      ]
 [0.       0.33    ]
 [0.       1.      ]
 [0.       0.1     ]
 [0.300001 1.      ]
 [0.       0.      ]
 [0.       0.      ]]"
"['Al <= 0.26', 'RI > 0.42', 'Na <= 0.48']","[[0.420001 1.      ]
 [0.       0.48    ]
 [0.       1.      ]
 [0.       0.26    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Al <= 0.26', 'RI > 0.42', 'Na <= 0.40']","[[0.420001 1.      ]
 [0.       0.4     ]
 [0.       1.      ]
 [0.       0.26    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Al <= 0.26', 'RI > 0.42', 'Ca > 0.37']","[[0.420001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.26    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.370001 1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Al <= 0.26', 'RI > 0.42', 'Ca > 0.37']","[[0.420001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.26    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.370001 1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Al <= 0.33', 'Mg > 0.65', 'K <= 0.08', 'Ca > 0.26', 'Fe <= 0.06']","[[0.       1.      ]
 [0.       1.      ]
 [0.650001 1.      ]
 [0.       0.33    ]
 [0.       1.      ]
 [0.       0.08    ]
 [0.260001 1.      ]
 [0.       1.      ]
 [0.       0.06    ]]"
"['Al <= 0.33', 'Mg > 0.78', 'RI > 0.30', 'Fe <= 0.06', 'Ba <= 0.00']","[[0.300001 1.      ]
 [0.       1.      ]
 [0.780001 1.      ]
 [0.       0.33    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.      ]
 [0.       0.06    ]]"
"['Al <= 0.26', 'RI > 0.42', 'Ca > 0.37']","[[0.420001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.26    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.370001 1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Al <= 0.33', 'Mg > 0.78', 'Fe <= 0.00', 'Ca > 0.30', 'Si <= 0.57', 'K <= 0.10', 'RI > 0.23', 'Ba <= 0.00']","[[0.230001 1.      ]
 [0.       1.      ]
 [0.780001 1.      ]
 [0.       0.33    ]
 [0.       0.57    ]
 [0.       0.1     ]
 [0.300001 1.      ]
 [0.       0.      ]
 [0.       0.      ]]"
"['Al <= 0.26', 'Mg > 0.78', 'Fe <= 0.06', 'Ca > 0.26']","[[0.       1.      ]
 [0.       1.      ]
 [0.780001 1.      ]
 [0.       0.26    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.260001 1.      ]
 [0.       1.      ]
 [0.       0.06    ]]"
"['Al <= 0.26', 'Mg > 0.78', 'K <= 0.02']","[[0.       1.      ]
 [0.       1.      ]
 [0.780001 1.      ]
 [0.       0.26    ]
 [0.       1.      ]
 [0.       0.02    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Al <= 0.33', 'Mg > 0.81', 'Fe <= 0.00']","[[0.       1.      ]
 [0.       1.      ]
 [0.810001 1.      ]
 [0.       0.33    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.      ]]"
"['Al <= 0.33', 'Mg > 0.81', 'Fe <= 0.00', 'RI > 0.30', 'Ba <= 0.00', 'K > 0.02']","[[0.300001 1.      ]
 [0.       1.      ]
 [0.810001 1.      ]
 [0.       0.33    ]
 [0.       1.      ]
 [0.020001 1.      ]
 [0.       1.      ]
 [0.       0.      ]
 [0.       0.      ]]"
"['Al <= 0.33', 'Si <= 0.39', 'Ca > 0.26', 'Fe <= 0.06', 'Mg > 0.65', 'K <= 0.10']","[[0.       1.      ]
 [0.       1.      ]
 [0.650001 1.      ]
 [0.       0.33    ]
 [0.       0.39    ]
 [0.       0.1     ]
 [0.260001 1.      ]
 [0.       1.      ]
 [0.       0.06    ]]"
"['Al <= 0.26', 'Mg > 0.78', 'Fe <= 0.00', 'Ca > 0.30']","[[0.       1.      ]
 [0.       1.      ]
 [0.780001 1.      ]
 [0.       0.26    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.300001 1.      ]
 [0.       1.      ]
 [0.       0.      ]]"
"['Al <= 0.33', 'Mg > 0.65', 'Fe <= 0.06', 'RI > 0.23', 'Ba <= 0.00', 'K <= 0.10', '0.26 < Ca <= 0.30']","[[0.230001 1.      ]
 [0.       1.      ]
 [0.650001 1.      ]
 [0.       0.33    ]
 [0.       1.      ]
 [0.       0.1     ]
 [0.260001 0.3     ]
 [0.       0.      ]
 [0.       0.06    ]]"
"['Al <= 0.33', 'Mg > 0.81', 'Fe <= 0.00', 'RI > 0.23', 'Ba <= 0.00', 'Na > 0.34', 'Si <= 0.57', '0.08 < K <= 0.10']","[[0.230001 1.      ]
 [0.340001 1.      ]
 [0.810001 1.      ]
 [0.       0.33    ]
 [0.       0.57    ]
 [0.080001 0.1     ]
 [0.       1.      ]
 [0.       0.      ]
 [0.       0.      ]]"
"['Al <= 0.33', 'Mg > 0.81', 'Fe <= 0.00']","[[0.       1.      ]
 [0.       1.      ]
 [0.810001 1.      ]
 [0.       0.33    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.      ]]"
"['Al <= 0.33', 'RI > 0.42', 'Fe <= 0.00', 'Na > 0.34']","[[0.420001 1.      ]
 [0.340001 1.      ]
 [0.       1.      ]
 [0.       0.33    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.      ]]"
"['Al <= 0.26', 'RI > 0.42', 'K <= 0.02']","[[0.420001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.26    ]
 [0.       1.      ]
 [0.       0.02    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Si <= 0.39', 'Al <= 0.33', 'Fe <= 0.00', 'Mg > 0.65', 'RI > 0.30']","[[0.300001 1.      ]
 [0.       1.      ]
 [0.650001 1.      ]
 [0.       0.33    ]
 [0.       0.39    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.      ]]"
"['Al <= 0.26', 'RI > 0.42', 'Na <= 0.48']","[[0.420001 1.      ]
 [0.       0.48    ]
 [0.       1.      ]
 [0.       0.26    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Al <= 0.33', 'Mg > 0.78', 'Fe <= 0.00', 'RI > 0.23', 'Ba <= 0.00', 'Na > 0.34', '0.08 < K <= 0.10', 'Ca <= 0.37']","[[0.230001 1.      ]
 [0.340001 1.      ]
 [0.780001 1.      ]
 [0.       0.33    ]
 [0.       1.      ]
 [0.080001 0.1     ]
 [0.       0.37    ]
 [0.       0.      ]
 [0.       0.      ]]"
"['Al <= 0.26', 'RI > 0.42', 'Na <= 0.40']","[[0.420001 1.      ]
 [0.       0.4     ]
 [0.       1.      ]
 [0.       0.26    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Al <= 0.33', 'Mg > 0.81', 'Fe <= 0.00', 'Si <= 0.52', '0.08 < K <= 0.10', 'Ba <= 0.00']","[[0.       1.      ]
 [0.       1.      ]
 [0.810001 1.      ]
 [0.       0.33    ]
 [0.       0.52    ]
 [0.080001 0.1     ]
 [0.       1.      ]
 [0.       0.      ]
 [0.       0.      ]]"
"['Al <= 0.33', 'Mg > 0.78', 'Fe <= 0.06', 'Ca > 0.30', 'Si <= 0.52']","[[0.       1.      ]
 [0.       1.      ]
 [0.780001 1.      ]
 [0.       0.33    ]
 [0.       0.52    ]
 [0.       1.      ]
 [0.300001 1.      ]
 [0.       1.      ]
 [0.       0.06    ]]"
"['Al > 0.40', 'Ba <= 0.00', 'K > 0.02', '0.26 < Ca <= 0.30']","[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.400001 1.      ]
 [0.       1.      ]
 [0.020001 1.      ]
 [0.260001 0.3     ]
 [0.       0.      ]
 [0.       1.      ]]"
