coverage,errors,time,rsum,size
7,4,1.4851479999997537,7.239999,3
11,0,1.4273028999959934,5.249998,5
14,5,1.3495073999947635,7.4699979999999995,3
10,1,3.0032353999995394,4.909997999999999,6
8,0,1.5631664999964414,6.499999,3
9,0,4.94006050000462,4.319998,6
10,4,1.4612922000014805,7.319999,3
7,4,1.5686319000014919,7.239999,3
14,5,1.661527099997329,7.4699979999999995,3
14,5,1.8387060000022757,7.4699979999999995,3
12,1,7.969376500004728,5.559997999999999,5
13,0,2.9664508999994723,5.309997999999999,5
14,5,1.4814505999966059,7.4699979999999995,3
11,0,4.97479949999979,3.689997,8
11,0,1.3253524000028847,6.279998,4
8,0,1.4599757000032696,6.499999,3
18,1,3.5525620000044,6.519999,3
7,0,2.769756399997277,5.199997,6
9,1,3.773409299996274,4.9699979999999995,6
9,0,1.5622632000013255,6.179997999999999,4
17,10,2.653176399995573,3.649997,7
7,0,2.9376642999995966,3.5399959999999995,8
18,1,3.944876199995633,6.519999,3
8,1,3.075310799998988,6.569998,4
10,5,2.140500900000916,6.859999,3
8,1,3.7003153000041493,5.769998,5
10,4,1.1940964000023087,7.319999,3
10,1,6.859602900003665,3.3699959999999995,8
7,4,1.879515900000115,7.239999,3
5,0,3.0887105999936466,4.059998,6
11,1,2.729535999998916,5.829997999999999,5
3,0,2.833318299999519,6.619997,4
4,0,2.277371900003345,7.139998,3
31,0,3.0599010000005364,6.719998,4
31,0,2.5939106000005268,6.719998,4
20,2,2.511505999995279,8.009998,3
10,1,2.1771827999982634,7.179997,4
8,0,3.6605251000000862,6.499998,4
15,2,4.451927000001888,6.789997,4
5,0,1.7610069000002113,7.719997,3
8,0,2.3673390000039944,7.949997,3
14,2,4.302367399999639,4.569997,7
20,0,4.660543599995435,8.069998,4
13,0,2.9661590000032447,6.649998,4
35,0,2.414202399995702,6.839998,4
19,4,4.21649669999897,6.699997,4
20,2,2.5935482999993837,8.009998,3
9,0,7.4357964000009815,7.219997,5
15,0,3.0761211999997613,7.449997,3
3,0,6.3076953000054345,7.489998,4
19,2,2.6897949000049266,7.909998,3
31,0,2.9558488999973633,6.719998,4
10,5,4.10241639999731,4.939996,6
1,0,6.99876210000366,8.179998,3
3,0,5.76765009999508,6.899998,4
13,1,2.3500254999962635,7.559997,3
19,2,2.5445144999976037,7.909998,3
13,0,2.85630890000175,6.649998,4
14,0,2.3830050000033225,7.319997,4
14,0,4.752533300001232,6.849997999999999,4
11,0,5.914633000000322,6.509998,4
15,0,4.556931099999929,7.519999,4
20,2,2.894352600000275,8.009998,3
18,2,3.4030827000024146,6.049997,5
7,0,1.8510089000046719,7.079998,3
31,2,4.132207700000436,8.079998,3
12,2,2.603863000003912,8.519997,3
11,1,4.6036077000026125,8.579997,3
31,2,4.626476800003729,8.079998,3
15,0,1.892592699994566,6.579998,4
31,0,1.151530700000876,6.719998,4
5,1,2.0349812999993446,7.179997999999999,3
11,1,3.842253900002106,8.579997,3
31,2,3.893380599998636,8.079998,3
5,0,5.821846799997729,8.289997,4
31,2,4.181019800002105,8.079998,3
12,2,3.071394099999452,8.519997,3
11,2,1.990191800003231,6.599998,4
12,2,1.669088999995438,8.519997,3
27,3,2.4153386000034516,7.539998,3
13,0,2.6741697000034037,6.649998,4
31,2,4.196000899995852,8.079998,3
7,0,2.2150477999966824,7.239998,3
25,2,4.349021399997582,7.979998,3
20,2,2.7954312000001664,8.009998,3
24,2,3.6659364000006462,6.219997,5
21,2,2.7200740999978734,8.529997,3
25,2,3.6785231000030763,6.869998000000001,4
6,0,2.2518362999981036,7.429997,3
31,0,2.944996500002162,6.719998,4
10,1,3.8185457999934442,4.8199950000000005,7
15,2,5.0901979000045685,5.929996,5
3,2,3.7030938000025344,7.639997,4
18,3,3.778969300001336,6.019997,5
20,2,3.101258199996664,8.009998,3
14,0,2.5949178999944706,7.319997,4
9,2,2.6949410000015632,7.939998,3
7,3,2.460523600006127,7.459995999999999,4
2,1,3.4428761999952258,6.019998,4
15,1,3.0001846000013757,7.329998,4
24,2,4.396580599997833,5.519997,6
16,0,2.6280772000027355,7.149998,3
35,0,2.113816900004167,6.839998,4
7,1,2.2835254999954486,7.309997,4
25,2,4.844843900005799,4.929997,6
21,2,3.4911961999969208,8.009998,3
11,2,4.407880699996895,7.429998,3
