coverage,errors,time,rsum,size
1,0,21.840794199997617,30.079994999999997,3
6,1,25.234039500002837,31.209998,3
29,10,25.15840179999941,32.230000000000004,3
7,1,23.264533599998686,31.789999,3
1,0,17.501642700000957,30.409996,3
7,1,20.994226800001343,31.789999,3
1,0,23.164648599999055,31.329998,3
3,1,25.26560309999695,31.67,3
13,3,21.974550300001283,31.73,3
2,1,21.225224600002548,30.019997,3
12,2,40.21819979999782,31.73,3
29,10,24.550642100002733,32.230000000000004,3
1,0,23.35204479999811,32.07,3
3,1,24.981934399998863,30.829998,3
5,0,24.087863200002175,31.039998,3
1,0,19.606949600001826,29.399994,3
1,0,31.85330780000004,30.919997,3
14,3,23.565251399999397,31.73,3
19,4,23.611601800002973,32.010000000000005,3
14,3,23.549453900002845,31.73,3
1,0,18.527474999998958,31.789998,3
1,0,20.518251299999974,31.109997,3
7,2,29.819447999998374,32.469999,3
4,0,33.13199220000024,31.539999,3
1,0,22.48210210000252,31.699997,3
1,0,26.655917500000214,32.039998,3
1,0,25.081280499998684,31.680001,3
1,0,28.71803379999983,30.769998,3
1,0,36.68791539999802,30.119995,3
22,4,25.392606999997952,32.03,3
7,1,23.886610699999437,31.989998999999997,3
1,0,18.9026245999994,30.419996,3
28,7,38.44517449999694,32.41,3
1,0,24.26094749999902,31.309998,3
5,0,24.32707819999996,31.039998,3
29,10,24.481223700000555,32.230000000000004,3
14,3,25.80907749999824,31.73,3
7,1,22.641938599997957,30.73,4
1,0,34.99318720000156,30.429996,3
4,1,25.07569009999861,30.829998,3
1,0,24.18627430000197,30.359996,3
6,0,24.337798299999122,31.039998,3
1,0,20.58299260000058,31.569997,3
4,1,28.77539170000091,30.789998,3
1,0,20.80435159999979,31.099995999999997,3
1,0,22.25676939999903,30.199995,3
5,0,22.09583449999991,31.039998,3
1,0,20.119401899999502,31.169997,3
27,7,23.4607365999982,32.230000000000004,3
1,0,23.984702800000377,31.289998,3
13,3,22.941443299998355,31.73,3
2,1,21.991121099999873,31.49,3
3,0,27.043565600000875,30.769998,3
27,7,17.78897069999948,32.230000000000004,3
5,1,20.37490919999982,31.129998,3
37,13,25.90859360000104,32.480000000000004,3
3,0,22.49572989999797,31.38,3
6,0,25.27391109999735,31.039998,3
27,7,20.789613600001758,32.230000000000004,3
17,4,24.525430400000914,32.730000000000004,3
2,0,25.89387759999954,30.769998,3
35,3,20.777819200000522,32.279998,3
3,0,31.73354499999914,32.119999,3
54,0,27.226184499999363,31.719996000000002,4
12,9,21.144539100001566,31.9,3
48,3,18.880090099999506,31.959997,4
35,3,17.291943500000343,32.279998,3
41,0,28.343143000001874,31.089995,4
12,9,21.18428959999801,31.9,3
35,3,18.9096071999993,32.279998,3
1,0,31.018043700001726,32.059999,3
35,3,17.890869799997745,32.279998,3
4,1,29.97837399999844,31.339997,3
1,0,25.59936000000016,30.699996,4
1,0,22.696008499999152,31.639997,3
35,3,19.97826950000308,32.279998,3
35,3,18.433106299999054,32.279998,3
1,0,31.24363850000009,30.739995999999998,3
45,2,28.65178569999989,31.059996,4
37,4,26.523810999999114,31.499997,3
16,0,20.58050490000096,31.849998,3
54,0,22.780092799999693,31.719996000000002,4
16,0,21.49780400000236,31.849998,3
1,0,21.812516199999664,32.07,3
27,0,26.793282700000418,31.379994999999997,3
51,4,20.087220099998376,32.399998,3
17,3,28.340912100000423,31.599998,3
51,4,25.012383900000714,32.399998,3
1,0,23.325945299999148,31.299996999999998,2
54,0,28.666501499999868,31.719996000000002,4
4,1,32.807696199997736,31.519997999999998,4
35,3,18.071206699998584,32.279998,3
13,0,21.129570000000967,29.979996,4
2,0,23.73127789999853,31.72,3
18,0,25.803789900000993,31.599998,3
1,0,18.59013219999906,30.869999,4
35,2,20.946120799999335,31.999997,3
37,4,18.252338400001463,31.699998,3
35,3,16.753896800000803,32.279998,3
2,1,34.73452019999968,32.359999,4
2,0,29.326976100001048,32.0,3
12,0,23.1055778000009,29.979996,4
1,0,29.250232499998674,30.539995,4
1,0,31.038781200000813,30.499993,4
1,0,33.78366889999961,30.539996000000002,3
17,0,21.66515629999776,29.899996999999995,6
44,0,30.630179299998417,31.819996999999997,3
32,3,31.55544269999882,31.649995999999998,3
24,1,25.62393019999945,30.929996999999997,4
1,0,27.376096299998608,32.059999,3
35,3,19.732289900002797,32.279998,3
20,0,17.669341000000713,31.579998,4
1,0,21.281265400000848,31.849998,3
21,0,37.99674009999944,29.549993999999998,5
1,0,29.49609070000224,31.579998,4
1,0,15.58447679999881,31.899999,3
1,0,25.108004699999583,32.129998,4
26,0,21.847563600000285,31.929998,3
14,4,27.287486499997613,31.089996999999997,3
1,0,21.28347550000035,32.179998,3
20,2,17.051662700003362,32.079999,3
1,0,22.546125799999572,31.139995999999996,3
8,1,18.388984699999128,31.519997,4
