Explanation,Bounds
"['petal length (cm) <= 0.10', 'petal width (cm) <= 0.08']","[[0.   1.  ]
 [0.   1.  ]
 [0.   0.1 ]
 [0.   0.08]]"
"['petal length (cm) <= 0.10', 'petal width (cm) <= 0.08']","[[0.   1.  ]
 [0.   1.  ]
 [0.   0.1 ]
 [0.   0.08]]"
"['petal length (cm) <= 0.10', 'petal width (cm) <= 0.08']","[[0.   1.  ]
 [0.   1.  ]
 [0.   0.1 ]
 [0.   0.08]]"
"['petal length (cm) <= 0.10', 'petal width (cm) <= 0.08']","[[0.   1.  ]
 [0.   1.  ]
 [0.   0.1 ]
 [0.   0.08]]"
"['petal length (cm) <= 0.10', 'petal width (cm) <= 0.08']","[[0.   1.  ]
 [0.   1.  ]
 [0.   0.1 ]
 [0.   0.08]]"
"['petal length (cm) <= 0.10', 'petal width (cm) <= 0.08']","[[0.   1.  ]
 [0.   1.  ]
 [0.   0.1 ]
 [0.   0.08]]"
"['petal length (cm) <= 0.10', 'sepal length (cm) <= 0.19', 'sepal width (cm) > 0.42']","[[0.       0.19    ]
 [0.420001 1.      ]
 [0.       0.1     ]
 [0.       1.      ]]"
"['sepal length (cm) <= 0.39', 'petal length (cm) <= 0.54', 'sepal width (cm) > 0.46', 'petal width (cm) <= 0.50']","[[0.       0.39    ]
 [0.460001 1.      ]
 [0.       0.54    ]
 [0.       0.5     ]]"
"['petal length (cm) <= 0.10', 'sepal length (cm) <= 0.39', 'sepal width (cm) > 0.46']","[[0.       0.39    ]
 [0.460001 1.      ]
 [0.       0.1     ]
 [0.       1.      ]]"
"['petal length (cm) <= 0.10', 'petal width (cm) <= 0.08']","[[0.   1.  ]
 [0.   1.  ]
 [0.   0.1 ]
 [0.   0.08]]"
"['petal width (cm) <= 0.50', 'sepal length (cm) <= 0.39', 'sepal width (cm) > 0.46', 'petal length (cm) <= 0.54']","[[0.       0.39    ]
 [0.460001 1.      ]
 [0.       0.54    ]
 [0.       0.5     ]]"
"['sepal width (cm) > 0.46', 'petal width (cm) <= 0.08', 'sepal length (cm) <= 0.39', 'petal length (cm) <= 0.54']","[[0.       0.39    ]
 [0.460001 1.      ]
 [0.       0.54    ]
 [0.       0.08    ]]"
