coverage,errors,time,rsum,size
31,0,0.8147805000007793,2.9399979999999997,2
33,0,1.0690451999980723,2.819998,2
48,0,1.0285715999998502,2.669997,3
27,0,0.6401384999990114,3.099998,2
27,0,0.6418195000005653,3.099998,2
27,0,0.5401782999979332,3.099998,2
20,0,3.2722190999993472,2.18,2
27,0,0.5459924999995565,3.099998,2
31,0,3.4549654000002192,2.5299959999999997,4
20,0,4.141093999998702,2.18,2
20,0,3.9908949000018765,2.18,2
20,0,3.687475099999574,2.18,2
7,0,1.8797604000028514,2.0399979999999998,4
21,0,3.5407083999998576,2.18,2
20,0,3.7616008000004513,2.18,2
33,0,0.9381562999988091,2.819998,2
7,0,1.8086691999997129,2.179998,4
27,0,0.45576400000209105,3.099998,2
31,0,1.1576343000015186,2.9399979999999997,2
27,0,0.5519796000007773,3.099998,2
9,0,2.886394899996958,1.869999,3
35,0,5.336164099997404,2.009999,4
2,0,2.2687261999999464,1.939999,4
48,0,0.9865343000019493,2.669997,3
23,0,2.741116000001057,2.029999,3
21,0,3.5171507999984897,2.18,2
33,0,0.7399367000034545,2.819998,2
27,0,0.4368164999978035,3.099998,2
32,0,5.832358200001181,1.969999,4
3,0,0.8037942000009934,2.349998,3
27,0,0.43296399999962887,3.099998,2
25,0,4.270597999999154,2.199999,3
31,0,0.818288800001028,2.9399979999999997,2
20,0,3.7232285999998567,2.18,2
15,0,1.0691507999981695,2.4999969999999996,3
21,0,3.49726340000052,2.18,2
20,0,4.227745300002425,2.18,2
27,0,0.7318923999991966,3.099998,2
48,0,0.8871768999997585,2.669997,3
20,0,4.296827699999994,2.18,2
37,0,6.8582447999979195,2.139999,4
20,0,3.2764925000010408,2.18,2
20,0,3.935060700001486,2.18,2
20,0,4.323456500002067,2.18,2
28,0,5.218846699997812,2.6,2
27,0,0.5479752999999619,3.099998,2
4,0,3.847893499998463,2.2899960000000004,4
27,0,0.6546021000031033,3.099998,2
54,0,1.3677815000010014,3.2099969999999995,3
46,0,0.8731523999995261,2.819997,3
27,0,0.6428669000015361,3.099998,2
27,0,0.535735500001465,3.099998,2
20,0,4.132765099999233,2.18,2
20,0,3.91789389999758,2.18,2
27,0,0.6647593000016059,3.099998,2
20,0,3.9306176000027335,2.18,2
23,0,3.2441293000010774,2.029999,3
46,0,0.8879039000021294,2.819997,3
27,0,0.7404291999991983,3.099998,2
63,6,3.706247699999949,3.339996,4
33,0,1.120173799998156,2.819998,2
21,0,4.5213087999982235,2.18,2
31,0,0.7234706000017468,2.9399979999999997,2
21,0,3.644754799999646,2.18,2
46,0,0.8834585000004154,2.819997,3
20,2,3.983745999998064,2.699996,4
27,0,0.7230454999989888,3.099998,2
20,0,3.6908289000020886,2.18,2
27,0,1.006035399997927,3.099998,2
33,0,0.6625029999995604,2.819998,2
20,0,3.8829121999988274,2.18,2
31,0,0.9424274999983027,2.9399979999999997,2
7,0,2.184420699999464,2.2299990000000003,3
27,0,0.7283502999998746,3.099998,2
12,4,3.576797199999419,2.4099960000000005,4
7,0,2.574004399997648,2.2299990000000003,3
33,0,0.9971582000034687,2.819998,2
53,0,1.2705208000006678,2.7699969999999996,3
1,0,1.7345129999994242,1.939999,4
20,0,3.1782271999982186,2.18,2
33,0,1.186516699999629,2.819998,2
27,0,0.528752500002156,3.099998,2
27,0,0.5254552000005788,3.099998,2
27,0,0.6209472000009555,3.099998,2
23,0,3.1308744000016304,2.029999,3
15,0,0.916727499999979,2.4999969999999996,3
27,0,0.5376701999994111,3.099998,2
46,0,0.9948641000009957,2.819997,3
21,0,4.529787300001772,2.18,2
6,0,3.011814299999969,2.0399979999999998,4
32,6,2.9762430999981007,2.8999960000000002,4
33,0,0.654879500001698,2.819998,2
31,0,3.1814596000003803,2.5299959999999997,4
21,0,4.40221069999825,2.18,2
48,0,0.7457981000006839,2.669997,3
27,0,0.6208384000019578,3.099998,2
27,0,0.6216174000001047,3.099998,2
27,0,0.6219667999976082,3.099998,2
31,0,0.7286734999979672,2.9399979999999997,2
6,0,2.2822615999975824,2.0399979999999998,4
63,6,2.839640900001541,3.339996,4
23,0,3.396192800002609,2.029999,3
1,0,1.9607307000005676,1.129998,4
20,0,4.114394200001698,2.18,2
31,0,1.184729000000516,2.9399979999999997,2
3,0,2.320233200000075,2.209999,4
12,0,5.603041399997892,2.2699990000000003,3
20,0,3.2810418999979447,2.18,2
27,0,0.6193996000001789,3.099998,2
27,0,0.810769400002755,3.099998,2
8,0,2.2937270000002172,1.929999,4
20,0,3.7907368000014685,2.18,2
2,0,1.6509237999998732,2.079999,4
