Explanation,Bounds
"['PEG > 0.35', 'LPR > 0.66', 'STR <= 0.32', 'SCG <= 0.28', 'STG > 0.56']","[[0.560001 1.      ]
 [0.       0.28    ]
 [0.       0.32    ]
 [0.660001 1.      ]
 [0.350001 1.      ]]"
"['PEG > 0.67', 'LPR > 0.26', 'SCG <= 0.28', 'STG <= 0.18']","[[0.       0.18    ]
 [0.       0.28    ]
 [0.       1.      ]
 [0.260001 1.      ]
 [0.670001 1.      ]]"
"['PEG > 0.67', 'STR <= 0.32']","[[0.       1.      ]
 [0.       1.      ]
 [0.       0.32    ]
 [0.       1.      ]
 [0.670001 1.      ]]"
"['PEG > 0.67', 'LPR > 0.26', 'SCG > 0.36']","[[0.       1.      ]
 [0.360001 1.      ]
 [0.       1.      ]
 [0.260001 1.      ]
 [0.670001 1.      ]]"
"['PEG > 0.67', 'STR <= 0.32']","[[0.       1.      ]
 [0.       1.      ]
 [0.       0.32    ]
 [0.       1.      ]
 [0.670001 1.      ]]"
"['PEG > 0.67', 'STR <= 0.32']","[[0.       1.      ]
 [0.       1.      ]
 [0.       0.32    ]
 [0.       1.      ]
 [0.670001 1.      ]]"
"['PEG > 0.67', 'STR <= 0.32']","[[0.       1.      ]
 [0.       1.      ]
 [0.       0.32    ]
 [0.       1.      ]
 [0.670001 1.      ]]"
"['PEG > 0.67', 'LPR > 0.66']","[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.660001 1.      ]
 [0.670001 1.      ]]"
"['PEG > 0.67', 'STR <= 0.32']","[[0.       1.      ]
 [0.       1.      ]
 [0.       0.32    ]
 [0.       1.      ]
 [0.670001 1.      ]]"
"['PEG > 0.35', 'LPR > 0.37', 'STR <= 0.51', 'STG > 0.56', 'SCG <= 0.28']","[[0.560001 1.      ]
 [0.       0.28    ]
 [0.       0.51    ]
 [0.370001 1.      ]
 [0.350001 1.      ]]"
"['PEG > 0.67', 'STR <= 0.51', 'SCG > 0.28', 'STG <= 0.31']","[[0.       0.31    ]
 [0.280001 1.      ]
 [0.       0.51    ]
 [0.       1.      ]
 [0.670001 1.      ]]"
"['PEG > 0.67', 'SCG > 0.56', 'STG > 0.18']","[[0.180001 1.      ]
 [0.560001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.670001 1.      ]]"
"['PEG > 0.67', 'STR <= 0.32']","[[0.       1.      ]
 [0.       1.      ]
 [0.       0.32    ]
 [0.       1.      ]
 [0.670001 1.      ]]"
"['PEG > 0.35', 'STR <= 0.32', 'LPR > 0.26', 'STG > 0.31', 'SCG <= 0.56']","[[0.310001 1.      ]
 [0.       0.56    ]
 [0.       0.32    ]
 [0.260001 1.      ]
 [0.350001 1.      ]]"
"['PEG > 0.67', 'LPR > 0.26', 'STR <= 0.75', 'SCG > 0.56']","[[0.       1.      ]
 [0.560001 1.      ]
 [0.       0.75    ]
 [0.260001 1.      ]
 [0.670001 1.      ]]"
"['PEG > 0.35', 'LPR > 0.66', 'STG > 0.56', '0.51 < STR <= 0.75']","[[0.560001 1.      ]
 [0.       1.      ]
 [0.510001 0.75    ]
 [0.660001 1.      ]
 [0.350001 1.      ]]"
"['PEG > 0.35', 'LPR > 0.66', '0.18 < STG <= 0.31', 'SCG > 0.36']","[[0.180001 0.31    ]
 [0.360001 1.      ]
 [0.       1.      ]
 [0.660001 1.      ]
 [0.350001 1.      ]]"
