coverage,errors,time,rsum,size
255,12,0.5608304000015778,7.26,2
58,0,0.6417912999968394,6.55,2
58,0,0.5412550999972154,6.55,2
127,1,1.553063799998199,6.300000000000001,3
4,0,1.425879200000054,5.489996,5
101,0,0.36190370000258554,6.64,2
101,0,0.5583326999985729,6.64,2
32,1,1.4560124000017822,6.839997,3
75,0,0.4604126999984146,6.62,2
11,0,3.7292130999994697,5.889994,6
58,0,0.992023099999642,5.739999,5
24,0,1.840869500003464,6.389995,5
42,0,2.2019153000001097,6.17,3
94,0,0.6052898999987519,6.669999000000001,3
36,0,1.5727161000031629,5.269999,5
98,0,1.844906100002845,6.45,3
22,2,1.7043151999969268,6.469996,4
58,0,0.5513955000023998,6.55,2
42,0,2.0876869000021543,6.17,3
6,0,1.7948163999972166,5.759997,4
80,0,0.5601342000009026,6.96,2
112,1,0.6115207000002556,6.729998999999999,3
27,6,1.4865964999989956,6.239997000000001,3
9,0,2.7791303000012704,3.779999,5
94,0,0.7154549000006227,6.669999000000001,3
42,1,1.7250950999987253,6.809996,4
71,0,0.4580400999984704,6.71,2
22,0,1.7693935999996029,6.489996,4
27,6,1.3778355000031297,6.239997000000001,3
102,0,0.964533999998821,5.749999,4
78,1,0.6012912999976834,6.05,3
1,0,6.936507899998105,4.3199939999999994,7
21,0,1.290407000000414,6.619996,4
74,0,1.3607159000021056,5.91,3
154,3,1.7067568999991636,6.379999,4
49,0,0.8167599000007613,6.9,2
101,0,0.5628278999975009,6.64,2
179,1,0.4592865000013262,6.73,2
30,0,0.5567602000010083,6.5,2
147,2,0.5764425000015763,7.05,2
66,0,1.437140799996996,5.229998999999999,5
6,0,3.4718464999969,5.309995,7
147,2,0.4734071999992011,7.05,2
64,1,0.5203621000000567,6.6399989999999995,3
12,0,1.9863382000003185,6.119996,4
23,1,1.3481086000028881,6.229996,4
71,0,0.9569800999997824,5.97,3
57,0,1.0085865999972157,6.439999,3
19,1,1.8843654000011156,5.999995,6
39,0,0.5654005999967922,5.87,3
81,0,1.104329299996607,5.6899999999999995,3
12,0,1.5588204999985464,5.839997,4
107,0,0.4875662000013108,6.36,3
68,1,0.5364068000017141,6.21,3
35,3,3.2161030999996,5.38,4
28,0,0.46119180000096094,6.549999,3
82,3,0.49153110000042943,6.66,2
14,0,0.8972691000017221,5.62,3
11,0,1.4400434999988647,6.269997,4
154,3,1.6141673999991326,6.379999,4
147,2,0.4725999000002048,7.05,2
35,0,0.6170818999999028,6.57,2
102,1,0.46551539999927627,6.640000000000001,2
13,0,1.7123257999992347,6.629997,3
147,2,0.5521152999972401,7.05,2
102,1,0.35923660000116797,6.640000000000001,2
77,1,0.5529906000010669,6.05,3
35,0,0.5625457999994978,6.57,2
19,0,2.00778469999932,6.6999960000000005,4
11,0,4.501538799999253,6.619996,4
85,0,0.6240145000010671,6.99,2
47,0,1.5049244000001636,5.82,3
35,0,0.8139976999991632,6.57,2
200,2,0.421016199998121,6.48,3
47,0,1.536071800001082,5.82,3
80,0,0.3850170999976399,6.96,2
102,0,1.2190188999993552,5.749999,4
76,0,1.7010382000007667,6.279999999999999,3
58,0,0.5604473000021244,6.55,2
179,1,0.3764917999978934,6.73,2
102,0,1.1079597999996622,5.749999,4
54,0,0.6282977999981085,5.359999,4
55,1,1.3349665000023379,6.689999,3
71,0,0.6971648999970057,6.71,2
71,1,0.37379909999799565,6.5,2
80,0,0.466436499998963,6.96,2
113,3,1.277716299999156,7.1,2
147,2,0.4835200999987137,7.05,2
102,0,0.5612177000002703,6.64,2
197,3,1.58198529999936,6.380000000000001,3
18,1,4.3187441999980365,6.599996,4
42,0,1.7054533000009542,6.17,3
35,1,1.3045068999999785,5.789999,4
83,0,0.8638444000025629,5.499999,4
85,0,0.653356700000586,6.99,2
147,2,0.5531919999993988,7.05,2
75,0,0.4590924999974959,6.62,2
53,0,1.7984123999995063,6.45,2
120,1,0.3996885000015027,7.04,2
20,0,1.2583935000002384,6.259995999999999,5
30,0,0.43568539999978384,6.5,2
160,0,1.3620700999999826,5.61,4
20,1,1.5235380999984045,6.559996,4
15,7,5.252944500000012,6.179995999999999,4
88,0,1.4422726000011608,4.82,5
120,1,0.43052349999925354,6.34,3
14,0,1.7502930000009655,5.969995,6
42,0,1.5193400999996811,6.17,3
10,2,4.480041900002107,5.869996,5
48,0,1.8134997000015574,4.87,5
85,0,0.6451264000024821,6.99,2
9,0,1.7208768999989843,5.969996,5
71,1,0.36921090000032564,6.5,2
35,0,0.8100064999998722,6.57,2
101,2,1.1713719999970635,6.24,3
51,0,0.6130948999998509,5.85,3
216,4,0.3799053999973694,6.91,2
132,4,1.381060299998353,6.779999,3
80,0,0.5489803999989817,6.96,2
81,0,0.4498840000014752,6.96,2
75,2,1.169111499999417,6.67,3
74,0,1.452764900001057,5.91,3
62,4,1.0772513000010804,6.199999,3
25,0,0.4998693999987154,6.04,3
12,1,3.740273300001718,6.769995,5
154,3,1.2370580999995582,6.379999,4
59,0,1.0749355999978434,5.4299990000000005,4
47,13,5.712042099999962,5.019999,4
28,0,1.0873126000005868,5.469999,4
51,0,0.6031236000017088,6.559999,3
50,0,0.6389837999995507,6.9,2
28,0,0.44989540000096895,6.589999,3
33,1,1.4539792999967176,6.28,3
83,3,0.6444405000002007,6.66,2
35,0,0.8797577000004821,6.57,2
147,2,0.45130860000062967,7.05,2
147,2,0.3507030999971903,7.05,2
16,2,5.755952700001217,5.559994,6
58,0,0.5464854999991076,6.55,2
25,5,3.5281740999998874,6.979997,3
102,1,0.5432079999991402,6.640000000000001,2
25,1,2.79169069999989,6.2699940000000005,6
147,2,0.7185610999986238,7.05,2
12,2,1.877863099998649,5.909998999999999,4
69,2,1.0689945000012813,5.8,3
101,0,0.5468392000002495,6.64,2
57,1,1.277038399999583,6.349999,3
63,0,0.5644726999998966,6.229998999999999,3
1,0,4.687638600000355,5.909996,5
253,13,0.3817108000002918,6.73,2
112,0,0.9970759999996517,6.29,3
25,2,4.850310199999512,6.419996,4
17,0,1.7631537999986904,6.299996,4
28,1,1.1833360999989964,5.589999,4
14,1,4.895860700002231,5.969995,5
216,4,0.35413729999709176,6.91,2
113,3,1.3091714000001957,7.1,2
85,0,0.7362562999987858,6.99,2
12,0,1.8610144000012951,5.989996,5
81,0,0.5559635000026901,6.96,2
139,0,0.6131857000000309,6.050000000000001,3
113,3,1.8857530999994196,7.1,2
21,1,1.4565511000000697,5.659999,3
112,1,0.8449674999974377,6.08,3
77,0,1.0492354999987583,5.689999,4
54,0,3.5375679999997374,4.419999,6
10,2,3.82523349999974,6.609996000000001,4
43,0,0.9593894000026921,6.1399989999999995,2
80,0,0.6460363999976835,6.96,2
80,0,0.6433915999987221,6.96,2
53,0,1.2208389999977953,6.45,2
19,0,1.0772415999999794,6.289997,4
7,1,4.21055559999877,6.039996,5
80,0,0.4646494000007806,6.96,2
147,2,0.4656033999999636,7.05,2
49,0,0.6657197999993514,6.9,2
101,0,0.5539911000014399,6.64,2
8,0,1.4438353000005009,6.269996,5
33,0,1.3761977000031038,6.559996,4
10,0,1.7555296999998973,6.479996,5
80,0,0.7420968999977049,6.96,2
17,1,1.4590229999994335,6.339995999999999,4
83,3,0.4480217999989691,6.66,2
29,1,1.3202264999999898,5.589999,4
138,1,0.6076752000008128,6.37,3
4,0,6.172605899999326,4.599995,6
80,0,0.45673230000102194,6.96,2
147,2,0.35730469999907655,7.05,2
102,0,0.4509074000015971,6.64,2
154,3,0.7414521999999124,6.379999,4
147,2,0.7645903999982693,7.05,2
35,0,5.111415700001089,5.299999,3
63,0,1.5965218999990611,5.45,4
22,1,1.5702075000008335,5.659999,3
13,0,1.2881878000007418,6.169995999999999,5
127,2,1.1816880000005767,6.34,3
29,1,1.9047655000031227,5.839999,4
49,0,1.5842105000010633,4.0200000000000005,5
147,2,0.45668379999915487,7.05,2
71,0,0.4499430999967444,6.71,2
84,0,0.851857800000289,5.959999,3
101,1,1.5246794000013324,6.0099990000000005,4
80,0,1.3412777000012284,6.2599990000000005,3
71,0,0.45006800000192015,6.71,2
82,3,0.5454612000030465,6.66,2
101,0,0.4622793999988062,6.64,2
15,2,1.7583457000000635,5.489997000000001,4
71,0,0.5570119000003615,6.71,2
71,0,0.661317300000519,6.71,2
147,2,0.3714166000027035,7.05,2
102,1,0.46417769999970915,6.640000000000001,2
32,1,2.323516500000551,6.839997,3
59,0,0.4047753999984707,6.55,2
80,0,0.6719956000015372,6.96,2
23,0,1.600617300002341,6.6299969999999995,3
103,7,0.8542627999995602,6.159999,3
21,0,1.4656840999996348,6.619996,4
132,4,0.6113404999996419,6.779999,3
27,1,1.7647064000011596,6.809997,3
3,0,1.5160905999982788,4.959995,5
112,0,1.5633469999993395,6.29,3
102,1,0.3529305000010936,6.640000000000001,2
200,2,0.4270582999997714,6.48,3
32,1,4.475077700000838,4.859999,4
100,1,0.4496575000011944,6.68,2
103,1,0.7514573000007658,5.390000000000001,4
17,0,5.030375299997104,6.289994999999999,5
25,5,4.572939900001074,6.979997,3
71,1,0.6172812999975577,6.049999,3
9,0,4.436306300001888,6.689996,4
80,0,1.5508681000028446,6.21,3
101,0,0.475940600001195,6.64,2
48,0,1.2283126000002085,5.82,3
24,1,1.4605074999999488,6.139996,5
32,1,1.8246818000006897,6.839997,3
80,0,0.7384582000013324,6.96,2
147,2,0.3532870999988518,7.05,2
147,2,0.7396541000016441,7.05,2
10,2,4.411224499999662,6.609996000000001,4
21,0,1.665120500001649,6.619996,4
58,1,0.506627099999605,6.04,3
49,0,0.6979342000013276,6.9,2
6,0,1.744619100001728,6.179995999999999,5
13,0,1.46120990000054,6.629997,3
15,0,1.7018523000006098,5.51,3
58,0,0.6715476999997918,6.55,2
32,1,2.083377200000541,6.839997,3
150,1,0.8237765999983822,6.729998999999999,3
5,0,1.6078097999998135,6.129996,5
66,1,0.4604287000001932,6.59,2
147,2,0.6688426000000618,7.05,2
147,2,0.45918429999801447,7.05,2
58,0,0.6908307999983663,6.55,2
110,0,1.2393413999998302,5.48,4
9,0,4.397226600001886,6.479995,5
98,0,2.9309691000016755,6.45,3
31,0,1.4797261000021535,5.329999,5
35,0,0.5592722000001231,6.57,2
9,0,1.517898399997648,5.989999,3
49,0,0.6366908999989391,6.9,2
101,0,0.4716804999989108,6.64,2
13,0,1.886853500000143,6.629997,3
106,0,0.5538943999999901,5.53,4
111,2,0.5288886999987881,6.25,3
67,0,0.5630348999984562,5.73,3
197,3,1.7675711000010779,6.380000000000001,3
35,0,0.49885169999834034,6.57,2
85,0,0.5581455999999889,6.99,2
12,0,1.3791248000015912,6.149996,5
71,0,1.652911999997741,6.22,3
35,0,0.7174763000002713,6.57,2
58,1,1.392615200002183,6.16,3
22,2,1.7766045999997004,5.0599989999999995,4
82,3,0.5532262999986415,6.66,2
8,0,1.6340763000007428,6.289996,4
131,1,0.4611163999979908,6.8,2
66,0,1.1668922999997449,5.96,3
89,1,0.5708048999986204,5.869999,4
85,0,0.7432038000006287,6.99,2
74,0,2.3324745999998413,5.68,3
1,0,7.41673460000311,5.059993,8
52,0,1.2074984999999288,4.879999,5
79,0,2.3733055999982753,6.21,3
52,0,1.3299910999994609,5.88,4
65,0,1.5162913000021945,6.25,3
9,0,1.5211373000020103,5.099999,4
19,1,3.5758002000002307,6.399996,5
13,0,1.7627097999975376,6.409997000000001,4
22,1,1.8056818999975803,6.479996,5
136,1,0.6041592000001401,6.1899999999999995,3
16,1,2.9653567999994266,5.499999000000001,4
42,0,1.7401049000000057,6.17,3
81,0,0.4690313999999489,6.96,2
5,0,4.559913000000961,5.829993,8
53,0,1.4869247999995423,6.45,2
75,0,0.3552242000005208,6.62,2
10,0,1.6257145000017772,5.849995,5
32,1,1.6545939999996335,6.839997,3
147,2,0.4581919000011112,7.05,2
75,0,0.36621500000183005,6.62,2
102,0,0.6439637000003131,6.64,2
1,0,2.521778700000141,4.099995,7
19,1,4.248657399999502,6.209995,5
53,0,1.8997613999999885,6.45,2
7,1,8.086282799999026,5.749995,6
14,1,1.235646799999813,6.409997000000001,3
103,0,0.6599420999991708,5.5,4
131,1,0.36095729999942705,6.8,2
12,0,1.9058242999999493,6.349996000000001,4
147,2,0.4741500000018277,7.05,2
48,0,1.566560400002345,5.82,3
71,0,0.5547618999989936,6.71,2
79,0,2.040496900001017,6.21,3
16,0,1.679205099997489,6.579995,5
14,0,4.866599900000438,6.679996,4
112,0,1.0805389000015566,6.29,3
87,1,0.7496324999992794,5.339999000000001,4
28,0,1.4532204000024649,6.839996,4
35,0,0.5474069999982021,6.57,2
2,0,1.3605416999998852,5.449997,5
13,0,2.1653365999991365,5.739998,4
78,6,4.886734800002159,5.42,4
49,0,0.8209965999994893,6.9,2
1,0,5.140665999999328,4.409994999999999,6
4,0,4.741246100002172,6.1199959999999995,5
31,1,1.2160423999994237,4.949999,4
63,0,1.1633852000013576,6.229998999999999,3
32,1,1.4744537000005948,6.839997,3
58,0,0.4516514000024472,6.55,2
58,0,0.4621791999998095,6.55,2
23,0,1.7410114999984216,5.23,4
21,0,1.4679767999987234,5.269998,5
13,0,1.2807216000001063,6.169995999999999,5
147,2,0.5888136000030499,7.05,2
16,1,4.204531600000337,6.1999949999999995,5
56,0,1.214603199998237,5.3100000000000005,4
120,1,0.44958330000008573,7.04,2
71,0,0.5586182000006374,6.71,2
80,0,0.5388309999980265,6.96,2
56,1,0.876700400000118,6.13,3
58,0,0.538372300001356,6.55,2
75,0,0.3458960999996634,6.62,2
52,0,0.5982119000000239,6.619999,3
42,0,1.4037577000017336,6.17,3
7,0,1.4899579000011727,6.409996,4
3,0,1.1129021999986435,6.099997,4
84,3,0.550509200002125,5.849999,4
179,1,0.3593565999981365,6.73,2
1,0,5.982351600003312,4.209995,8
148,2,0.5603775999989011,7.05,2
18,0,3.789866200000688,6.199994,6
27,0,0.737757299997611,6.169999000000001,3
35,0,0.5572442000011506,6.57,2
6,1,1.5589214999999967,6.009995999999999,4
15,0,1.598734900002455,4.82,4
10,0,1.4621174999992945,6.4499960000000005,4
75,0,0.7439163999988523,6.62,2
79,0,1.08301930000016,6.21,3
82,3,0.6461124999987078,6.66,2
71,0,0.46532179999849177,6.71,2
8,0,4.131823099996836,5.979996,5
21,0,1.543335800000932,6.619996,4
9,0,1.178344100000686,6.059996999999999,4
35,0,0.6113704000017606,6.57,2
68,0,0.7459440999991784,5.449999,4
71,0,0.45344809999733116,6.71,2
36,0,3.07885510000051,6.199999,3
25,5,5.003506400000333,6.979997,3
13,0,1.8389671000004455,6.409997000000001,4
59,0,0.5508167999978468,6.55,2
8,1,2.513144499996997,4.559998,5
147,2,0.4539929000020493,7.05,2
113,0,1.7291709000019182,6.29,3
2,0,6.1581169000019145,5.159993,7
2,0,1.6646576999992249,6.069996000000001,5
41,5,1.7999631999991834,5.319997,6
83,0,0.6631930000003194,5.960000000000001,3
75,0,0.45174259999839705,6.62,2
80,0,0.4474265999997442,6.96,2
80,0,0.8361283000012918,6.96,2
102,1,0.4661880999992718,6.640000000000001,2
8,0,4.5323716000020795,5.219996,6
53,0,1.9747119000021485,6.45,2
12,0,1.5954192999997758,5.989996,5
110,0,1.7535360999972909,6.07,3
41,2,0.8898760000010952,6.099999,4
27,1,1.4604482999966422,6.809997,3
37,1,1.3581518000028154,5.649998999999999,4
57,0,0.6027105000030133,5.8,3
12,0,2.306886400001531,6.569998999999999,3
132,1,0.5031244999991031,5.99,3
83,1,1.8369235999998637,6.239999,3
35,0,0.5669077999991714,6.57,2
43,0,1.2580478000018047,6.17,3
124,18,7.007144899998821,5.68,3
33,0,1.730488699999114,6.559996,4
6,0,1.0899643000011565,5.619997,5
83,3,0.44487190000290866,6.66,2
15,0,1.5326217000001634,6.159997000000001,4
5,0,1.5771112000002177,6.179996,4
58,0,0.44003300000258605,6.55,2
1,0,6.182219800000894,4.429994,7
80,0,0.5479090000008,6.96,2
82,3,0.5460342000005767,6.66,2
35,0,0.597099899998284,6.57,2
120,1,0.35255880000113393,7.04,2
16,0,3.3109187000009115,6.029999,3
78,0,0.6991226999998617,5.7599990000000005,4
7,0,3.919958399997995,5.759996,4
147,2,0.35276239999802783,7.05,2
79,0,2.0844217000012577,6.21,3
2,0,5.283349599998473,5.859995,6
21,2,1.7515284000000975,6.469996,4
53,0,1.993061299999681,6.45,2
147,2,0.6441696000001684,7.05,2
12,0,12.833153499999753,5.999994,6
50,1,0.5292189000028884,6.459999,3
83,1,1.6753647000005003,6.239999,3
37,0,1.0554909000020416,6.199999,4
11,0,1.5493007999975816,5.799996,5
80,0,0.4649530999995477,6.96,2
33,1,1.8957860000009532,5.68,3
83,0,0.5421600999980001,5.960000000000001,3
49,0,0.5287153999997827,6.9,2
179,1,0.4941813999976148,6.73,2
147,2,0.49447309999959543,7.05,2
2,0,3.6173992000003636,5.439996,5
84,1,1.4591599999985192,6.239999,3
32,1,1.5377496000000974,6.839997,3
26,0,1.889893800002028,4.359999,4
99,1,1.1148910999982036,6.12,3
144,2,0.6250027999994927,6.640000000000001,2
59,0,0.5718273999991652,6.55,2
13,0,1.572256200000993,6.629997,3
127,1,1.1254048000009789,6.300000000000001,3
65,0,1.472581199999695,5.959999,4
2,0,7.9788738999995985,5.909995,6
3,0,6.374118899999303,4.669992,8
127,2,1.6883071000011114,6.34,3
35,0,0.6644304999972519,6.57,2
82,3,0.6607597000001988,6.66,2
32,1,1.5963019000009808,6.839997,3
179,1,0.47776040000098874,6.73,2
197,3,0.7339893999997003,6.380000000000001,3
147,2,0.48524689999976545,7.05,2
41,0,1.309348200000386,6.02,3
101,0,0.47628370000165887,6.64,2
83,0,0.8284458999987692,5.499999,4
101,0,0.5652546000019356,6.64,2
147,2,0.46929630000158795,7.05,2
102,1,0.570761399998446,6.640000000000001,2
80,0,0.37200010000015027,6.96,2
82,3,0.4697816000007151,6.66,2
147,2,0.46269570000004023,7.05,2
72,2,0.7123749000020325,6.929999,3
35,1,2.1649020000004384,5.6,3
11,1,1.2744755999992776,6.229995,6
36,0,0.5655434000000241,6.489998999999999,2
54,0,1.5398260000001756,6.45,2
33,2,1.5529468000022462,6.049998,4
25,5,2.9433162000023003,6.979997,3
28,0,1.383501399999659,6.839996,4
102,1,0.4632372999985819,6.640000000000001,2
30,1,4.548429900001793,6.3199950000000005,5
44,0,1.7739571999991313,4.99,4
102,0,0.6594465000016498,6.64,2
29,0,1.4358038999998826,5.539999,5
228,9,0.6554999999971187,7.13,2
71,0,2.359676500000205,5.42,4
42,0,2.1113676999993913,6.17,3
25,2,2.8885933000019577,6.3199950000000005,5
22,4,11.03456450000158,6.849995,5
147,2,0.3790015000013227,7.05,2
9,1,2.398766700000124,5.179995,7
1,0,5.458922000001621,5.799993,8
25,5,4.644474100001389,6.979997,3
147,2,0.5704570000016247,7.05,2
58,0,0.6555463000004238,6.55,2
17,0,4.6288668000015605,6.739997000000001,3
85,1,1.514129099999991,6.3100000000000005,3
7,0,1.909119700001611,6.0799970000000005,4
85,0,0.8669699000020046,6.99,2
118,0,0.39458340000055614,6.82,2
147,2,0.39809389999936684,7.05,2
53,0,0.8200695000014093,6.619998,3
86,0,2.2538854999984324,6.54,2
147,2,0.6502464000004693,7.05,2
19,1,6.26602769999954,5.929996,4
20,0,1.9483553999998549,6.049995,5
147,2,0.5608501999995497,7.05,2
85,0,0.5574722999990627,6.99,2
9,1,6.547416099998372,5.589995999999999,5
41,0,0.566246599999431,6.1,3
42,0,1.1655719999980647,6.17,3
10,1,3.514549999999872,4.779998000000001,5
13,0,1.7923109000003024,6.409997000000001,4
54,1,1.9517073000024538,5.25,4
101,2,1.742159499997797,6.24,3
87,1,1.0411659000019426,5.349999,5
80,0,0.6651290000008885,6.96,2
12,0,2.0927300000003015,5.839997,4
55,0,0.6606405999991694,5.76,3
49,0,0.4111604999998235,6.9,2
49,0,0.560072799999034,6.9,2
10,1,3.7990809999973862,6.899996,4
36,0,0.7691611000009289,6.57,2
58,0,4.688423200001125,4.439999,5
19,0,4.360278499996639,6.249993,7
82,3,0.5663623000000371,6.66,2
20,1,4.484059700000216,6.3199950000000005,5
101,0,0.5672491000004811,6.64,2
147,2,0.36706860000049346,7.05,2
77,1,0.6196424999980081,6.05,3
59,0,0.5067288999998709,6.55,2
79,0,2.0681559999975434,6.21,3
80,0,0.3713096999999834,6.96,2
15,0,1.5861573000001954,6.159997000000001,4
148,2,0.4722393000010925,7.05,2
