Explanation,Bounds
"['proline > 0.50', 'alcalinity_of_ash <= 0.30']","[[0.       1.      ]
 [0.       1.      ]
 [0.       0.3     ]
 [0.       0.3     ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.500001 1.      ]]"
"['proline > 0.50', 'nonflavanoid_phenols <= 0.49', 'proanthocyanins > 0.46']","[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.49    ]
 [0.460001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.500001 1.      ]]"
"['proline > 0.50', 'nonflavanoid_phenols <= 0.49', 'flavanoids > 0.41']","[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.410001 1.      ]
 [0.       0.49    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.500001 1.      ]]"
"['proline > 0.50', 'nonflavanoid_phenols <= 0.49', 'hue > 0.26', 'color_intensity > 0.19']","[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.49    ]
 [0.       1.      ]
 [0.190001 1.      ]
 [0.260001 1.      ]
 [0.       1.      ]
 [0.500001 1.      ]]"
"['proline > 0.50', 'alcalinity_of_ash <= 0.30']","[[0.       1.      ]
 [0.       1.      ]
 [0.       0.3     ]
 [0.       0.3     ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.500001 1.      ]]"
"['proline > 0.50', 'nonflavanoid_phenols <= 0.49', 'proanthocyanins > 0.46']","[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.49    ]
 [0.460001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.500001 1.      ]]"
"['proline > 0.50', 'nonflavanoid_phenols <= 0.49', 'flavanoids > 0.41']","[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.410001 1.      ]
 [0.       0.49    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.500001 1.      ]]"
"['proline > 0.26', 'alcalinity_of_ash <= 0.30', 'hue <= 0.48']","[[0.       1.      ]
 [0.       1.      ]
 [0.       0.3     ]
 [0.       0.3     ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.48    ]
 [0.       1.      ]
 [0.260001 1.      ]]"
"['proline > 0.26', 'alcalinity_of_ash <= 0.30', 'hue <= 0.48']","[[0.       1.      ]
 [0.       1.      ]
 [0.       0.3     ]
 [0.       0.3     ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.48    ]
 [0.       1.      ]
 [0.260001 1.      ]]"
"['proline > 0.26', 'nonflavanoid_phenols <= 0.28', 'proanthocyanins > 0.46']","[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.28    ]
 [0.460001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.260001 1.      ]]"
"['proline > 0.50', 'nonflavanoid_phenols <= 0.49', 'flavanoids > 0.41']","[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.410001 1.      ]
 [0.       0.49    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.500001 1.      ]]"
"['proline > 0.50', 'nonflavanoid_phenols <= 0.49', 'proanthocyanins > 0.46']","[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.49    ]
 [0.460001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.500001 1.      ]]"
"['proline > 0.50', 'alcalinity_of_ash <= 0.30']","[[0.       1.      ]
 [0.       1.      ]
 [0.       0.3     ]
 [0.       0.3     ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.500001 1.      ]]"
"['proline > 0.50', 'nonflavanoid_phenols <= 0.49', 'flavanoids > 0.41']","[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.410001 1.      ]
 [0.       0.49    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.500001 1.      ]]"
"['proline > 0.50', 'alcohol > 0.72', 'flavanoids > 0.56']","[[0.720001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.560001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.500001 1.      ]]"
