coverage_anchors,coverage_twostep,coverage_relative_%
25,6,-76.0
5,9,80.0
37,15,-59.45945945945946
16,12,-25.0
19,14,-26.31578947368421
32,15,-53.125
13,9,-30.76923076923077
2,3,50.0
10,6,-40.0
17,8,-52.94117647058824
12,8,-33.33333333333333
13,11,-15.384615384615385
19,17,-10.526315789473683
36,8,-77.77777777777779
16,14,-12.5
26,4,-84.61538461538461
27,14,-48.148148148148145
15,8,-46.666666666666664
30,15,-50.0
27,9,-66.66666666666666
10,6,-40.0
9,3,-66.66666666666666
40,9,-77.5
12,4,-66.66666666666666
37,6,-83.78378378378379
30,9,-70.0
10,4,-60.0
33,5,-84.84848484848484
9,5,-44.44444444444444
23,5,-78.26086956521739
34,22,-35.294117647058826
26,14,-46.15384615384615
10,1,-90.0
30,16,-46.666666666666664
10,12,20.0
36,9,-75.0
18,17,-5.555555555555555
14,12,-14.285714285714285
31,10,-67.74193548387096
10,5,-50.0
13,18,38.46153846153847
30,11,-63.33333333333333
9,6,-33.33333333333333
1,18,1700.0
27,10,-62.96296296296296
34,11,-67.64705882352942
13,2,-84.61538461538461
13,10,-23.076923076923077
39,8,-79.48717948717949
15,9,-40.0
35,7,-80.0
37,3,-91.8918918918919
30,16,-46.666666666666664
7,8,14.285714285714285
14,8,-42.857142857142854
30,8,-73.33333333333333
14,4,-71.42857142857143
32,5,-84.375
25,7,-72.0
27,12,-55.55555555555556
29,9,-68.96551724137932
32,9,-71.875
29,10,-65.51724137931035
35,9,-74.28571428571429
31,6,-80.64516129032258
33,9,-72.72727272727273
20,24,20.0
16,14,-12.5
27,13,-51.85185185185185
26,12,-53.84615384615385
17,8,-52.94117647058824
25,10,-60.0
9,2,-77.77777777777779
12,7,-41.66666666666667
10,3,-70.0
18,10,-44.44444444444444
22,21,-4.545454545454546
3,10,233.33333333333334
9,8,-11.11111111111111
19,17,-10.526315789473683
27,14,-48.148148148148145
38,19,-50.0
27,10,-62.96296296296296
30,15,-50.0
11,9,-18.181818181818183
28,8,-71.42857142857143
35,11,-68.57142857142857
12,9,-25.0
29,3,-89.65517241379311
18,11,-38.88888888888889
8,2,-75.0
14,10,-28.57142857142857
13,12,-7.6923076923076925
13,7,-46.15384615384615
23,17,-26.08695652173913
24,6,-75.0
27,16,-40.74074074074074
10,8,-20.0
24,17,-29.166666666666668
30,15,-50.0
22,2,-90.9090909090909
28,6,-78.57142857142857
28,6,-78.57142857142857
35,9,-74.28571428571429
40,8,-80.0
31,8,-74.19354838709677
18,16,-11.11111111111111
28,7,-75.0
6,14,133.33333333333331
34,17,-50.0
30,9,-70.0
19,8,-57.89473684210527
22,3,-86.36363636363636
38,9,-76.31578947368422
8,1,-87.5
12,4,-66.66666666666666
26,14,-46.15384615384615
26,7,-73.07692307692307
30,11,-63.33333333333333
5,13,160.0
34,9,-73.52941176470588
15,13,-13.333333333333334
29,5,-82.75862068965517
31,12,-61.29032258064516
27,17,-37.03703703703704
8,17,112.5
9,5,-44.44444444444444
13,15,15.384615384615385
20,18,-10.0
29,11,-62.06896551724138
27,4,-85.18518518518519
33,13,-60.60606060606061
11,7,-36.36363636363637
17,19,11.76470588235294
30,2,-93.33333333333333
21,7,-66.66666666666666
14,14,0.0
35,16,-54.285714285714285
14,4,-71.42857142857143
12,7,-41.66666666666667
29,16,-44.827586206896555
6,7,16.666666666666664
15,5,-66.66666666666666
13,10,-23.076923076923077
40,22,-45.0
29,8,-72.41379310344827
26,11,-57.692307692307686
30,8,-73.33333333333333
22,16,-27.27272727272727
37,7,-81.08108108108108
24,9,-62.5
3,14,366.66666666666663
11,3,-72.72727272727273
8,9,12.5
7,6,-14.285714285714285
31,9,-70.96774193548387
31,13,-58.06451612903226
12,2,-83.33333333333334
25,10,-60.0
6,8,33.33333333333333
6,3,-50.0
30,19,-36.666666666666664
8,4,-50.0
5,3,-40.0
31,11,-64.51612903225806
7,3,-57.14285714285714
12,11,-8.333333333333332
21,10,-52.38095238095239
24,6,-75.0
36,9,-75.0
33,11,-66.66666666666666
32,14,-56.25
25,21,-16.0
27,12,-55.55555555555556
18,13,-27.77777777777778
30,13,-56.666666666666664
23,20,-13.043478260869565
33,9,-72.72727272727273
18,15,-16.666666666666664
32,15,-53.125
28,9,-67.85714285714286
13,8,-38.46153846153847
16,13,-18.75
26,16,-38.46153846153847
24,9,-62.5
6,5,-16.666666666666664
32,15,-53.125
10,4,-60.0
3,11,266.66666666666663
32,7,-78.125
13,8,-38.46153846153847
21,6,-71.42857142857143
1,5,400.0
26,8,-69.23076923076923
33,9,-72.72727272727273
20,15,-25.0
35,10,-71.42857142857143
27,12,-55.55555555555556
33,11,-66.66666666666666
33,4,-87.87878787878788
12,4,-66.66666666666666
25,22,-12.0
23,11,-52.17391304347826
31,6,-80.64516129032258
27,3,-88.88888888888889
23,15,-34.78260869565217
35,7,-80.0
25,9,-64.0
12,13,8.333333333333332
12,8,-33.33333333333333
8,12,50.0
17,6,-64.70588235294117
13,6,-53.84615384615385
30,6,-80.0
35,15,-57.14285714285714
25,13,-48.0
32,9,-71.875
12,10,-16.666666666666664
6,2,-66.66666666666666
21,14,-33.33333333333333
14,15,7.142857142857142
26,23,-11.538461538461538
10,5,-50.0
9,3,-66.66666666666666
15,8,-46.666666666666664
20,11,-45.0
7,9,28.57142857142857
34,10,-70.58823529411765
11,9,-18.181818181818183
6,2,-66.66666666666666
31,16,-48.38709677419355
22,9,-59.09090909090909
24,8,-66.66666666666666
15,15,0.0
21,4,-80.95238095238095
21,12,-42.857142857142854
24,5,-79.16666666666666
32,23,-28.125
1,18,1700.0
23,12,-47.82608695652174
4,6,50.0
12,4,-66.66666666666666
28,17,-39.285714285714285
10,7,-30.0
26,12,-53.84615384615385
14,8,-42.857142857142854
