coverage_onestep,coverage_twostep,coverage_relative_%
49,68,38.775510204081634
23,23,0.0
19,42,121.05263157894737
21,24,14.285714285714285
24,37,54.166666666666664
55,62,12.727272727272727
44,49,11.363636363636363
12,19,58.333333333333336
20,31,55.00000000000001
20,22,10.0
25,39,56.00000000000001
24,25,4.166666666666666
26,48,84.61538461538461
58,87,50.0
26,52,100.0
48,77,60.416666666666664
26,25,-3.8461538461538463
51,63,23.52941176470588
40,39,-2.5
56,70,25.0
18,31,72.22222222222221
12,26,116.66666666666667
22,26,18.181818181818183
12,26,116.66666666666667
43,88,104.65116279069768
30,30,0.0
54,59,9.25925925925926
16,32,100.0
20,27,35.0
48,66,37.5
30,51,70.0
23,51,121.73913043478262
5,11,120.0
28,54,92.85714285714286
26,48,84.61538461538461
50,68,36.0
29,46,58.620689655172406
9,9,0.0
49,68,38.775510204081634
29,43,48.275862068965516
13,13,0.0
46,55,19.565217391304348
20,42,110.00000000000001
24,38,58.333333333333336
25,47,88.0
49,46,-6.122448979591836
3,6,100.0
28,46,64.28571428571429
32,32,0.0
13,14,7.6923076923076925
17,46,170.58823529411765
39,77,97.43589743589743
22,51,131.8181818181818
22,41,86.36363636363636
30,29,-3.3333333333333335
52,63,21.153846153846153
12,16,33.33333333333333
56,87,55.35714285714286
56,68,21.428571428571427
27,55,103.7037037037037
21,22,4.761904761904762
21,21,0.0
56,80,42.857142857142854
60,98,63.33333333333333
52,60,15.384615384615385
46,68,47.82608695652174
27,28,3.7037037037037033
26,35,34.61538461538461
23,48,108.69565217391303
25,51,104.0
24,50,108.33333333333333
25,48,92.0
17,18,5.88235294117647
22,34,54.54545454545454
18,25,38.88888888888889
25,40,60.0
26,56,115.38461538461537
16,17,6.25
34,35,2.941176470588235
34,51,50.0
27,44,62.96296296296296
23,48,108.69565217391303
47,88,87.2340425531915
28,49,75.0
30,33,10.0
52,69,32.69230769230769
19,36,89.47368421052632
17,33,94.11764705882352
48,92,91.66666666666666
24,41,70.83333333333334
23,23,0.0
28,29,3.571428571428571
26,41,57.692307692307686
21,39,85.71428571428571
32,33,3.125
55,61,10.909090909090908
33,56,69.6969696969697
32,33,3.125
32,37,15.625
24,45,87.5
54,82,51.85185185185185
45,81,80.0
51,75,47.05882352941176
56,69,23.214285714285715
53,77,45.28301886792453
49,82,67.3469387755102
32,43,34.375
36,61,69.44444444444444
23,41,78.26086956521739
28,39,39.285714285714285
22,39,77.27272727272727
16,16,0.0
23,23,0.0
26,35,34.61538461538461
22,35,59.09090909090909
14,16,14.285714285714285
28,38,35.714285714285715
40,83,107.5
19,51,168.42105263157893
18,20,11.11111111111111
16,19,18.75
33,47,42.42424242424242
41,75,82.92682926829268
20,21,5.0
24,44,83.33333333333334
