coverage_anchors,coverage_twostep,coverage_relative_%
83,11,-86.74698795180723
54,10,-81.48148148148148
12,4,-66.66666666666666
78,2,-97.43589743589743
10,5,-50.0
53,9,-83.01886792452831
13,10,-23.076923076923077
11,2,-81.81818181818183
6,1,-83.33333333333334
43,6,-86.04651162790698
12,13,8.333333333333332
42,5,-88.09523809523809
15,1,-93.33333333333333
13,4,-69.23076923076923
46,2,-95.65217391304348
8,6,-25.0
15,7,-53.333333333333336
12,9,-25.0
15,8,-46.666666666666664
62,9,-85.48387096774194
9,2,-77.77777777777779
11,2,-81.81818181818183
4,4,0.0
10,5,-50.0
12,12,0.0
72,1,-98.61111111111111
20,11,-45.0
16,3,-81.25
11,6,-45.45454545454545
14,1,-92.85714285714286
52,8,-84.61538461538461
16,8,-50.0
19,9,-52.63157894736842
15,8,-46.666666666666664
7,2,-71.42857142857143
7,5,-28.57142857142857
10,10,0.0
19,8,-57.89473684210527
10,10,0.0
18,1,-94.44444444444444
47,1,-97.87234042553192
81,7,-91.35802469135803
50,3,-94.0
15,8,-46.666666666666664
5,8,60.0
10,9,-10.0
11,12,9.090909090909092
17,1,-94.11764705882352
53,7,-86.79245283018868
14,8,-42.857142857142854
74,16,-78.37837837837837
18,8,-55.55555555555556
12,2,-83.33333333333334
14,6,-57.14285714285714
9,1,-88.88888888888889
17,6,-64.70588235294117
11,7,-36.36363636363637
60,11,-81.66666666666667
86,11,-87.20930232558139
22,8,-63.63636363636363
13,1,-92.3076923076923
43,4,-90.69767441860465
15,9,-40.0
52,6,-88.46153846153845
8,2,-75.0
12,11,-8.333333333333332
8,1,-87.5
16,2,-87.5
12,2,-83.33333333333334
52,11,-78.84615384615384
12,14,16.666666666666664
19,5,-73.68421052631578
13,9,-30.76923076923077
19,9,-52.63157894736842
20,8,-60.0
84,9,-89.28571428571429
81,1,-98.76543209876543
4,6,50.0
40,6,-85.0
99,11,-88.88888888888889
9,10,11.11111111111111
16,6,-62.5
49,3,-93.87755102040816
10,12,20.0
14,3,-78.57142857142857
9,8,-11.11111111111111
76,15,-80.26315789473685
17,2,-88.23529411764706
12,3,-75.0
14,9,-35.714285714285715
66,9,-86.36363636363636
18,8,-55.55555555555556
77,12,-84.4155844155844
16,12,-25.0
15,1,-93.33333333333333
18,8,-55.55555555555556
89,7,-92.13483146067416
11,1,-90.9090909090909
14,4,-71.42857142857143
18,3,-83.33333333333334
16,2,-87.5
14,10,-28.57142857142857
63,9,-85.71428571428571
14,11,-21.428571428571427
80,12,-85.0
19,7,-63.1578947368421
14,1,-92.85714285714286
48,7,-85.41666666666666
47,10,-78.72340425531915
14,2,-85.71428571428571
54,6,-88.88888888888889
4,7,75.0
46,1,-97.82608695652173
42,11,-73.80952380952381
54,18,-66.66666666666666
54,15,-72.22222222222221
7,7,0.0
14,12,-14.285714285714285
33,6,-81.81818181818183
17,13,-23.52941176470588
92,11,-88.04347826086956
9,9,0.0
16,1,-93.75
57,3,-94.73684210526315
11,9,-18.181818181818183
53,8,-84.90566037735849
15,7,-53.333333333333336
14,8,-42.857142857142854
15,9,-40.0
11,6,-45.45454545454545
11,13,18.181818181818183
45,6,-86.66666666666667
72,12,-83.33333333333334
62,13,-79.03225806451613
16,1,-93.75
18,7,-61.111111111111114
9,15,66.66666666666666
99,5,-94.94949494949495
14,1,-92.85714285714286
12,1,-91.66666666666666
90,7,-92.22222222222223
15,4,-73.33333333333333
12,1,-91.66666666666666
16,6,-62.5
14,6,-57.14285714285714
14,8,-42.857142857142854
12,3,-75.0
10,6,-40.0
10,2,-80.0
10,1,-90.0
17,3,-82.35294117647058
15,2,-86.66666666666667
13,6,-53.84615384615385
13,7,-46.15384615384615
11,2,-81.81818181818183
92,8,-91.30434782608695
12,2,-83.33333333333334
47,7,-85.1063829787234
14,5,-64.28571428571429
53,8,-84.90566037735849
9,6,-33.33333333333333
11,2,-81.81818181818183
21,7,-66.66666666666666
45,18,-60.0
17,1,-94.11764705882352
13,8,-38.46153846153847
15,11,-26.666666666666668
44,4,-90.9090909090909
6,8,33.33333333333333
17,3,-82.35294117647058
16,1,-93.75
84,10,-88.09523809523809
54,13,-75.92592592592592
10,12,20.0
11,2,-81.81818181818183
14,6,-57.14285714285714
11,3,-72.72727272727273
15,1,-93.33333333333333
68,5,-92.64705882352942
13,3,-76.92307692307693
10,4,-60.0
11,2,-81.81818181818183
41,8,-80.48780487804879
14,2,-85.71428571428571
14,9,-35.714285714285715
74,9,-87.83783783783784
13,1,-92.3076923076923
12,3,-75.0
73,9,-87.67123287671232
48,6,-87.5
16,2,-87.5
68,10,-85.29411764705883
14,17,21.428571428571427
76,8,-89.47368421052632
8,1,-87.5
36,6,-83.33333333333334
8,9,12.5
16,4,-75.0
10,6,-40.0
15,10,-33.33333333333333
83,3,-96.3855421686747
16,10,-37.5
55,5,-90.9090909090909
14,9,-35.714285714285715
17,7,-58.82352941176471
13,4,-69.23076923076923
18,1,-94.44444444444444
63,11,-82.53968253968253
54,10,-81.48148148148148
16,2,-87.5
12,1,-91.66666666666666
7,3,-57.14285714285714
12,2,-83.33333333333334
14,12,-14.285714285714285
4,2,-50.0
18,9,-50.0
15,4,-73.33333333333333
5,7,40.0
13,1,-92.3076923076923
94,4,-95.74468085106383
2,8,300.0
52,10,-80.76923076923077
75,8,-89.33333333333333
48,2,-95.83333333333334
14,2,-85.71428571428571
53,8,-84.90566037735849
15,1,-93.33333333333333
13,8,-38.46153846153847
16,11,-31.25
83,12,-85.54216867469879
80,7,-91.25
13,2,-84.61538461538461
100,2,-98.0
68,7,-89.70588235294117
68,8,-88.23529411764706
17,13,-23.52941176470588
78,8,-89.74358974358975
15,13,-13.333333333333334
54,1,-98.14814814814815
11,3,-72.72727272727273
46,7,-84.78260869565217
14,6,-57.14285714285714
10,1,-90.0
48,12,-75.0
68,9,-86.76470588235294
12,3,-75.0
14,9,-35.714285714285715
46,9,-80.43478260869566
12,1,-91.66666666666666
15,2,-86.66666666666667
26,1,-96.15384615384616
12,3,-75.0
11,1,-90.9090909090909
17,1,-94.11764705882352
14,13,-7.142857142857142
71,9,-87.32394366197182
93,12,-87.09677419354838
15,1,-93.33333333333333
8,14,75.0
12,2,-83.33333333333334
16,2,-87.5
12,7,-41.66666666666667
16,2,-87.5
79,7,-91.13924050632912
15,8,-46.666666666666664
54,13,-75.92592592592592
10,1,-90.0
10,4,-60.0
14,5,-64.28571428571429
5,8,60.0
9,13,44.44444444444444
96,17,-82.29166666666666
12,1,-91.66666666666666
13,6,-53.84615384615385
75,10,-86.66666666666667
13,6,-53.84615384615385
6,2,-66.66666666666666
8,8,0.0
18,1,-94.44444444444444
9,5,-44.44444444444444
57,4,-92.98245614035088
16,3,-81.25
8,1,-87.5
84,10,-88.09523809523809
17,3,-82.35294117647058
14,2,-85.71428571428571
10,1,-90.0
57,10,-82.45614035087719
11,9,-18.181818181818183
16,12,-25.0
15,1,-93.33333333333333
6,2,-66.66666666666666
72,13,-81.94444444444444
9,1,-88.88888888888889
53,7,-86.79245283018868
10,10,0.0
12,1,-91.66666666666666
69,12,-82.6086956521739
10,5,-50.0
14,6,-57.14285714285714
51,2,-96.07843137254902
11,3,-72.72727272727273
16,8,-50.0
66,7,-89.39393939393939
49,11,-77.55102040816327
13,7,-46.15384615384615
10,4,-60.0
17,9,-47.05882352941176
12,13,8.333333333333332
15,9,-40.0
12,8,-33.33333333333333
44,11,-75.0
17,11,-35.294117647058826
15,6,-60.0
12,2,-83.33333333333334
11,8,-27.27272727272727
12,1,-91.66666666666666
15,10,-33.33333333333333
16,4,-75.0
9,1,-88.88888888888889
14,3,-78.57142857142857
47,6,-87.2340425531915
98,1,-98.9795918367347
13,12,-7.6923076923076925
7,1,-85.71428571428571
18,2,-88.88888888888889
83,5,-93.97590361445783
11,6,-45.45454545454545
80,15,-81.25
9,2,-77.77777777777779
15,2,-86.66666666666667
8,4,-50.0
14,4,-71.42857142857143
17,1,-94.11764705882352
14,8,-42.857142857142854
51,7,-86.27450980392157
85,13,-84.70588235294117
16,8,-50.0
11,4,-63.63636363636363
11,1,-90.9090909090909
12,13,8.333333333333332
10,3,-70.0
48,1,-97.91666666666666
11,4,-63.63636363636363
14,8,-42.857142857142854
5,2,-60.0
16,14,-12.5
13,12,-7.6923076923076925
91,10,-89.01098901098901
62,1,-98.38709677419355
8,2,-75.0
17,4,-76.47058823529412
13,8,-38.46153846153847
12,8,-33.33333333333333
7,1,-85.71428571428571
98,8,-91.83673469387756
13,10,-23.076923076923077
14,14,0.0
10,11,10.0
10,4,-60.0
9,9,0.0
51,13,-74.50980392156863
17,6,-64.70588235294117
7,1,-85.71428571428571
8,3,-62.5
12,14,16.666666666666664
47,8,-82.97872340425532
6,6,0.0
56,11,-80.35714285714286
13,8,-38.46153846153847
17,14,-17.647058823529413
61,4,-93.44262295081968
12,13,8.333333333333332
