coverage_onestep,coverage_twostep,coverage_relative_%
34,41,20.588235294117645
29,33,13.793103448275861
18,17,-5.555555555555555
54,57,5.555555555555555
18,18,0.0
52,98,88.46153846153845
50,92,84.0
21,22,4.761904761904762
5,5,0.0
27,34,25.925925925925924
43,39,-9.30232558139535
17,60,252.94117647058823
6,6,0.0
50,74,48.0
52,58,11.538461538461538
38,49,28.947368421052634
47,65,38.297872340425535
32,39,21.875
34,34,0.0
33,40,21.21212121212121
10,7,-30.0
7,7,0.0
27,30,11.11111111111111
21,17,-19.047619047619047
55,77,40.0
1,6,500.0
51,73,43.13725490196079
21,19,-9.523809523809524
39,58,48.717948717948715
7,7,0.0
52,80,53.84615384615385
26,26,0.0
48,72,50.0
53,101,90.56603773584906
7,7,0.0
31,30,-3.225806451612903
37,43,16.216216216216218
35,76,117.14285714285715
36,40,11.11111111111111
4,4,0.0
4,4,0.0
42,53,26.190476190476193
27,28,3.7037037037037033
49,60,22.448979591836736
40,42,5.0
23,23,0.0
35,39,11.428571428571429
7,7,0.0
6,6,0.0
43,47,9.30232558139535
53,66,24.528301886792452
16,19,18.75
5,5,0.0
45,69,53.333333333333336
7,7,0.0
22,22,0.0
25,25,0.0
48,55,14.583333333333334
33,37,12.121212121212121
19,22,15.789473684210526
11,11,0.0
34,43,26.47058823529412
32,37,15.625
52,101,94.23076923076923
39,76,94.87179487179486
38,44,15.789473684210526
3,3,0.0
25,79,216.0
11,11,0.0
52,91,75.0
52,72,38.46153846153847
20,72,260.0
38,46,21.052631578947366
46,60,30.434782608695656
50,58,16.0
29,57,96.55172413793103
17,17,0.0
47,46,-2.127659574468085
40,81,102.49999999999999
39,46,17.94871794871795
44,59,34.090909090909086
22,25,13.636363636363635
44,38,-13.636363636363635
32,33,3.125
9,9,0.0
25,26,4.0
49,61,24.489795918367346
8,8,0.0
6,6,0.0
46,50,8.695652173913043
36,41,13.88888888888889
35,74,111.42857142857143
39,49,25.64102564102564
47,69,46.808510638297875
6,6,0.0
32,32,0.0
46,77,67.3913043478261
8,8,0.0
