coverage_anchors,coverage_twostep,coverage_relative_%
43,1,-97.67441860465115
66,1,-98.48484848484848
30,1,-96.66666666666667
43,1,-97.67441860465115
51,1,-98.0392156862745
69,1,-98.55072463768117
64,1,-98.4375
47,1,-97.87234042553192
34,1,-97.05882352941177
44,1,-97.72727272727273
41,1,-97.5609756097561
28,1,-96.42857142857143
44,1,-97.72727272727273
50,1,-98.0
24,1,-95.83333333333334
50,1,-98.0
43,1,-97.67441860465115
31,1,-96.7741935483871
6,1,-83.33333333333334
16,1,-93.75
43,1,-97.67441860465115
47,1,-97.87234042553192
50,1,-98.0
46,1,-97.82608695652173
20,1,-95.0
74,1,-98.64864864864865
67,1,-98.50746268656717
36,1,-97.22222222222221
29,1,-96.55172413793103
44,1,-97.72727272727273
70,1,-98.57142857142858
52,1,-98.07692307692307
48,1,-97.91666666666666
56,1,-98.21428571428571
38,1,-97.36842105263158
39,1,-97.43589743589743
31,1,-96.7741935483871
57,1,-98.24561403508771
6,1,-83.33333333333334
26,1,-96.15384615384616
43,1,-97.67441860465115
33,1,-96.96969696969697
37,1,-97.2972972972973
30,1,-96.66666666666667
44,1,-97.72727272727273
10,1,-90.0
61,1,-98.36065573770492
36,1,-97.22222222222221
37,1,-97.2972972972973
37,1,-97.2972972972973
9,1,-88.88888888888889
16,1,-93.75
73,1,-98.63013698630137
37,1,-97.2972972972973
38,1,-97.36842105263158
50,1,-98.0
40,1,-97.5
45,1,-97.77777777777777
38,1,-97.36842105263158
28,1,-96.42857142857143
48,1,-97.91666666666666
41,1,-97.5609756097561
36,1,-97.22222222222221
43,1,-97.67441860465115
53,1,-98.11320754716981
44,1,-97.72727272727273
49,1,-97.95918367346938
41,1,-97.5609756097561
53,1,-98.11320754716981
49,1,-97.95918367346938
60,1,-98.33333333333333
39,1,-97.43589743589743
60,1,-98.33333333333333
42,1,-97.61904761904762
46,1,-97.82608695652173
48,1,-97.91666666666666
44,1,-97.72727272727273
22,1,-95.45454545454545
37,1,-97.2972972972973
41,1,-97.5609756097561
46,1,-97.82608695652173
66,1,-98.48484848484848
28,1,-96.42857142857143
28,1,-96.42857142857143
61,1,-98.36065573770492
40,1,-97.5
60,1,-98.33333333333333
21,1,-95.23809523809523
47,1,-97.87234042553192
42,1,-97.61904761904762
49,1,-97.95918367346938
37,1,-97.2972972972973
71,1,-98.59154929577466
