coverage_onestep,coverage_twostep,coverage_relative_%
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,12,1100.0
1,1,0.0
1,8,700.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,3,200.0
1,27,2600.0
1,1,0.0
1,5,400.0
1,1,0.0
1,1,0.0
1,1,0.0
1,6,500.0
1,22,2100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,37,3600.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
1,1,0.0
1,7,600.0
1,8,700.0
1,1,0.0
1,4,300.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,12,1100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,7,600.0
1,1,0.0
1,4,300.0
1,1,0.0
1,1,0.0
1,1,0.0
1,20,1900.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,3,200.0
1,1,0.0
1,1,0.0
1,5,400.0
1,1,0.0
1,1,0.0
1,72,7100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,28,2700.0
1,1,0.0
1,2,100.0
1,13,1200.0
1,2,100.0
1,1,0.0
1,1,0.0
1,3,200.0
1,1,0.0
1,1,0.0
1,9,800.0
1,1,0.0
1,1,0.0
1,1,0.0
1,50,4900.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,4,300.0
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,42,4100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,20,1900.0
1,1,0.0
1,1,0.0
1,1,0.0
1,15,1400.0
1,2,100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,2,100.0
1,47,4600.0
1,15,1400.0
1,1,0.0
1,1,0.0
1,3,200.0
1,2,100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,83,8200.0
1,2,100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,101,10000.0
1,1,0.0
1,2,100.0
1,1,0.0
1,1,0.0
1,2,100.0
1,81,8000.0
1,1,0.0
1,2,100.0
1,69,6800.0
1,1,0.0
