coverage_anchors,coverage_twostep,coverage_relative_%
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
38,1,-97.36842105263158
17,1,-94.11764705882352
21,1,-95.23809523809523
22,1,-95.45454545454545
24,1,-95.83333333333334
28,1,-96.42857142857143
28,1,-96.42857142857143
62,1,-98.38709677419355
13,1,-92.3076923076923
75,1,-98.66666666666667
77,1,-98.7012987012987
40,1,-97.5
25,1,-96.0
14,1,-92.85714285714286
57,1,-98.24561403508771
45,1,-97.77777777777777
22,1,-95.45454545454545
57,1,-98.24561403508771
36,1,-97.22222222222221
44,1,-97.72727272727273
60,1,-98.33333333333333
24,1,-95.83333333333334
77,1,-98.7012987012987
16,1,-93.75
50,1,-98.0
36,1,-97.22222222222221
30,1,-96.66666666666667
19,1,-94.73684210526315
26,1,-96.15384615384616
58,1,-98.27586206896551
20,1,-95.0
71,1,-98.59154929577466
21,1,-95.23809523809523
52,1,-98.07692307692307
20,1,-95.0
26,1,-96.15384615384616
26,1,-96.15384615384616
52,1,-98.07692307692307
6,1,-83.33333333333334
63,1,-98.4126984126984
25,1,-96.0
8,1,-87.5
19,1,-94.73684210526315
79,1,-98.73417721518987
19,1,-94.73684210526315
29,1,-96.55172413793103
53,1,-98.11320754716981
27,1,-96.29629629629629
30,1,-96.66666666666667
75,1,-98.66666666666667
53,1,-98.11320754716981
47,1,-97.87234042553192
74,1,-98.64864864864865
27,1,-96.29629629629629
59,1,-98.30508474576271
25,1,-96.0
51,1,-98.0392156862745
46,1,-97.82608695652173
26,1,-96.15384615384616
53,1,-98.11320754716981
23,1,-95.65217391304348
33,1,-96.96969696969697
22,1,-95.45454545454545
27,1,-96.29629629629629
47,1,-97.87234042553192
22,1,-95.45454545454545
36,1,-97.22222222222221
66,1,-98.48484848484848
53,1,-98.11320754716981
28,1,-96.42857142857143
54,1,-98.14814814814815
60,1,-98.33333333333333
51,1,-98.0392156862745
27,1,-96.29629629629629
58,1,-98.27586206896551
81,1,-98.76543209876543
25,2,-92.0
46,1,-97.82608695652173
25,1,-96.0
26,1,-96.15384615384616
55,1,-98.18181818181819
14,1,-92.85714285714286
71,1,-98.59154929577466
51,1,-98.0392156862745
72,1,-98.61111111111111
59,1,-98.30508474576271
24,1,-95.83333333333334
41,1,-97.5609756097561
51,1,-98.0392156862745
26,1,-96.15384615384616
26,1,-96.15384615384616
25,1,-96.0
56,1,-98.21428571428571
61,1,-98.36065573770492
47,1,-97.87234042553192
16,1,-93.75
39,1,-97.43589743589743
40,1,-97.5
49,1,-97.95918367346938
21,1,-95.23809523809523
28,1,-96.42857142857143
48,1,-97.91666666666666
30,1,-96.66666666666667
78,1,-98.71794871794873
24,1,-95.83333333333334
45,1,-97.77777777777777
25,1,-96.0
83,1,-98.79518072289156
42,1,-97.61904761904762
26,1,-96.15384615384616
30,1,-96.66666666666667
24,1,-95.83333333333334
32,1,-96.875
