coverage_onestep,coverage_twostep,coverage_relative_%
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
1,2,100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
2,6,200.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,10,900.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
1,4,300.0
1,2,100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
1,3,200.0
1,1,0.0
1,5,400.0
1,1,0.0
1,1,0.0
1,1,0.0
1,2,100.0
2,2,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,8,700.0
1,3,200.0
1,1,0.0
1,1,0.0
4,8,100.0
1,1,0.0
1,1,0.0
1,9,800.0
1,1,0.0
1,1,0.0
1,11,1000.0
1,1,0.0
1,1,0.0
1,1,0.0
1,8,700.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
2,3,50.0
1,1,0.0
1,1,0.0
1,1,0.0
1,4,300.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,3,200.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
2,1,-50.0
1,2,100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,5,400.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,3,200.0
1,3,200.0
1,1,0.0
1,1,0.0
1,1,0.0
4,24,500.0
1,1,0.0
1,1,0.0
1,1,0.0
4,4,0.0
1,1,0.0
1,2,100.0
1,2,100.0
2,5,150.0
1,1,0.0
1,2,100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
3,3,0.0
1,1,0.0
2,3,50.0
1,1,0.0
2,2,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
5,7,40.0
1,1,0.0
9,7,-22.22222222222222
1,4,300.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
