coverage_anchors,coverage_twostep,coverage_relative_%
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
4,1,-75.0
1,1,0.0
1,1,0.0
1,1,0.0
3,1,-66.66666666666666
1,1,0.0
3,1,-66.66666666666666
4,1,-75.0
7,1,-85.71428571428571
3,1,-66.66666666666666
2,1,-50.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
6,1,-83.33333333333334
1,1,0.0
7,1,-85.71428571428571
2,1,-50.0
1,1,0.0
1,1,0.0
1,1,0.0
4,1,-75.0
7,1,-85.71428571428571
2,1,-50.0
1,1,0.0
1,1,0.0
1,1,0.0
6,1,-83.33333333333334
1,1,0.0
1,1,0.0
1,1,0.0
4,1,-75.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
3,2,-33.33333333333333
3,1,-66.66666666666666
5,1,-80.0
5,1,-80.0
5,1,-80.0
1,1,0.0
2,1,-50.0
1,1,0.0
4,1,-75.0
1,1,0.0
1,1,0.0
2,1,-50.0
3,1,-66.66666666666666
1,1,0.0
1,1,0.0
4,1,-75.0
5,1,-80.0
3,1,-66.66666666666666
7,1,-85.71428571428571
1,1,0.0
1,1,0.0
9,1,-88.88888888888889
2,1,-50.0
2,1,-50.0
3,1,-66.66666666666666
7,1,-85.71428571428571
2,1,-50.0
6,1,-83.33333333333334
1,1,0.0
1,1,0.0
2,1,-50.0
1,1,0.0
1,1,0.0
7,1,-85.71428571428571
1,1,0.0
3,1,-66.66666666666666
2,1,-50.0
2,1,-50.0
1,1,0.0
1,1,0.0
1,1,0.0
32,22,-31.25
29,23,-20.689655172413794
32,25,-21.875
48,32,-33.33333333333333
17,26,52.94117647058824
29,34,17.24137931034483
42,13,-69.04761904761905
26,36,38.46153846153847
50,54,8.0
28,17,-39.285714285714285
47,30,-36.17021276595745
32,13,-59.375
35,33,-5.714285714285714
38,34,-10.526315789473683
21,31,47.61904761904761
44,21,-52.27272727272727
61,30,-50.81967213114754
79,15,-81.0126582278481
22,10,-54.54545454545454
39,20,-48.717948717948715
39,26,-33.33333333333333
23,7,-69.56521739130434
29,36,24.137931034482758
53,33,-37.735849056603776
68,20,-70.58823529411765
66,26,-60.60606060606061
61,37,-39.34426229508197
41,24,-41.46341463414634
74,15,-79.72972972972973
43,23,-46.51162790697674
40,19,-52.5
52,32,-38.46153846153847
35,25,-28.57142857142857
36,28,-22.22222222222222
71,22,-69.01408450704226
69,38,-44.927536231884055
65,24,-63.07692307692307
31,23,-25.806451612903224
20,21,5.0
37,14,-62.16216216216216
64,36,-43.75
23,13,-43.47826086956522
71,38,-46.478873239436616
45,22,-51.11111111111111
52,36,-30.76923076923077
35,40,14.285714285714285
30,16,-46.666666666666664
43,18,-58.139534883720934
51,7,-86.27450980392157
27,12,-55.55555555555556
31,16,-48.38709677419355
39,35,-10.256410256410255
47,18,-61.702127659574465
27,19,-29.629629629629626
27,16,-40.74074074074074
55,17,-69.0909090909091
55,32,-41.81818181818181
46,16,-65.21739130434783
65,27,-58.46153846153847
78,16,-79.48717948717949
74,32,-56.75675675675676
31,45,45.16129032258064
32,32,0.0
30,13,-56.666666666666664
30,17,-43.333333333333336
33,18,-45.45454545454545
29,18,-37.93103448275862
26,15,-42.30769230769231
58,9,-84.48275862068965
57,35,-38.59649122807017
29,23,-20.689655172413794
29,14,-51.724137931034484
31,59,90.32258064516128
34,35,2.941176470588235
48,28,-41.66666666666667
26,17,-34.61538461538461
28,15,-46.42857142857143
34,26,-23.52941176470588
27,12,-55.55555555555556
41,14,-65.85365853658537
28,7,-75.0
37,21,-43.24324324324324
64,11,-82.8125
44,44,0.0
31,14,-54.83870967741935
40,30,-25.0
34,14,-58.82352941176471
31,26,-16.129032258064516
47,15,-68.08510638297872
69,37,-46.3768115942029
28,17,-39.285714285714285
59,30,-49.152542372881356
41,26,-36.58536585365854
37,19,-48.64864864864865
27,24,-11.11111111111111
31,13,-58.06451612903226
42,14,-66.66666666666666
28,10,-64.28571428571429
43,19,-55.81395348837209
32,26,-18.75
27,13,-51.85185185185185
32,25,-21.875
64,16,-75.0
8,12,50.0
68,53,-22.058823529411764
28,46,64.28571428571429
44,28,-36.36363636363637
32,20,-37.5
28,24,-14.285714285714285
62,18,-70.96774193548387
40,25,-37.5
36,16,-55.55555555555556
70,35,-50.0
19,24,26.31578947368421
25,19,-24.0
27,12,-55.55555555555556
63,22,-65.07936507936508
42,30,-28.57142857142857
43,21,-51.162790697674424
68,33,-51.470588235294116
21,22,4.761904761904762
34,21,-38.23529411764706
22,20,-9.090909090909092
23,23,0.0
29,19,-34.48275862068966
25,20,-20.0
70,16,-77.14285714285715
35,17,-51.42857142857142
39,18,-53.84615384615385
33,33,0.0
64,14,-78.125
28,31,10.714285714285714
39,25,-35.8974358974359
26,11,-57.692307692307686
47,31,-34.04255319148936
33,19,-42.42424242424242
59,20,-66.10169491525424
38,32,-15.789473684210526
24,26,8.333333333333332
31,15,-51.61290322580645
52,19,-63.46153846153846
29,28,-3.4482758620689653
25,18,-28.000000000000004
38,15,-60.526315789473685
45,26,-42.22222222222222
31,37,19.35483870967742
32,22,-31.25
70,37,-47.14285714285714
71,27,-61.97183098591549
31,12,-61.29032258064516
49,16,-67.3469387755102
