coverage_onestep,coverage_twostep,coverage_relative_%
1,1,0.0
2,2,0.0
1,1,0.0
4,4,0.0
3,4,33.33333333333333
2,4,100.0
2,4,100.0
9,16,77.77777777777779
2,3,50.0
2,4,100.0
2,3,50.0
1,2,100.0
3,6,100.0
2,2,0.0
4,5,25.0
3,6,100.0
3,3,0.0
4,4,0.0
1,1,0.0
2,3,50.0
3,2,-33.33333333333333
1,4,300.0
3,3,0.0
4,3,-25.0
4,4,0.0
1,2,100.0
3,3,0.0
3,5,66.66666666666666
4,5,25.0
1,1,0.0
3,13,333.33333333333337
5,5,0.0
3,4,33.33333333333333
6,7,16.666666666666664
1,1,0.0
1,1,0.0
4,3,-25.0
2,3,50.0
1,1,0.0
1,1,0.0
1,2,100.0
7,9,28.57142857142857
10,11,10.0
7,6,-14.285714285714285
2,2,0.0
3,5,66.66666666666666
5,10,100.0
4,5,25.0
2,7,250.0
4,5,25.0
4,4,0.0
6,8,33.33333333333333
2,2,0.0
4,9,125.0
2,2,0.0
2,2,0.0
2,6,200.0
3,4,33.33333333333333
3,3,0.0
1,2,100.0
1,1,0.0
2,2,0.0
3,3,0.0
2,3,50.0
2,4,100.0
5,5,0.0
3,5,66.66666666666666
3,3,0.0
1,2,100.0
1,4,300.0
2,2,0.0
1,1,0.0
4,4,0.0
3,10,233.33333333333334
3,2,-33.33333333333333
4,4,0.0
3,3,0.0
2,3,50.0
2,2,0.0
1,1,0.0
4,4,0.0
1,3,200.0
53,62,16.9811320754717
18,21,16.666666666666664
13,12,-7.6923076923076925
20,22,10.0
27,46,70.37037037037037
46,49,6.521739130434782
11,11,0.0
29,52,79.3103448275862
52,59,13.461538461538462
13,13,0.0
23,26,13.043478260869565
3,4,33.33333333333333
26,55,111.53846153846155
29,52,79.3103448275862
45,42,-6.666666666666667
4,12,200.0
21,31,47.61904761904761
58,62,6.896551724137931
54,77,42.592592592592595
23,40,73.91304347826086
46,53,15.217391304347828
44,46,4.545454545454546
36,37,2.7777777777777777
17,21,23.52941176470588
8,10,25.0
21,41,95.23809523809523
24,37,54.166666666666664
7,9,28.57142857142857
10,7,-30.0
15,17,13.333333333333334
7,9,28.57142857142857
26,30,15.384615384615385
31,31,0.0
20,22,10.0
24,40,66.66666666666666
28,57,103.57142857142858
20,46,130.0
24,33,37.5
4,6,50.0
11,14,27.27272727272727
20,39,95.0
11,12,9.090909090909092
31,38,22.58064516129032
22,27,22.727272727272727
27,29,7.4074074074074066
21,46,119.04761904761905
7,10,42.857142857142854
17,22,29.411764705882355
1,50,4900.0
6,7,16.666666666666664
7,9,28.57142857142857
46,51,10.869565217391305
8,12,50.0
11,13,18.181818181818183
6,3,-50.0
1,2,100.0
13,15,15.384615384615385
4,5,25.0
26,23,-11.538461538461538
29,32,10.344827586206897
11,11,0.0
48,61,27.083333333333332
27,40,48.148148148148145
5,10,100.0
50,56,12.0
39,44,12.82051282051282
5,6,20.0
5,5,0.0
3,4,33.33333333333333
25,24,-4.0
33,32,-3.0303030303030303
29,31,6.896551724137931
101,101,0.0
29,49,68.96551724137932
22,25,13.636363636363635
18,20,11.11111111111111
3,6,100.0
18,23,27.77777777777778
52,57,9.615384615384617
16,17,6.25
10,8,-20.0
11,14,27.27272727272727
44,45,2.272727272727273
52,88,69.23076923076923
3,3,0.0
27,27,0.0
3,4,33.33333333333333
18,21,16.666666666666664
3,5,66.66666666666666
26,25,-3.8461538461538463
56,78,39.285714285714285
23,23,0.0
30,34,13.333333333333334
10,15,50.0
10,14,40.0
52,74,42.30769230769231
4,10,150.0
5,6,20.0
14,14,0.0
29,47,62.06896551724138
16,22,37.5
22,21,-4.545454545454546
10,12,20.0
1,2,100.0
33,31,-6.0606060606060606
50,64,28.000000000000004
14,18,28.57142857142857
18,24,33.33333333333333
29,49,68.96551724137932
23,33,43.47826086956522
14,16,14.285714285714285
38,42,10.526315789473683
35,35,0.0
50,52,4.0
37,36,-2.7027027027027026
8,11,37.5
14,16,14.285714285714285
21,23,9.523809523809524
13,12,-7.6923076923076925
32,32,0.0
22,47,113.63636363636364
10,14,40.0
40,42,5.0
5,5,0.0
26,28,7.6923076923076925
2,3,50.0
10,14,40.0
12,12,0.0
12,14,16.666666666666664
22,22,0.0
19,22,15.789473684210526
13,13,0.0
31,41,32.25806451612903
3,3,0.0
24,34,41.66666666666667
10,15,50.0
26,36,38.46153846153847
31,32,3.225806451612903
18,17,-5.555555555555555
4,6,50.0
21,35,66.66666666666666
17,17,0.0
12,13,8.333333333333332
12,13,8.333333333333332
21,25,19.047619047619047
26,50,92.3076923076923
32,38,18.75
30,33,10.0
4,5,25.0
11,14,27.27272727272727
6,7,16.666666666666664
