coverage_anchors,coverage_twostep,coverage_relative_%
6,1,-83.33333333333334
1,1,0.0
10,1,-90.0
1,1,0.0
1,1,0.0
1,1,0.0
6,1,-83.33333333333334
11,1,-90.9090909090909
10,1,-90.0
14,1,-92.85714285714286
1,1,0.0
1,1,0.0
11,1,-90.9090909090909
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
8,1,-87.5
1,1,0.0
10,1,-90.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
4,1,-75.0
2,1,-50.0
20,1,-95.0
1,1,0.0
2,1,-50.0
5,1,-80.0
11,1,-90.9090909090909
25,1,-96.0
1,1,0.0
30,1,-96.66666666666667
2,1,-50.0
3,1,-66.66666666666666
2,1,-50.0
21,1,-95.23809523809523
2,1,-50.0
13,1,-92.3076923076923
4,1,-75.0
13,1,-92.3076923076923
5,1,-80.0
1,1,0.0
19,1,-94.73684210526315
2,1,-50.0
10,1,-90.0
23,1,-95.65217391304348
6,1,-83.33333333333334
14,1,-92.85714285714286
9,1,-88.88888888888889
1,1,0.0
16,1,-93.75
28,1,-96.42857142857143
1,1,0.0
6,1,-83.33333333333334
22,1,-95.45454545454545
56,1,-98.21428571428571
65,1,-98.46153846153847
24,1,-95.83333333333334
1,1,0.0
4,1,-75.0
5,1,-80.0
66,1,-98.48484848484848
30,1,-96.66666666666667
30,1,-96.66666666666667
32,1,-96.875
50,1,-98.0
2,1,-50.0
54,1,-98.14814814814815
12,1,-91.66666666666666
5,1,-80.0
27,1,-96.29629629629629
7,1,-85.71428571428571
34,1,-97.05882352941177
33,1,-96.96969696969697
4,1,-75.0
62,1,-98.38709677419355
5,1,-80.0
10,1,-90.0
4,1,-75.0
1,1,0.0
1,1,0.0
14,1,-92.85714285714286
1,1,0.0
26,1,-96.15384615384616
9,1,-88.88888888888889
27,1,-96.29629629629629
11,1,-90.9090909090909
1,1,0.0
3,1,-66.66666666666666
1,1,0.0
5,1,-80.0
4,1,-75.0
1,1,0.0
1,1,0.0
19,1,-94.73684210526315
10,1,-90.0
10,1,-90.0
12,2,-83.33333333333334
15,1,-93.33333333333333
9,1,-88.88888888888889
1,1,0.0
24,1,-95.83333333333334
15,1,-93.33333333333333
1,1,0.0
22,1,-95.45454545454545
62,1,-98.38709677419355
25,1,-96.0
3,1,-66.66666666666666
36,1,-97.22222222222221
1,1,0.0
63,1,-98.4126984126984
8,1,-87.5
8,1,-87.5
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
58,1,-98.27586206896551
8,1,-87.5
70,1,-98.57142857142858
4,1,-75.0
1,1,0.0
1,1,0.0
1,1,0.0
35,1,-97.14285714285714
29,1,-96.55172413793103
9,1,-88.88888888888889
37,1,-97.2972972972973
43,1,-97.67441860465115
1,1,0.0
49,1,-97.95918367346938
56,1,-98.21428571428571
1,1,0.0
1,1,0.0
1,1,0.0
71,1,-98.59154929577466
23,1,-95.65217391304348
52,1,-98.07692307692307
2,1,-50.0
1,1,0.0
3,1,-66.66666666666666
3,1,-66.66666666666666
5,1,-80.0
