coverage_onestep,coverage_twostep,coverage_relative_%
1,3,200.0
1,1,0.0
1,4,300.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,3,200.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,2,100.0
1,2,100.0
1,1,0.0
1,2,100.0
1,1,0.0
1,2,100.0
1,3,200.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
1,2,100.0
1,3,200.0
1,2,100.0
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,3,200.0
1,1,0.0
1,5,400.0
1,3,200.0
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
1,7,600.0
1,1,0.0
1,3,200.0
1,3,200.0
1,1,0.0
1,1,0.0
1,2,100.0
1,2,100.0
1,1,0.0
1,1,0.0
1,2,100.0
1,5,400.0
1,4,300.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,3,200.0
1,2,100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
1,2,100.0
1,1,0.0
1,2,100.0
1,1,0.0
1,3,200.0
1,2,100.0
1,1,0.0
1,1,0.0
1,3,200.0
1,1,0.0
1,2,100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,4,300.0
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
2,3,50.0
1,1,0.0
8,63,687.5
1,1,0.0
1,1,0.0
1,2,100.0
1,2,100.0
1,2,100.0
1,4,300.0
1,1,0.0
1,3,200.0
1,19,1800.0
1,6,500.0
1,16,1500.0
1,27,2600.0
1,2,100.0
1,8,700.0
1,1,0.0
1,4,300.0
1,23,2200.0
1,26,2500.0
1,2,100.0
1,21,2000.0
1,5,400.0
1,1,0.0
1,4,300.0
