coverage_anchors,coverage_twostep,coverage_relative_%
1,1,0.0
1,1,0.0
25,1,-96.0
6,1,-83.33333333333334
1,1,0.0
9,1,-88.88888888888889
1,1,0.0
5,1,-80.0
4,1,-75.0
1,1,0.0
8,1,-87.5
19,1,-94.73684210526315
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
8,1,-87.5
20,1,-95.0
11,1,-90.9090909090909
1,1,0.0
1,1,0.0
2,1,-50.0
2,1,-50.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
12,1,-91.66666666666666
10,1,-90.0
1,1,0.0
32,1,-96.875
1,1,0.0
1,1,0.0
25,1,-96.0
8,1,-87.5
2,1,-50.0
1,1,0.0
2,1,-50.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
16,1,-93.75
1,1,0.0
9,1,-88.88888888888889
9,1,-88.88888888888889
1,1,0.0
18,1,-94.44444444444444
2,1,-50.0
29,1,-96.55172413793103
5,1,-80.0
1,1,0.0
17,1,-94.11764705882352
24,1,-95.83333333333334
1,1,0.0
16,1,-93.75
9,1,-88.88888888888889
7,1,-85.71428571428571
16,1,-93.75
15,1,-93.33333333333333
21,1,-95.23809523809523
1,1,0.0
8,1,-87.5
16,1,-93.75
10,1,-90.0
13,1,-92.3076923076923
8,1,-87.5
1,1,0.0
1,1,0.0
17,1,-94.11764705882352
14,1,-92.85714285714286
1,1,0.0
5,1,-80.0
5,1,-80.0
10,1,-90.0
6,1,-83.33333333333334
8,1,-87.5
6,1,-83.33333333333334
4,1,-75.0
21,1,-95.23809523809523
4,1,-75.0
22,1,-95.45454545454545
1,1,0.0
5,1,-80.0
4,1,-75.0
19,1,-94.73684210526315
1,1,0.0
14,1,-92.85714285714286
12,1,-91.66666666666666
4,1,-75.0
10,1,-90.0
11,1,-90.9090909090909
18,1,-94.44444444444444
10,1,-90.0
8,1,-87.5
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
2,1,-50.0
5,1,-80.0
5,1,-80.0
1,1,0.0
15,1,-93.33333333333333
13,1,-92.3076923076923
10,1,-90.0
1,1,0.0
1,1,0.0
5,1,-80.0
10,1,-90.0
1,1,0.0
13,1,-92.3076923076923
1,1,0.0
1,1,0.0
16,1,-93.75
1,1,0.0
3,1,-66.66666666666666
11,1,-90.9090909090909
3,1,-66.66666666666666
1,1,0.0
3,1,-66.66666666666666
15,1,-93.33333333333333
1,1,0.0
15,1,-93.33333333333333
1,1,0.0
16,1,-93.75
16,1,-93.75
1,1,0.0
29,1,-96.55172413793103
8,1,-87.5
22,1,-95.45454545454545
1,1,0.0
2,1,-50.0
18,1,-94.44444444444444
15,1,-93.33333333333333
18,1,-94.44444444444444
15,1,-93.33333333333333
10,1,-90.0
1,1,0.0
4,1,-75.0
4,1,-75.0
5,1,-80.0
1,1,0.0
5,1,-80.0
4,1,-75.0
1,1,0.0
10,1,-90.0
6,1,-83.33333333333334
6,1,-83.33333333333334
1,1,0.0
5,1,-80.0
19,1,-94.73684210526315
10,1,-90.0
4,1,-75.0
5,1,-80.0
8,1,-87.5
1,1,0.0
1,1,0.0
13,1,-92.3076923076923
3,1,-66.66666666666666
25,1,-96.0
21,1,-95.23809523809523
14,1,-92.85714285714286
12,1,-91.66666666666666
5,1,-80.0
13,1,-92.3076923076923
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
17,1,-94.11764705882352
2,1,-50.0
3,1,-66.66666666666666
1,1,0.0
4,1,-75.0
1,1,0.0
1,1,0.0
5,1,-80.0
4,1,-75.0
1,1,0.0
1,1,0.0
4,1,-75.0
11,1,-90.9090909090909
7,1,-85.71428571428571
1,1,0.0
1,1,0.0
5,1,-80.0
5,1,-80.0
15,1,-93.33333333333333
7,1,-85.71428571428571
9,1,-88.88888888888889
1,1,0.0
1,1,0.0
8,1,-87.5
1,1,0.0
24,1,-95.83333333333334
13,1,-92.3076923076923
3,1,-66.66666666666666
1,1,0.0
1,1,0.0
9,1,-88.88888888888889
3,1,-66.66666666666666
15,1,-93.33333333333333
1,1,0.0
19,1,-94.73684210526315
21,1,-95.23809523809523
4,1,-75.0
1,1,0.0
1,1,0.0
13,1,-92.3076923076923
6,1,-83.33333333333334
1,1,0.0
3,1,-66.66666666666666
6,1,-83.33333333333334
3,1,-66.66666666666666
15,1,-93.33333333333333
3,1,-66.66666666666666
9,1,-88.88888888888889
1,1,0.0
1,1,0.0
10,1,-90.0
4,1,-75.0
2,1,-50.0
13,1,-92.3076923076923
1,1,0.0
8,1,-87.5
7,1,-85.71428571428571
24,1,-95.83333333333334
16,1,-93.75
1,1,0.0
5,1,-80.0
4,1,-75.0
3,1,-66.66666666666666
10,1,-90.0
1,1,0.0
15,1,-93.33333333333333
4,1,-75.0
17,1,-94.11764705882352
5,1,-80.0
20,1,-95.0
5,1,-80.0
1,1,0.0
11,1,-90.9090909090909
14,1,-92.85714285714286
15,1,-93.33333333333333
6,1,-83.33333333333334
13,1,-92.3076923076923
1,1,0.0
9,1,-88.88888888888889
5,1,-80.0
6,1,-83.33333333333334
1,1,0.0
1,1,0.0
11,1,-90.9090909090909
4,1,-75.0
1,1,0.0
4,1,-75.0
20,1,-95.0
