coverage_anchors,coverage_twostep,coverage_relative_%
2,2,0.0
4,3,-25.0
3,1,-66.66666666666666
1,1,0.0
2,1,-50.0
1,1,0.0
1,1,0.0
7,1,-85.71428571428571
4,1,-75.0
2,1,-50.0
11,1,-90.9090909090909
3,1,-66.66666666666666
1,1,0.0
2,1,-50.0
1,1,0.0
1,1,0.0
14,3,-78.57142857142857
1,1,0.0
3,1,-66.66666666666666
1,1,0.0
3,1,-66.66666666666666
1,1,0.0
1,1,0.0
2,1,-50.0
3,1,-66.66666666666666
5,4,-20.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
3,1,-66.66666666666666
2,1,-50.0
3,1,-66.66666666666666
3,2,-33.33333333333333
3,2,-33.33333333333333
3,2,-33.33333333333333
1,1,0.0
2,1,-50.0
3,1,-66.66666666666666
6,2,-66.66666666666666
3,1,-66.66666666666666
9,3,-66.66666666666666
6,2,-66.66666666666666
7,2,-71.42857142857143
11,2,-81.81818181818183
6,1,-83.33333333333334
1,1,0.0
12,5,-58.333333333333336
8,1,-87.5
2,2,0.0
23,15,-34.78260869565217
16,13,-18.75
15,15,0.0
27,17,-37.03703703703704
29,12,-58.620689655172406
27,7,-74.07407407407408
21,16,-23.809523809523807
25,12,-52.0
12,9,-25.0
23,3,-86.95652173913044
34,15,-55.88235294117647
29,14,-51.724137931034484
22,18,-18.181818181818183
21,19,-9.523809523809524
17,8,-52.94117647058824
9,13,44.44444444444444
31,17,-45.16129032258064
22,23,4.545454545454546
12,9,-25.0
29,7,-75.86206896551724
24,21,-12.5
19,5,-73.68421052631578
14,12,-14.285714285714285
24,14,-41.66666666666667
38,13,-65.78947368421053
20,18,-10.0
33,15,-54.54545454545454
24,13,-45.83333333333333
25,17,-32.0
18,15,-16.666666666666664
25,15,-40.0
46,11,-76.08695652173914
12,4,-66.66666666666666
19,12,-36.84210526315789
19,9,-52.63157894736842
34,11,-67.64705882352942
20,7,-65.0
29,16,-44.827586206896555
12,8,-33.33333333333333
23,11,-52.17391304347826
27,15,-44.44444444444444
47,18,-61.702127659574465
18,16,-11.11111111111111
11,11,0.0
14,11,-21.428571428571427
27,11,-59.25925925925925
17,10,-41.17647058823529
25,4,-84.0
13,17,30.76923076923077
24,9,-62.5
12,11,-8.333333333333332
9,15,66.66666666666666
15,15,0.0
39,10,-74.35897435897436
18,21,16.666666666666664
21,8,-61.904761904761905
25,9,-64.0
22,15,-31.818181818181817
23,20,-13.043478260869565
22,14,-36.36363636363637
22,13,-40.909090909090914
24,12,-50.0
23,13,-43.47826086956522
