coverage_onestep,coverage_twostep,coverage_relative_%
9,25,177.77777777777777
9,51,466.6666666666667
1,46,4500.0
7,56,700.0
16,44,175.0
4,56,1300.0
22,28,27.27272727272727
17,58,241.17647058823528
1,50,4900.0
13,19,46.15384615384615
18,60,233.33333333333334
7,31,342.85714285714283
15,23,53.333333333333336
11,20,81.81818181818183
10,28,180.0
15,59,293.3333333333333
16,16,0.0
11,15,36.36363636363637
2,39,1850.0
11,70,536.3636363636364
16,29,81.25
11,28,154.54545454545453
12,28,133.33333333333331
1,12,1100.0
17,19,11.76470588235294
14,53,278.57142857142856
22,49,122.72727272727273
2,50,2400.0
16,60,275.0
4,40,900.0
10,37,270.0
19,43,126.3157894736842
14,55,292.85714285714283
10,60,500.0
1,39,3800.0
14,27,92.85714285714286
3,55,1733.3333333333333
11,18,63.63636363636363
1,17,1600.0
1,31,3000.0
1,12,1100.0
1,14,1300.0
1,22,2100.0
1,54,5300.0
1,25,2400.0
1,41,4000.0
2,16,700.0
4,4,0.0
1,38,3700.0
1,24,2300.0
30,55,83.33333333333334
49,60,22.448979591836736
43,49,13.953488372093023
38,76,100.0
1,86,8500.0
39,84,115.38461538461537
56,75,33.92857142857143
25,25,0.0
58,72,24.137931034482758
1,89,8800.0
19,40,110.5263157894737
43,64,48.837209302325576
27,45,66.66666666666666
52,55,5.769230769230769
54,61,12.962962962962962
30,46,53.333333333333336
60,66,10.0
20,43,114.99999999999999
47,50,6.382978723404255
45,87,93.33333333333333
34,43,26.47058823529412
45,85,88.88888888888889
11,19,72.72727272727273
45,62,37.77777777777778
11,21,90.9090909090909
31,52,67.74193548387096
45,84,86.66666666666667
46,63,36.95652173913043
40,70,75.0
20,48,140.0
48,78,62.5
16,20,25.0
23,23,0.0
30,51,70.0
51,58,13.725490196078432
14,15,7.142857142857142
49,80,63.26530612244898
54,81,50.0
26,28,7.6923076923076925
30,52,73.33333333333333
50,60,20.0
11,12,9.090909090909092
29,54,86.20689655172413
19,17,-10.526315789473683
50,60,20.0
58,81,39.6551724137931
46,60,30.434782608695656
1,92,9100.0
20,57,185.0
42,77,83.33333333333334
18,63,250.0
8,17,112.5
44,53,20.454545454545457
19,19,0.0
30,54,80.0
46,91,97.82608695652173
39,84,115.38461538461537
48,63,31.25
40,36,-10.0
15,18,20.0
24,47,95.83333333333334
49,87,77.55102040816327
56,86,53.57142857142857
