coverage_anchors,coverage_twostep,coverage_relative_%
1,6,500.0
4,15,275.0
7,12,71.42857142857143
16,11,-31.25
9,10,11.11111111111111
13,12,-7.6923076923076925
13,7,-46.15384615384615
13,15,15.384615384615385
16,10,-37.5
5,2,-60.0
3,17,466.6666666666667
15,12,-20.0
10,8,-20.0
4,5,25.0
13,18,38.46153846153847
5,2,-60.0
4,3,-25.0
17,14,-17.647058823529413
16,12,-25.0
6,2,-66.66666666666666
15,10,-33.33333333333333
10,10,0.0
7,13,85.71428571428571
14,10,-28.57142857142857
4,3,-25.0
2,3,50.0
3,10,233.33333333333334
6,4,-33.33333333333333
3,4,33.33333333333333
12,6,-50.0
13,14,7.6923076923076925
6,13,116.66666666666667
6,16,166.66666666666669
1,1,0.0
21,13,-38.095238095238095
14,12,-14.285714285714285
13,12,-7.6923076923076925
6,8,33.33333333333333
12,13,8.333333333333332
2,2,0.0
13,6,-53.84615384615385
5,3,-40.0
11,16,45.45454545454545
12,8,-33.33333333333333
11,12,9.090909090909092
25,10,-60.0
15,5,-66.66666666666666
15,11,-26.666666666666668
6,6,0.0
3,1,-66.66666666666666
6,9,50.0
3,3,0.0
1,12,1100.0
26,15,-42.30769230769231
14,9,-35.714285714285715
6,8,33.33333333333333
19,9,-52.63157894736842
2,12,500.0
3,7,133.33333333333331
4,3,-25.0
3,3,0.0
6,6,0.0
14,9,-35.714285714285715
11,12,9.090909090909092
16,4,-75.0
1,10,900.0
8,8,0.0
12,11,-8.333333333333332
2,5,150.0
11,10,-9.090909090909092
18,5,-72.22222222222221
10,6,-40.0
10,8,-20.0
15,18,20.0
6,6,0.0
18,13,-27.77777777777778
14,16,14.285714285714285
4,6,50.0
4,4,0.0
7,7,0.0
7,8,14.285714285714285
8,10,25.0
9,3,-66.66666666666666
12,19,58.333333333333336
16,19,18.75
10,12,20.0
10,11,10.0
9,8,-11.11111111111111
11,17,54.54545454545454
3,15,400.0
10,8,-20.0
3,12,300.0
25,6,-76.0
6,5,-16.666666666666664
6,3,-50.0
8,2,-75.0
4,2,-50.0
13,1,-92.3076923076923
24,6,-75.0
10,4,-60.0
12,1,-91.66666666666666
14,10,-28.57142857142857
4,8,100.0
7,8,14.285714285714285
14,6,-57.14285714285714
15,8,-46.666666666666664
15,1,-93.33333333333333
8,2,-75.0
4,1,-75.0
8,2,-75.0
9,6,-33.33333333333333
3,1,-66.66666666666666
11,6,-45.45454545454545
13,6,-53.84615384615385
18,2,-88.88888888888889
7,2,-71.42857142857143
3,1,-66.66666666666666
3,1,-66.66666666666666
10,4,-60.0
7,1,-85.71428571428571
6,8,33.33333333333333
7,2,-71.42857142857143
18,7,-61.111111111111114
5,1,-80.0
18,3,-83.33333333333334
13,3,-76.92307692307693
9,2,-77.77777777777779
10,2,-80.0
6,8,33.33333333333333
2,2,0.0
9,3,-66.66666666666666
12,5,-58.333333333333336
12,2,-83.33333333333334
8,2,-75.0
10,4,-60.0
6,1,-83.33333333333334
8,5,-37.5
9,2,-77.77777777777779
19,6,-68.42105263157895
6,1,-83.33333333333334
28,5,-82.14285714285714
6,4,-33.33333333333333
4,1,-75.0
5,3,-40.0
15,2,-86.66666666666667
12,5,-58.333333333333336
9,1,-88.88888888888889
23,5,-78.26086956521739
2,4,100.0
19,2,-89.47368421052632
5,3,-40.0
7,5,-28.57142857142857
5,1,-80.0
5,1,-80.0
5,1,-80.0
6,8,33.33333333333333
9,8,-11.11111111111111
6,1,-83.33333333333334
1,2,100.0
23,4,-82.6086956521739
1,3,200.0
18,4,-77.77777777777779
10,8,-20.0
9,1,-88.88888888888889
10,2,-80.0
9,7,-22.22222222222222
4,11,175.0
8,1,-87.5
4,1,-75.0
4,1,-75.0
6,3,-50.0
3,1,-66.66666666666666
18,4,-77.77777777777779
12,4,-66.66666666666666
9,2,-77.77777777777779
16,1,-93.75
5,1,-80.0
3,1,-66.66666666666666
17,8,-52.94117647058824
1,5,400.0
5,1,-80.0
12,2,-83.33333333333334
8,3,-62.5
9,1,-88.88888888888889
11,2,-81.81818181818183
13,11,-15.384615384615385
4,1,-75.0
10,10,0.0
6,2,-66.66666666666666
8,3,-62.5
24,2,-91.66666666666666
3,2,-33.33333333333333
14,4,-71.42857142857143
26,2,-92.3076923076923
20,4,-80.0
12,9,-25.0
7,10,42.857142857142854
7,4,-42.857142857142854
10,5,-50.0
4,1,-75.0
12,4,-66.66666666666666
7,4,-42.857142857142854
8,6,-25.0
3,2,-33.33333333333333
8,1,-87.5
6,1,-83.33333333333334
7,2,-71.42857142857143
7,6,-14.285714285714285
11,6,-45.45454545454545
5,2,-60.0
5,4,-20.0
12,3,-75.0
7,9,28.57142857142857
13,4,-69.23076923076923
7,1,-85.71428571428571
3,1,-66.66666666666666
15,13,-13.333333333333334
5,3,-40.0
8,5,-37.5
5,1,-80.0
11,2,-81.81818181818183
17,3,-82.35294117647058
7,11,57.14285714285714
4,3,-25.0
15,4,-73.33333333333333
4,1,-75.0
2,3,50.0
17,5,-70.58823529411765
16,8,-50.0
14,3,-78.57142857142857
2,4,100.0
12,3,-75.0
5,1,-80.0
13,5,-61.53846153846154
7,1,-85.71428571428571
3,7,133.33333333333331
6,4,-33.33333333333333
1,2,100.0
2,3,50.0
1,1,0.0
1,1,0.0
3,1,-66.66666666666666
2,3,50.0
2,1,-50.0
4,2,-50.0
1,1,0.0
2,1,-50.0
1,1,0.0
2,1,-50.0
3,1,-66.66666666666666
3,1,-66.66666666666666
1,1,0.0
1,2,100.0
2,1,-50.0
1,3,200.0
1,3,200.0
1,1,0.0
5,1,-80.0
2,1,-50.0
1,1,0.0
8,1,-87.5
1,2,100.0
2,1,-50.0
6,1,-83.33333333333334
2,1,-50.0
2,1,-50.0
1,1,0.0
2,1,-50.0
2,2,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
3,1,-66.66666666666666
1,1,0.0
8,1,-87.5
1,1,0.0
3,1,-66.66666666666666
1,2,100.0
1,1,0.0
10,1,-90.0
1,1,0.0
1,1,0.0
2,1,-50.0
1,2,100.0
2,1,-50.0
1,1,0.0
2,1,-50.0
1,1,0.0
2,2,0.0
1,2,100.0
1,1,0.0
5,1,-80.0
1,1,0.0
2,1,-50.0
2,1,-50.0
2,1,-50.0
2,2,0.0
2,1,-50.0
3,1,-66.66666666666666
3,1,-66.66666666666666
