coverage_onestep,coverage_twostep,coverage_relative_%
9,63,600.0
31,44,41.935483870967744
67,67,0.0
17,20,17.647058823529413
49,60,22.448979591836736
48,50,4.166666666666666
62,66,6.451612903225806
52,65,25.0
66,66,0.0
6,11,83.33333333333334
34,34,0.0
44,44,0.0
49,65,32.6530612244898
16,18,12.5
45,44,-2.2222222222222223
13,10,-23.076923076923077
28,28,0.0
19,22,15.789473684210526
54,54,0.0
33,35,6.0606060606060606
58,63,8.620689655172415
30,30,0.0
55,55,0.0
43,55,27.906976744186046
16,17,6.25
17,17,0.0
27,25,-7.4074074074074066
24,22,-8.333333333333332
16,17,6.25
48,43,-10.416666666666668
49,62,26.53061224489796
47,70,48.93617021276596
59,56,-5.084745762711865
5,6,20.0
54,63,16.666666666666664
24,33,37.5
48,69,43.75
51,69,35.294117647058826
61,61,0.0
13,10,-23.076923076923077
14,20,42.857142857142854
11,14,27.27272727272727
45,62,37.77777777777778
46,70,52.17391304347826
52,63,21.153846153846153
56,56,0.0
44,46,4.545454545454546
43,40,-6.976744186046512
51,69,35.294117647058826
15,20,33.33333333333333
56,58,3.571428571428571
13,15,15.384615384615385
7,8,14.285714285714285
55,54,-1.8181818181818181
50,50,0.0
44,53,20.454545454545457
15,19,26.666666666666668
24,36,50.0
46,55,19.565217391304348
12,15,25.0
5,57,1040.0
25,56,124.0
58,67,15.517241379310345
33,40,21.21212121212121
38,41,7.894736842105263
51,57,11.76470588235294
51,51,0.0
54,66,22.22222222222222
12,53,341.66666666666663
48,50,4.166666666666666
79,79,0.0
28,29,3.571428571428571
64,64,0.0
27,51,88.88888888888889
43,50,16.27906976744186
57,57,0.0
56,77,37.5
28,25,-10.714285714285714
17,21,23.52941176470588
13,18,38.46153846153847
12,13,8.333333333333332
34,39,14.705882352941178
14,19,35.714285714285715
56,63,12.5
46,59,28.26086956521739
54,67,24.074074074074073
53,62,16.9811320754717
23,30,30.434782608695656
60,61,1.6666666666666667
55,60,9.090909090909092
47,52,10.638297872340425
50,47,-6.0
80,80,0.0
14,21,50.0
20,19,-5.0
34,46,35.294117647058826
8,7,-12.5
8,7,-12.5
48,57,18.75
8,8,0.0
1,11,1000.0
31,41,32.25806451612903
32,52,62.5
45,56,24.444444444444443
18,30,66.66666666666666
28,30,7.142857142857142
1,9,800.0
11,11,0.0
1,2,100.0
1,9,800.0
6,22,266.66666666666663
1,22,2100.0
2,15,650.0
44,56,27.27272727272727
1,11,1000.0
8,10,25.0
14,18,28.57142857142857
6,7,16.666666666666664
32,37,15.625
1,8,700.0
48,65,35.41666666666667
1,12,1100.0
10,22,120.0
4,6,50.0
26,35,34.61538461538461
1,4,300.0
1,6,500.0
2,5,150.0
36,46,27.77777777777778
11,12,9.090909090909092
1,5,400.0
28,40,42.857142857142854
20,28,40.0
1,12,1100.0
5,9,80.0
3,4,33.33333333333333
30,56,86.66666666666667
36,43,19.444444444444446
22,22,0.0
2,38,1800.0
32,59,84.375
1,16,1500.0
2,16,700.0
11,12,9.090909090909092
3,3,0.0
1,15,1400.0
18,19,5.555555555555555
25,25,0.0
21,17,-19.047619047619047
1,9,800.0
1,12,1100.0
45,53,17.77777777777778
11,12,9.090909090909092
1,12,1100.0
1,11,1000.0
53,58,9.433962264150944
11,29,163.63636363636365
10,10,0.0
