coverage_anchors,coverage_twostep,coverage_relative_%
2,1,-50.0
8,1,-87.5
5,1,-80.0
16,1,-93.75
10,1,-90.0
16,1,-93.75
1,1,0.0
14,1,-92.85714285714286
9,1,-88.88888888888889
8,1,-87.5
9,1,-88.88888888888889
1,1,0.0
1,1,0.0
2,1,-50.0
12,1,-91.66666666666666
9,1,-88.88888888888889
3,1,-66.66666666666666
13,1,-92.3076923076923
7,1,-85.71428571428571
12,1,-91.66666666666666
7,1,-85.71428571428571
2,1,-50.0
10,1,-90.0
2,1,-50.0
49,1,-97.95918367346938
42,1,-97.61904761904762
30,1,-96.66666666666667
7,1,-85.71428571428571
37,1,-97.2972972972973
35,1,-97.14285714285714
52,1,-98.07692307692307
29,1,-96.55172413793103
38,1,-97.36842105263158
6,1,-83.33333333333334
58,1,-98.27586206896551
7,1,-85.71428571428571
10,1,-90.0
38,1,-97.36842105263158
60,1,-98.33333333333333
7,1,-85.71428571428571
39,1,-97.43589743589743
67,1,-98.50746268656717
8,1,-87.5
16,1,-93.75
42,1,-97.61904761904762
32,1,-96.875
7,1,-85.71428571428571
36,1,-97.22222222222221
3,1,-66.66666666666666
7,1,-85.71428571428571
43,1,-97.67441860465115
1,1,0.0
63,1,-98.4126984126984
47,1,-97.87234042553192
13,1,-92.3076923076923
59,1,-98.30508474576271
39,1,-97.43589743589743
8,1,-87.5
2,1,-50.0
55,1,-98.18181818181819
61,1,-98.36065573770492
58,1,-98.27586206896551
6,1,-83.33333333333334
43,1,-97.67441860465115
2,1,-50.0
9,1,-88.88888888888889
13,1,-92.3076923076923
39,1,-97.43589743589743
37,1,-97.2972972972973
5,1,-80.0
2,1,-50.0
41,1,-97.5609756097561
7,1,-85.71428571428571
5,1,-80.0
34,1,-97.05882352941177
53,1,-98.11320754716981
41,1,-97.5609756097561
8,1,-87.5
6,1,-83.33333333333334
60,1,-98.33333333333333
5,1,-80.0
58,1,-98.27586206896551
81,1,-98.76543209876543
42,1,-97.61904761904762
35,1,-97.14285714285714
56,1,-98.21428571428571
60,1,-98.33333333333333
35,1,-97.14285714285714
42,1,-97.61904761904762
29,1,-96.55172413793103
38,1,-97.36842105263158
7,1,-85.71428571428571
35,1,-97.14285714285714
55,1,-98.18181818181819
6,1,-83.33333333333334
53,1,-98.11320754716981
40,1,-97.5
67,1,-98.50746268656717
36,1,-97.22222222222221
35,1,-97.14285714285714
7,1,-85.71428571428571
52,1,-98.07692307692307
50,1,-98.0
29,2,-93.10344827586206
39,1,-97.43589743589743
44,1,-97.72727272727273
47,1,-97.87234042553192
7,1,-85.71428571428571
43,1,-97.67441860465115
38,1,-97.36842105263158
39,1,-97.43589743589743
24,1,-95.83333333333334
32,1,-96.875
46,1,-97.82608695652173
5,1,-80.0
23,1,-95.65217391304348
65,1,-98.46153846153847
39,1,-97.43589743589743
53,1,-98.11320754716981
31,1,-96.7741935483871
35,1,-97.14285714285714
49,1,-97.95918367346938
7,1,-85.71428571428571
50,1,-98.0
34,1,-97.05882352941177
10,1,-90.0
45,1,-97.77777777777777
11,1,-90.9090909090909
40,1,-97.5
5,1,-80.0
31,1,-96.7741935483871
6,1,-83.33333333333334
83,1,-98.79518072289156
30,1,-96.66666666666667
51,1,-98.0392156862745
3,1,-66.66666666666666
43,1,-97.67441860465115
10,1,-90.0
5,1,-80.0
59,1,-98.30508474576271
45,1,-97.77777777777777
5,1,-80.0
8,1,-87.5
49,1,-97.95918367346938
18,1,-94.44444444444444
19,1,-94.73684210526315
5,1,-80.0
