coverage_anchors,coverage_twostep,coverage_relative_%
30,1,-96.66666666666667
5,1,-80.0
2,1,-50.0
5,1,-80.0
9,1,-88.88888888888889
4,1,-75.0
5,1,-80.0
2,1,-50.0
5,1,-80.0
7,1,-85.71428571428571
1,1,0.0
6,1,-83.33333333333334
4,1,-75.0
2,1,-50.0
20,1,-95.0
3,1,-66.66666666666666
1,1,0.0
4,1,-75.0
30,1,-96.66666666666667
3,1,-66.66666666666666
27,1,-96.29629629629629
3,1,-66.66666666666666
2,1,-50.0
5,1,-80.0
30,1,-96.66666666666667
3,1,-66.66666666666666
29,2,-93.10344827586206
4,1,-75.0
1,1,0.0
3,1,-66.66666666666666
21,1,-95.23809523809523
5,1,-80.0
2,1,-50.0
1,1,0.0
1,1,0.0
2,2,0.0
14,1,-92.85714285714286
1,1,0.0
9,1,-88.88888888888889
3,1,-66.66666666666666
4,1,-75.0
4,1,-75.0
33,1,-96.96969696969697
12,2,-83.33333333333334
22,1,-95.45454545454545
1,1,0.0
6,1,-83.33333333333334
5,1,-80.0
20,1,-95.0
14,1,-92.85714285714286
3,1,-66.66666666666666
23,1,-95.65217391304348
11,1,-90.9090909090909
1,1,0.0
16,1,-93.75
1,1,0.0
5,1,-80.0
10,1,-90.0
7,1,-85.71428571428571
4,1,-75.0
4,1,-75.0
2,1,-50.0
31,1,-96.7741935483871
26,1,-96.15384615384616
19,1,-94.73684210526315
8,1,-87.5
28,1,-96.42857142857143
4,1,-75.0
1,1,0.0
3,1,-66.66666666666666
9,1,-88.88888888888889
2,1,-50.0
27,1,-96.29629629629629
22,1,-95.45454545454545
3,1,-66.66666666666666
1,1,0.0
2,1,-50.0
26,1,-96.15384615384616
2,1,-50.0
3,1,-66.66666666666666
5,1,-80.0
4,1,-75.0
1,1,0.0
30,1,-96.66666666666667
10,1,-90.0
35,1,-97.14285714285714
28,1,-96.42857142857143
2,1,-50.0
4,1,-75.0
7,1,-85.71428571428571
2,1,-50.0
16,2,-87.5
4,1,-75.0
1,1,0.0
2,1,-50.0
1,1,0.0
2,1,-50.0
1,1,0.0
1,1,0.0
2,1,-50.0
10,1,-90.0
14,2,-85.71428571428571
3,1,-66.66666666666666
1,1,0.0
3,1,-66.66666666666666
2,1,-50.0
1,1,0.0
29,1,-96.55172413793103
14,2,-85.71428571428571
38,1,-97.36842105263158
18,1,-94.44444444444444
1,1,0.0
7,1,-85.71428571428571
7,1,-85.71428571428571
5,1,-80.0
1,1,0.0
