coverage_onestep,coverage_twostep,coverage_relative_%
3,9,200.0
1,7,600.0
3,4,33.33333333333333
4,12,200.0
1,1,0.0
1,2,100.0
2,6,200.0
2,2,0.0
1,5,400.0
2,2,0.0
1,10,900.0
1,1,0.0
1,13,1200.0
3,7,133.33333333333331
3,5,66.66666666666666
4,9,125.0
1,2,100.0
3,4,33.33333333333333
1,9,800.0
1,5,400.0
1,2,100.0
1,1,0.0
2,6,200.0
12,12,0.0
4,3,-25.0
1,2,100.0
1,38,3700.0
2,3,50.0
1,1,0.0
3,7,133.33333333333331
1,4,300.0
1,1,0.0
2,2,0.0
1,4,300.0
3,3,0.0
6,7,16.666666666666664
1,1,0.0
1,3,200.0
3,3,0.0
1,2,100.0
2,6,200.0
5,5,0.0
2,4,100.0
8,8,0.0
1,1,0.0
1,3,200.0
5,6,20.0
1,1,0.0
3,7,133.33333333333331
1,12,1100.0
1,2,100.0
1,2,100.0
1,2,100.0
3,7,133.33333333333331
7,10,42.857142857142854
1,1,0.0
1,2,100.0
3,7,133.33333333333331
1,1,0.0
1,1,0.0
2,1,-50.0
1,1,0.0
1,2,100.0
1,4,300.0
3,5,66.66666666666666
1,2,100.0
1,10,900.0
3,6,100.0
1,2,100.0
2,3,50.0
1,1,0.0
3,4,33.33333333333333
1,2,100.0
1,8,700.0
1,1,0.0
1,1,0.0
5,7,40.0
1,11,1000.0
2,2,0.0
1,17,1600.0
1,3,200.0
1,2,100.0
1,2,100.0
1,11,1000.0
1,4,300.0
1,6,500.0
1,2,100.0
1,3,200.0
1,17,1600.0
2,1,-50.0
1,23,2200.0
4,4,0.0
3,7,133.33333333333331
1,1,0.0
1,1,0.0
1,10,900.0
1,8,700.0
1,1,0.0
1,1,0.0
2,2,0.0
4,4,0.0
7,11,57.14285714285714
2,7,250.0
1,1,0.0
3,5,66.66666666666666
2,5,150.0
3,18,500.0
2,16,700.0
4,9,125.0
3,10,233.33333333333334
1,7,600.0
1,1,0.0
1,1,0.0
5,25,400.0
1,1,0.0
1,2,100.0
3,1,-66.66666666666666
1,1,0.0
1,2,100.0
10,24,140.0
1,2,100.0
1,5,400.0
1,1,0.0
3,11,266.66666666666663
1,4,300.0
1,1,0.0
1,3,200.0
1,2,100.0
1,1,0.0
5,6,20.0
6,8,33.33333333333333
3,12,300.0
2,2,0.0
7,19,171.42857142857142
4,4,0.0
1,1,0.0
1,1,0.0
4,31,675.0
1,1,0.0
1,20,1900.0
3,10,233.33333333333334
4,8,100.0
5,3,-40.0
7,6,-14.285714285714285
8,10,25.0
1,10,900.0
1,1,0.0
1,4,300.0
1,1,0.0
1,8,700.0
1,4,300.0
2,2,0.0
1,11,1000.0
3,3,0.0
1,1,0.0
3,4,33.33333333333333
4,8,100.0
9,12,33.33333333333333
1,3,200.0
3,2,-33.33333333333333
12,12,0.0
1,8,700.0
1,1,0.0
1,2,100.0
2,7,250.0
1,18,1700.0
2,2,0.0
3,5,66.66666666666666
3,3,0.0
5,6,20.0
1,1,0.0
2,2,0.0
4,20,400.0
4,5,25.0
1,4,300.0
1,1,0.0
1,1,0.0
3,8,166.66666666666669
1,6,500.0
3,3,0.0
1,3,200.0
4,12,200.0
2,14,600.0
1,1,0.0
8,9,12.5
6,8,33.33333333333333
1,4,300.0
1,1,0.0
1,8,700.0
1,1,0.0
2,1,-50.0
1,4,300.0
1,2,100.0
1,4,300.0
1,1,0.0
