coverage_anchors,coverage_twostep,coverage_relative_%
1,1,0.0
2,1,-50.0
1,1,0.0
1,1,0.0
2,1,-50.0
1,1,0.0
1,1,0.0
1,1,0.0
2,1,-50.0
1,1,0.0
11,1,-90.9090909090909
1,1,0.0
1,1,0.0
1,1,0.0
2,1,-50.0
1,1,0.0
2,1,-50.0
4,1,-75.0
1,1,0.0
2,1,-50.0
4,1,-75.0
14,1,-92.85714285714286
2,1,-50.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
3,1,-66.66666666666666
14,1,-92.85714285714286
9,1,-88.88888888888889
6,1,-83.33333333333334
4,1,-75.0
1,1,0.0
3,1,-66.66666666666666
3,1,-66.66666666666666
2,1,-50.0
1,1,0.0
1,1,0.0
1,1,0.0
5,1,-80.0
1,1,0.0
3,1,-66.66666666666666
6,1,-83.33333333333334
2,1,-50.0
1,1,0.0
2,1,-50.0
2,1,-50.0
1,1,0.0
1,1,0.0
8,1,-87.5
1,1,0.0
1,1,0.0
2,1,-50.0
1,1,0.0
3,1,-66.66666666666666
1,1,0.0
2,1,-50.0
1,1,0.0
3,1,-66.66666666666666
3,1,-66.66666666666666
3,1,-66.66666666666666
3,1,-66.66666666666666
22,1,-95.45454545454545
1,1,0.0
4,1,-75.0
1,1,0.0
3,1,-66.66666666666666
4,1,-75.0
6,1,-83.33333333333334
2,1,-50.0
5,1,-80.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
3,1,-66.66666666666666
8,1,-87.5
1,1,0.0
1,1,0.0
4,1,-75.0
17,1,-94.11764705882352
1,1,0.0
4,1,-75.0
1,1,0.0
2,1,-50.0
18,1,-94.44444444444444
1,1,0.0
4,1,-75.0
3,1,-66.66666666666666
7,1,-85.71428571428571
1,1,0.0
3,1,-66.66666666666666
19,1,-94.73684210526315
9,1,-88.88888888888889
18,1,-94.44444444444444
1,1,0.0
2,1,-50.0
4,1,-75.0
3,1,-66.66666666666666
2,1,-50.0
2,1,-50.0
1,1,0.0
1,1,0.0
1,1,0.0
2,1,-50.0
3,1,-66.66666666666666
3,1,-66.66666666666666
1,1,0.0
1,1,0.0
21,1,-95.23809523809523
1,1,0.0
22,1,-95.45454545454545
1,1,0.0
15,1,-93.33333333333333
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
4,1,-75.0
2,1,-50.0
9,1,-88.88888888888889
1,1,0.0
2,1,-50.0
1,1,0.0
1,1,0.0
5,1,-80.0
2,1,-50.0
3,1,-66.66666666666666
1,1,0.0
25,1,-96.0
3,1,-66.66666666666666
1,1,0.0
3,1,-66.66666666666666
5,1,-80.0
2,1,-50.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
5,1,-80.0
1,1,0.0
21,1,-95.23809523809523
1,1,0.0
1,1,0.0
1,1,0.0
22,1,-95.45454545454545
3,1,-66.66666666666666
4,1,-75.0
2,1,-50.0
1,1,0.0
