coverage_anchors,coverage_twostep,coverage_relative_%
6,1,-83.33333333333334
15,1,-93.33333333333333
11,1,-90.9090909090909
16,1,-93.75
9,1,-88.88888888888889
15,1,-93.33333333333333
13,1,-92.3076923076923
2,1,-50.0
6,1,-83.33333333333334
19,1,-94.73684210526315
14,1,-92.85714285714286
17,1,-94.11764705882352
4,1,-75.0
18,1,-94.44444444444444
12,1,-91.66666666666666
9,1,-88.88888888888889
3,1,-66.66666666666666
17,1,-94.11764705882352
15,1,-93.33333333333333
6,1,-83.33333333333334
15,1,-93.33333333333333
5,1,-80.0
10,1,-90.0
10,1,-90.0
7,1,-85.71428571428571
16,1,-93.75
9,1,-88.88888888888889
12,1,-91.66666666666666
11,1,-90.9090909090909
4,1,-75.0
15,1,-93.33333333333333
17,1,-94.11764705882352
3,1,-66.66666666666666
4,1,-75.0
5,1,-80.0
7,1,-85.71428571428571
16,1,-93.75
5,1,-80.0
3,1,-66.66666666666666
8,1,-87.5
16,1,-93.75
10,1,-90.0
20,1,-95.0
7,1,-85.71428571428571
2,1,-50.0
2,1,-50.0
3,1,-66.66666666666666
7,1,-85.71428571428571
6,1,-83.33333333333334
4,1,-75.0
4,1,-75.0
5,1,-80.0
10,1,-90.0
5,1,-80.0
2,1,-50.0
4,1,-75.0
9,1,-88.88888888888889
1,1,0.0
3,1,-66.66666666666666
4,1,-75.0
2,1,-50.0
7,1,-85.71428571428571
1,1,0.0
6,1,-83.33333333333334
3,1,-66.66666666666666
5,1,-80.0
2,1,-50.0
2,1,-50.0
1,1,0.0
1,1,0.0
3,1,-66.66666666666666
1,1,0.0
3,1,-66.66666666666666
6,1,-83.33333333333334
7,1,-85.71428571428571
4,1,-75.0
6,1,-83.33333333333334
6,1,-83.33333333333334
3,1,-66.66666666666666
4,1,-75.0
3,1,-66.66666666666666
2,1,-50.0
1,1,0.0
4,1,-75.0
3,1,-66.66666666666666
4,1,-75.0
5,1,-80.0
11,1,-90.9090909090909
8,1,-87.5
3,1,-66.66666666666666
5,1,-80.0
7,1,-85.71428571428571
2,1,-50.0
2,1,-50.0
3,1,-66.66666666666666
3,1,-66.66666666666666
1,1,0.0
3,1,-66.66666666666666
8,1,-87.5
7,1,-85.71428571428571
4,1,-75.0
5,1,-80.0
11,1,-90.9090909090909
11,1,-90.9090909090909
2,1,-50.0
7,1,-85.71428571428571
4,1,-75.0
10,1,-90.0
1,1,0.0
4,1,-75.0
2,1,-50.0
4,1,-75.0
5,1,-80.0
2,1,-50.0
2,1,-50.0
6,1,-83.33333333333334
4,1,-75.0
4,1,-75.0
4,1,-75.0
2,1,-50.0
1,1,0.0
10,1,-90.0
3,1,-66.66666666666666
6,1,-83.33333333333334
7,1,-85.71428571428571
1,1,0.0
3,1,-66.66666666666666
3,1,-66.66666666666666
1,1,0.0
4,1,-75.0
3,1,-66.66666666666666
1,1,0.0
1,1,0.0
9,1,-88.88888888888889
