coverage,errors,time,rsum,size
461,108,0.01620730001013726,3.8799989999999998,1
427,105,0.014897299988660961,3.5,1
427,105,0.013411299994913861,3.5,1
427,105,0.012312000006204471,3.5,1
398,78,0.021337199985282496,3.12,1
134,28,0.011263399996096268,3.499999,1
134,28,0.011640500015346333,3.499999,1
267,63,0.014876200002618134,3.27,1
267,63,0.015090600005351007,3.27,1
134,28,0.011090499989222735,3.499999,1
134,28,0.011080299998866394,3.499999,1
427,105,0.01286779998918064,3.5,1
294,70,0.013537199993152171,3.7299990000000003,1
267,63,0.01684570001089014,3.27,1
427,105,0.011817899998277426,3.5,1
427,105,0.012411000003339723,3.5,1
461,108,0.015967600018484518,3.8799989999999998,1
427,105,0.013396499998634681,3.5,1
398,78,0.01929619998554699,3.12,1
427,105,0.013686600024811924,3.5,1
163,55,0.01679980001063086,3.8799989999999998,1
134,28,0.013014199997996911,3.499999,1
427,105,0.012431700015440583,3.5,1
47,30,0.08264910001889803,2.329997,4
267,63,0.014630099991336465,3.27,1
427,105,0.01307059999089688,3.5,1
427,105,0.013231199991423637,3.5,1
294,70,0.013268300011986867,3.7299990000000003,1
427,105,0.015842299995711073,3.5,1
134,28,0.012082300003385171,3.499999,1
461,108,0.016096599982120097,3.8799989999999998,1
267,63,0.014174000010825694,3.27,1
134,28,0.011007900000549853,3.499999,1
427,105,0.012594300002092496,3.5,1
427,105,0.012102200009394437,3.5,1
134,28,0.011929200001759455,3.499999,1
427,105,0.012233199988259003,3.5,1
461,108,0.020385699986945838,3.8799989999999998,1
427,105,0.013130900013493374,3.5,1
427,105,0.013141600007656962,3.5,1
267,63,0.014433899981668219,3.27,1
461,108,0.015839500003494322,3.8799989999999998,1
427,105,0.012585999997099862,3.5,1
134,28,0.011470800003735349,3.499999,1
427,105,0.013510399992810562,3.5,1
427,105,0.013376699993386865,3.5,1
268,63,0.01655999998911284,3.27,1
268,63,0.014210399996954948,3.27,1
427,105,0.012432699993951246,3.5,1
427,105,0.012830199993913993,3.5,1
134,28,0.010860400012461469,3.499999,1
427,105,0.012946100003318861,3.5,1
427,105,0.011530999996466562,3.5,1
427,105,0.012995800003409386,3.5,1
427,105,0.01237880002008751,3.5,1
427,105,0.013135699991835281,3.5,1
427,105,0.011737799999536946,3.5,1
267,63,0.017716600006679073,3.27,1
267,63,0.014135800010990351,3.27,1
134,28,0.010994800017215312,3.499999,1
134,28,0.0105461000057403,3.499999,1
398,78,0.01780129998223856,3.12,1
427,105,0.01280089997453615,3.5,1
134,28,0.011025800020433962,3.499999,1
427,105,0.013343099999474362,3.5,1
294,70,0.014126699999906123,3.7299990000000003,1
267,63,0.01708429999416694,3.27,1
294,70,0.014146600005915388,3.7299990000000003,1
427,105,0.012667500006500632,3.5,1
427,105,0.012813999986974522,3.5,1
427,105,0.012853899999754503,3.5,1
134,28,0.011027100001228973,3.499999,1
427,105,0.011817999999038875,3.5,1
427,105,0.012556400004541501,3.5,1
427,105,0.013532299984944984,3.5,1
427,105,0.013338200020371005,3.5,1
267,63,0.016904799995245412,3.27,1
134,28,0.010841500014066696,3.499999,1
134,28,0.010647699993569404,3.499999,1
461,108,0.015715799992904067,3.8799989999999998,1
134,28,0.011121799994725734,3.499999,1
427,105,0.011736699991161004,3.5,1
461,108,0.017741600022418424,3.8799989999999998,1
427,105,0.013942599995061755,3.5,1
134,28,0.011856299999635667,3.499999,1
399,78,0.020609899976989254,3.12,1
427,105,0.012927700008731335,3.5,1
427,105,0.011713199986843392,3.5,1
461,108,0.01689889997942373,3.8799989999999998,1
427,105,0.01268400001572445,3.5,1
267,63,0.01389460000791587,3.27,1
268,63,0.014621400012401864,3.27,1
427,105,0.012654699996346608,3.5,1
427,105,0.012834299996029586,3.5,1
294,70,0.016634300001896918,3.7299990000000003,1
294,70,0.013150200014933944,3.7299990000000003,1
427,105,0.012128600006690249,3.5,1
461,108,0.016154400014784187,3.8799989999999998,1
134,28,0.010921500012045726,3.499999,1
427,105,0.012239000003319234,3.5,1
427,105,0.01240829998278059,3.5,1
427,105,0.012561200011987239,3.5,1
427,105,0.01236550000612624,3.5,1
427,105,0.012792599998647347,3.5,1
427,105,0.01494649998494424,3.5,1
134,28,0.01157279999461025,3.499999,1
134,28,0.011465799994766712,3.499999,1
427,105,0.012383399996906519,3.5,1
427,105,0.012464100000215694,3.5,1
134,28,0.011425400007283315,3.499999,1
461,108,0.015097099996637553,3.8799989999999998,1
100,25,0.01489019999280572,3.12,1
427,105,0.012866600009147078,3.5,1
294,70,0.01647669999510981,3.7299990000000003,1
427,105,0.012153199990279973,3.5,1
134,28,0.011375300004146993,3.499999,1
461,108,0.015686300001107156,3.8799989999999998,1
294,70,0.013407399994321167,3.7299990000000003,1
134,28,0.010636999999405816,3.499999,1
427,105,0.01272540001082234,3.5,1
267,63,0.013464999996358529,3.27,1
134,28,0.011534700024640188,3.499999,1
134,28,0.01324100000783801,3.499999,1
427,105,0.012414499971782789,3.5,1
461,108,0.015929900022456422,3.8799989999999998,1
427,105,0.014055499981623143,3.5,1
427,105,0.01342329999897629,3.5,1
427,105,0.012722799991024658,3.5,1
427,105,0.01248259999556467,3.5,1
267,63,0.014538300019921735,3.27,1
461,108,0.01644149998901412,3.8799989999999998,1
427,105,0.013494999991962686,3.5,1
461,108,0.016274399997200817,3.8799989999999998,1
294,70,0.016147599992109463,3.7299990000000003,1
427,105,0.012591700011398643,3.5,1
427,105,0.012688199989497662,3.5,1
427,105,0.0126219000085257,3.5,1
427,105,0.012942400004249066,3.5,1
294,70,0.013812799996230751,3.7299990000000003,1
427,105,0.01195220000226982,3.5,1
427,105,0.01254179998068139,3.5,1
427,105,0.012634199985768646,3.5,1
267,63,0.014804299979005009,3.27,1
267,63,0.017104400001699105,3.27,1
427,105,0.012712600000668317,3.5,1
427,105,0.01333429999067448,3.5,1
427,105,0.013591299997642636,3.5,1
134,28,0.011822600004961714,3.499999,1
427,105,0.01258179999422282,3.5,1
427,105,0.013376499991863966,3.5,1
427,105,0.012719699996523559,3.5,1
427,105,0.011446300020907074,3.5,1
427,105,0.011700800008838996,3.5,1
427,105,0.013053700007731095,3.5,1
427,105,0.012982899992493913,3.5,1
427,105,0.017031499999575317,3.5,1
427,105,0.013164700008928776,3.5,1
427,105,0.010427200002595782,3.5,1
427,105,0.0113431999925524,3.5,1
294,70,0.013146800018148497,3.7299990000000003,1
267,63,0.013829799980157986,3.27,1
134,28,0.011013499984983355,3.499999,1
427,105,0.012945199996465817,3.5,1
427,105,0.01278180000372231,3.5,1
427,105,0.012795700022252277,3.5,1
427,105,0.013188399985665455,3.5,1
427,105,0.015884899999946356,3.5,1
427,105,0.01327669998863712,3.5,1
427,105,0.013596099975984544,3.5,1
427,105,0.013572199997724965,3.5,1
427,105,0.01184249998186715,3.5,1
100,25,0.015043799998238683,3.12,1
267,63,0.013915699993958697,3.27,1
134,28,0.010999699996318668,3.499999,1
134,28,0.011513300007209182,3.499999,1
427,105,0.012930400000186637,3.5,1
427,105,0.01597169999149628,3.5,1
267,63,0.0137731000140775,3.27,1
267,63,0.013692200009245425,3.27,1
427,105,0.012605700001586229,3.5,1
134,28,0.010983399988617748,3.499999,1
267,63,0.01364550000289455,3.27,1
398,78,0.01736119997804053,3.12,1
267,63,0.013727999990805984,3.27,1
427,105,0.014288300008047372,3.5,1
267,63,0.013863600004697219,3.27,1
427,105,0.013072500005364418,3.5,1
134,28,0.01133269999991171,3.499999,1
398,78,0.018083599978126585,3.12,1
427,105,0.013074100017547607,3.5,1
427,105,0.01321740000275895,3.5,1
134,28,0.011107400001492351,3.499999,1
427,105,0.012232600012794137,3.5,1
