coverage,errors,time,rsum,size
90,0,1.1666521999868564,28.330000000000002,2
87,0,1.258951600000728,29.269998,2
87,0,1.4285320999915712,29.089997999999998,2
103,0,1.3605870000028517,28.33,2
61,0,1.3855109999713022,28.35,2
51,0,1.2535215000098106,28.369999999999997,2
89,0,1.3325667000026442,29.079997999999996,2
105,0,1.212054600007832,28.52,2
157,5,1.9565096000151243,28.56,2
110,1,1.514971600001445,29.239998,2
200,7,1.080290599988075,28.34,2
105,0,1.1030629000160843,28.62,2
109,0,1.1230622000002768,28.520000000000003,2
54,2,1.1791633999964688,28.41,2
63,0,1.183251400012523,28.22,2
142,8,1.0598675000073854,28.42,2
131,13,0.9818908000015654,28.52,2
106,0,1.237509400001727,28.389999999999997,2
157,5,1.212547299975995,28.56,2
89,0,1.5803637000208255,29.079997999999996,2
117,4,1.373884899978293,28.25,2
103,0,1.096841399994446,28.33,2
90,0,1.3416218000056688,27.67,3
86,0,1.4176133000000846,29.269998,2
76,0,0.9522037999995518,28.32,2
74,0,1.5870823999866843,29.409998,2
200,7,1.0157799999869894,28.34,2
81,0,1.4632467999763321,29.239998,2
86,0,1.3825757000013255,29.269998,2
102,0,1.2601275999913923,28.37,2
115,3,1.3004439999931492,28.400000000000002,2
89,0,1.3650770999956876,29.079997999999996,2
89,0,1.5667309999989811,29.079997999999996,2
157,5,1.2327878999931272,28.56,2
107,0,1.1595265000069048,28.6,2
87,0,1.431080500013195,29.089997999999998,2
89,0,1.3445849000127055,29.079997999999996,2
87,0,1.3117134000058286,29.089997999999998,2
57,0,1.087859399995068,28.4,2
86,0,1.47148219999508,29.269998,2
176,1,1.285955200000899,28.45,2
99,1,1.122400899999775,28.220000000000002,2
176,1,1.2364576999971177,28.45,2
58,0,1.1253973999992013,28.5,2
89,0,1.4038527000229806,29.079997999999996,2
86,0,1.4907887000008486,29.269998,2
86,0,1.5200070999853779,29.269998,2
131,13,1.1256243000098038,28.52,2
105,0,1.1184730000095442,28.509999999999998,2
157,5,1.3285389999800827,28.56,2
11,0,1.3760520000068936,28.889996999999997,3
55,0,1.4380221999890637,28.759996,4
131,3,1.2607535000133794,28.64,2
58,0,1.4768076000036672,28.519997999999998,3
45,3,1.4068401000113226,28.34,2
118,4,1.2798013999999966,28.21,2
86,0,1.5764454000163823,29.269998,2
86,0,1.4473434000101406,29.269998,2
112,2,1.077209999988554,28.47,2
109,1,1.4921572000021115,29.419998,2
112,2,1.2435199999890756,28.45,2
86,0,1.331591499998467,29.269998,2
89,0,1.3408105999988038,29.079997999999996,2
185,1,1.107204699976137,28.44,2
109,1,1.457484899990959,29.419998,2
81,0,1.5437084999866784,29.239998,2
63,0,1.1976590999984182,28.37,2
114,0,1.1370800999866333,28.37,2
86,0,1.585138399997959,29.269998,2
109,0,1.3405972000036854,28.48,2
114,0,1.153707999998005,28.37,2
89,0,1.4768893999862485,29.079997999999996,2
104,0,1.1369845000153873,28.52,2
81,0,1.239937700011069,29.239998,2
74,0,1.5625651000009384,29.489998,2
97,0,1.4067716999852564,28.43,2
131,3,1.3685139000008348,28.63,2
109,1,1.563064799993299,29.419998,2
78,0,1.0229101000004448,28.400000000000002,2
86,0,1.3430617999983951,29.269998,2
202,10,1.2331638000032399,28.61,2
105,0,1.182148199994117,28.62,2
112,2,1.0991678000136744,28.47,2
44,0,1.2184095999982674,27.769999,4
185,1,1.1803138999966905,28.44,2
109,1,1.6778944999969099,29.269998,2
118,1,1.2222701999999117,28.450000000000003,2
91,1,1.383257199981017,28.48,2
86,0,1.4846354000037536,29.269998,2
131,13,1.036742399999639,28.52,2
89,0,1.2927391999983229,29.079997999999996,2
112,1,1.1543630000087433,27.77,3
131,13,1.095441400015261,28.52,2
63,0,0.9404820000054315,28.37,2
118,0,1.112464399979217,28.42,2
76,0,0.7381603999820072,28.32,2
115,3,1.3052313000080176,28.400000000000002,2
109,0,1.3268353000166826,28.520000000000003,2
89,0,1.287181400024565,29.079997999999996,2
91,0,1.0786056999932043,28.38,2
105,1,1.3477320999954827,29.389998,2
50,0,1.1896476999972947,28.36,2
114,1,1.053404500009492,28.42,2
157,5,1.3121278999897186,28.56,2
60,1,1.0242728000157513,28.179999,3
50,4,1.498617800010834,29.079997,3
90,0,1.336727100017015,29.079997999999996,2
86,0,1.4106929000117816,29.269998,2
112,2,1.2987995999865234,28.47,2
84,0,1.1812642999866512,28.25,2
118,0,1.4436333999910858,28.47,2
102,0,1.2505094000080135,28.37,2
86,0,1.3537021999945864,29.269998,2
93,4,1.3335848999849986,28.45,2
103,0,1.3462406999897212,28.33,2
87,0,1.443008500005817,29.089997999999998,2
103,0,1.1767933999944944,28.33,2
84,0,1.242451500002062,28.25,2
119,0,1.0569476999808103,28.43,2
89,0,1.562667899997905,29.079997999999996,2
131,13,0.933997600019211,28.52,2
86,0,1.321565299993381,29.269998,2
188,5,1.4773652000003494,28.490000000000002,2
17,3,1.5983379000099376,28.789997,4
109,1,1.6727886000007857,29.269998,2
48,0,1.3119328999891877,28.339999,3
76,0,0.746842699998524,28.32,2
65,0,1.3136211000091862,28.28,2
103,0,1.2003078999987338,28.33,2
54,1,1.1631371999974363,27.25,4
86,0,1.4923601000045892,29.269998,2
99,0,1.0966044000233524,28.41,2
90,0,0.91917320000357,28.5,2
114,1,1.052470099995844,28.42,2
65,0,1.2031289000005927,28.28,2
112,2,1.0012046000047121,28.47,2
86,0,1.433253600000171,29.269998,2
115,3,1.1621272999909706,28.400000000000002,2
109,1,1.5911047999979928,29.269998,2
56,2,1.693089999986114,28.929996000000003,4
79,5,1.5583328999928199,29.029997,3
109,1,1.2836421999963932,29.419998,2
104,0,1.3170162999886088,28.39,2
86,0,1.3988496999954805,29.269998,2
86,0,1.6736797999765258,29.269998,2
170,1,1.136967200000072,28.650000000000002,2
112,1,1.3554511000111233,28.23,2
112,2,1.231529499986209,28.45,2
86,0,1.4452536999888252,29.269998,2
65,0,1.2140715999994427,28.439999999999998,2
55,1,1.1127776999783237,28.149999,3
61,0,1.155757000000449,28.579999,3
101,1,1.507905500009656,28.4,2
78,0,1.1426345000218134,28.400000000000002,2
82,0,1.6160796000040136,29.079997999999996,2
113,0,1.0016064000083134,28.54,2
79,0,0.9935430000186898,28.269999,3
118,0,1.216291499993531,28.42,2
87,0,1.5040103000064846,29.089997999999998,2
106,1,1.6760522999975365,29.539997999999997,2
89,0,1.3692224000114948,29.079997999999996,2
90,0,1.1697400000120979,28.330000000000002,2
200,7,1.1444365000061225,28.34,2
90,0,1.1099725000094622,28.330000000000002,2
113,0,1.2240807999914978,28.54,2
115,1,1.3248103999940213,28.27,2
105,0,1.2835532999888528,28.62,2
43,0,1.5895581000077073,29.329998,2
56,1,1.7883543000207283,29.129997,3
86,0,1.5554641999769956,29.269998,2
117,0,1.4776585999934468,28.310000000000002,2
109,0,1.1903581999940798,28.520000000000003,2
90,0,1.3916382000024896,28.509999999999998,2
136,0,1.1355202000122517,28.52,2
192,4,0.936579500004882,28.51,2
86,0,1.7247170000046026,29.269998,2
176,1,1.354067899985239,28.45,2
112,2,1.3319832000124734,28.47,2
87,0,1.4704526999848895,29.089997999999998,2
109,0,1.1491168000211474,28.520000000000003,2
89,0,1.6461347000149544,29.079997999999996,2
86,0,1.5740835000178777,29.269998,2
126,13,1.4273666999943089,27.65,3
107,0,1.2092659999907482,28.6,2
157,5,1.473134600004414,28.56,2
109,1,1.6460426000121515,29.269998,2
108,1,1.6800641000154428,29.429997999999998,2
59,0,1.3756114999996498,28.52,2
157,5,1.1537170000083279,28.56,2
109,1,1.5080662000109442,28.25,2
76,0,0.9043606999912299,28.32,2
82,0,1.5048048000026029,29.079997999999996,2
86,0,1.5058413000078872,29.269998,2
112,2,1.1203562000009697,28.47,2
134,5,1.0647392999962904,28.82,2
109,1,1.5435364000150003,29.629998,2
86,8,1.0900394000054803,28.49,2
131,13,0.8615525999921374,28.52,2
115,1,1.3110480000032112,28.27,2
86,0,1.5631810999766458,29.269998,2
104,0,0.968993499991484,28.52,2
64,0,1.110762700001942,28.259999999999998,2
180,5,1.1907665000180714,28.36,2
170,1,1.4134524000110105,28.64,2
109,0,1.432660799997393,28.520000000000003,2
105,0,1.1696092000056524,28.62,2
82,0,1.5086680999957025,29.079997999999996,2
90,0,1.2005069000006188,28.330000000000002,2
136,0,0.9538569000142161,28.52,2
118,4,1.1244189999997616,28.21,2
14,0,1.4654168999986723,28.279997,4
82,0,1.4992882999940775,29.079997999999996,2
118,1,1.1712434999935795,28.450000000000003,2
115,3,1.0875792000151705,28.400000000000002,2
79,5,1.6572629000002053,29.029997,3
97,0,1.2258252000028733,28.34,2
95,0,1.2057448999839835,28.43,2
109,1,1.5891842000128236,29.419998,2
191,1,1.236102499999106,28.33,2
103,0,1.0835414000030141,28.33,2
