coverage,errors,time,rsum,size
119,8,0.04405560001032427,8.329999,2
27,0,0.04644529998768121,8.099999,2
20,0,0.03061439999146387,7.469999,2
46,0,0.028801599983125925,8.199999,1
120,8,0.04738909998559393,8.279999,2
120,8,0.034381399978883564,8.279999,2
87,0,0.030528800009051338,8.229999,1
107,9,0.03353359998436645,8.599998,2
16,0,0.09614219999639317,7.67,2
120,8,0.03406780000659637,8.819998,2
14,0,0.09035449998918921,7.219998,3
43,6,0.03854220002540387,8.289999,2
120,8,0.05165460001444444,8.819998,2
120,8,0.040223600022727624,8.279999,2
17,0,0.06078090000664815,7.3799980000000005,3
120,8,0.040476799971656874,8.819998,2
14,0,0.07360510001308285,7.219998,3
120,8,0.03696470000431873,8.279999,2
45,1,0.046124400018015876,8.769998,2
131,13,0.027447900007246062,8.829999,1
17,0,0.09285270000691526,7.3799980000000005,3
118,7,0.041258799989009276,7.829999,2
45,0,0.030175199994118884,8.199999,1
87,0,0.027963400003500283,8.229999,1
20,0,0.049367600004188716,7.469999,2
87,0,0.026684699987526983,8.229999,1
11,0,0.09110499999951571,5.959999,4
120,8,0.04091440001502633,8.279999,2
18,0,0.031084400019608438,8.129998,2
45,1,0.03831010000430979,8.769998,2
46,0,0.02806930002407171,8.199999,1
29,5,0.06586060000699945,8.019999,2
11,0,0.06730100000277162,7.139998,3
14,0,0.0663308999792207,7.219998,3
44,5,0.0992600999888964,7.79,2
120,8,0.0399866999941878,8.279999,2
20,0,0.04084229998989031,7.469999,2
12,0,0.05197030000272207,6.729998999999999,3
92,3,0.0481904000043869,8.199999,2
36,0,0.08669939998071641,8.369999,2
87,0,0.024742000008700415,8.229999,1
87,0,0.025439600023673847,8.229999,1
27,0,0.03630059998249635,8.099999,2
28,4,0.11662430001888424,7.5599989999999995,3
16,0,0.04172049998305738,7.879998,2
79,9,0.042035299993585795,8.549998,2
65,0,0.03702690001227893,8.149998,2
120,8,0.03551390001666732,8.819998,2
67,0,0.05292170000029728,7.599999,2
83,0,0.03801650000968948,7.6799990000000005,2
120,8,0.035938699991675094,8.279999,2
65,0,0.04552039998816326,8.149998,2
74,0,0.03462019999278709,7.999998,2
16,0,0.03483280001091771,7.879998,2
120,8,0.049956200004089624,8.819998,2
87,0,0.03421429998707026,8.229999,1
45,0,0.02742320002289489,8.199999,1
18,0,0.041346299985889345,7.649998,2
118,7,0.058381700015161186,7.829999,2
28,10,0.1248749999795109,8.119999,2
18,0,0.0453546000062488,7.649998,2
87,0,0.02253359998576343,8.229999,1
65,0,0.030743900017114356,8.149998,2
33,1,0.06443659999058582,7.71,2
11,0,0.07931140001164749,7.139998,3
83,0,0.042394999996759,7.6799990000000005,2
131,13,0.026742200017906725,8.829999,1
67,0,0.05241169998771511,7.599999,2
87,0,0.03475799999432638,8.229999,1
27,0,0.041734700003871694,8.099999,2
1,0,0.5798206999897957,5.059997,8
1,0,0.5201661000028253,4.729996,8
92,3,0.0552124000096228,8.199999,2
120,8,0.04050000000279397,8.819998,2
120,8,0.04149370000232011,8.279999,2
45,1,0.0571265000035055,8.769998,2
79,9,0.047281699982704595,8.549998,2
15,1,0.0626328999933321,7.719998,3
18,0,0.030662600009236485,7.649998,2
14,0,0.08979030000045896,7.219998,3
45,0,0.021828800003277138,8.199999,1
87,0,0.029094699973938987,8.229999,1
120,8,0.04774939999333583,8.819998,2
83,0,0.036343100015074015,7.6799990000000005,2
120,8,0.04148759998497553,8.819998,2
74,0,0.058984800009056926,7.999998,2
120,8,0.0521178999915719,8.279999,2
83,0,0.03996339999139309,7.6799990000000005,2
121,8,0.05871280000428669,8.279999,2
107,9,0.046431500028120354,8.599998,2
17,0,0.0918633000110276,7.3799980000000005,3
20,0,0.039870499982498586,7.469999,2
92,3,0.05543279999983497,8.199999,2
74,0,0.04011279999394901,7.999998,2
18,0,0.03521750000072643,8.129998,2
87,0,0.03263659999356605,8.229999,1
45,0,0.02245349998702295,8.199999,1
119,8,0.04256159998476505,8.329999,2
25,0,0.032732299994677305,7.599999,2
45,0,0.026082700002007186,8.199999,1
14,0,0.06751030002487823,7.219998,3
20,0,0.039946100005181506,7.469999,2
45,0,0.019682800018927082,8.199999,1
24,0,0.030115600005956367,7.489999,2
120,8,0.03513289999682456,8.279999,2
14,0,0.09169750000000931,7.219998,3
28,10,0.10677650000434369,8.119999,2
1,0,0.44566159998066723,4.789996,9
74,0,0.041687299992190674,7.999998,2
120,8,0.041919600014807656,8.819998,2
15,1,0.09906630002660677,7.719998,3
12,0,0.07585310001741163,6.729998999999999,3
45,0,0.02282099999138154,8.199999,1
87,0,0.02898299999651499,8.229999,1
39,0,0.03153430001111701,8.189998,2
81,0,0.04373569999006577,7.729998999999999,2
27,0,0.03359420000924729,8.099999,2
43,0,0.04759689999627881,7.699998,2
45,0,0.027354399993782863,8.199999,1
44,5,0.07811169998603873,7.79,2
83,0,0.04846890000044368,7.6799990000000005,2
120,8,0.050630199984880164,8.819998,2
120,8,0.04667689997586422,8.279999,2
87,0,0.021051199990324676,8.229999,1
131,13,0.030731699982425198,8.829999,1
120,8,0.03702700001304038,8.279999,2
45,0,0.035713500023121014,8.199999,1
87,0,0.027468500018585473,8.229999,1
87,0,0.021014300000388175,8.229999,1
56,0,0.039472000004025176,7.519999,2
28,10,0.10138700000243261,8.119999,2
65,0,0.049837700003990903,8.149998,2
131,13,0.026380299997981638,8.829999,1
24,0,0.030075999995460734,7.489999,2
92,3,0.03434899999410845,8.199999,2
118,7,0.04041330001200549,7.829999,2
29,5,0.06780620000790805,8.019999,2
120,8,0.03473179999855347,8.819998,2
87,0,0.0291404000017792,8.229999,1
29,5,0.0869548000046052,8.019999,2
16,0,0.036273600009735674,7.879998,2
92,3,0.033326600008876994,8.199999,2
120,8,0.03492929998901673,8.279999,2
65,0,0.043220799998380244,8.149998,2
3,0,0.06896669999696314,5.949999,4
45,0,0.025836300017545,8.199999,1
65,0,0.04111789999296889,8.149998,2
120,8,0.05070239998167381,8.279999,2
27,0,0.03127989999484271,8.099999,2
120,8,0.040219899994554,8.819998,2
107,9,0.031118900020373985,8.599998,2
119,8,0.04100359999574721,8.329999,2
56,0,0.03185110000777058,7.519999,2
45,0,0.0217871000058949,8.199999,1
42,3,0.04109980000066571,8.169999,2
67,0,0.04656710001290776,7.599999,2
79,9,0.03153439998277463,8.549998,2
17,0,0.08097170002292842,7.3799980000000005,3
39,0,0.033323299983749166,8.189998,2
18,0,0.03179680000175722,8.129998,2
45,0,0.031044600007589906,8.199999,1
