Explanation,Bounds
"['petal width (cm) > 0.04', 'sepal width (cm) <= 0.33']","[[0.       1.      ]
 [0.       0.33    ]
 [0.       1.      ]
 [0.040001 1.      ]]"
"['petal width (cm) > 0.54', 'sepal length (cm) > 0.42']","[[0.420001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.540001 1.      ]]"
['petal width (cm) > 0.71'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.710001 1.      ]]"
"['petal width (cm) > 0.54', 'sepal length (cm) > 0.42']","[[0.420001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.540001 1.      ]]"
"['petal width (cm) > 0.71', 'petal length (cm) > 0.59']","[[0.       1.      ]
 [0.       1.      ]
 [0.590001 1.      ]
 [0.710001 1.      ]]"
['petal width (cm) > 0.71'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.710001 1.      ]]"
"['petal width (cm) <= 0.04', 'petal length (cm) <= 0.10']","[[0.   1.  ]
 [0.   1.  ]
 [0.   0.1 ]
 [0.   0.04]]"
"['petal width (cm) > 0.54', 'sepal length (cm) > 0.42']","[[0.420001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.540001 1.      ]]"
"['petal width (cm) > 0.54', 'sepal length (cm) > 0.42']","[[0.420001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.540001 1.      ]]"
"['petal width (cm) <= 0.04', 'petal length (cm) <= 0.10']","[[0.   1.  ]
 [0.   1.  ]
 [0.   0.1 ]
 [0.   0.04]]"
"['petal width (cm) <= 0.04', 'petal length (cm) <= 0.10']","[[0.   1.  ]
 [0.   1.  ]
 [0.   0.1 ]
 [0.   0.04]]"
"['petal width (cm) <= 0.54', 'petal length (cm) <= 0.10']","[[0.   1.  ]
 [0.   1.  ]
 [0.   0.1 ]
 [0.   0.54]]"
"['petal width (cm) > 0.04', 'petal length (cm) > 0.10', 'sepal width (cm) <= 0.50', 'sepal length (cm) > 0.22']","[[0.220001 1.      ]
 [0.       0.5     ]
 [0.100001 1.      ]
 [0.040001 1.      ]]"
"['petal length (cm) <= 0.10', 'sepal length (cm) <= 0.22', 'sepal width (cm) > 0.33']","[[0.       0.22    ]
 [0.330001 1.      ]
 [0.       0.1     ]
 [0.       1.      ]]"
"['sepal length (cm) <= 0.42', 'petal length (cm) <= 0.10']","[[0.   0.42]
 [0.   1.  ]
 [0.   0.1 ]
 [0.   1.  ]]"
"['petal length (cm) > 0.59', 'sepal length (cm) > 0.42']","[[0.420001 1.      ]
 [0.       1.      ]
 [0.590001 1.      ]
 [0.       1.      ]]"
"['petal width (cm) > 0.71', 'sepal width (cm) <= 0.33']","[[0.       1.      ]
 [0.       0.33    ]
 [0.       1.      ]
 [0.710001 1.      ]]"
['petal width (cm) > 0.71'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.710001 1.      ]]"
"['petal width (cm) > 0.71', 'sepal length (cm) > 0.64']","[[0.640001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.710001 1.      ]]"
['petal width (cm) > 0.71'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.710001 1.      ]]"
"['petal width (cm) <= 0.04', 'petal length (cm) <= 0.10']","[[0.   1.  ]
 [0.   1.  ]
 [0.   0.1 ]
 [0.   0.04]]"
"['sepal width (cm) > 0.50', 'petal length (cm) <= 0.10']","[[0.       1.      ]
 [0.500001 1.      ]
 [0.       0.1     ]
 [0.       1.      ]]"
"['petal width (cm) > 0.04', 'sepal length (cm) > 0.42']","[[0.420001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.040001 1.      ]]"
['petal width (cm) > 0.71'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.710001 1.      ]]"
"['sepal width (cm) > 0.50', 'petal length (cm) <= 0.10']","[[0.       1.      ]
 [0.500001 1.      ]
 [0.       0.1     ]
 [0.       1.      ]]"
"['petal width (cm) <= 0.04', 'petal length (cm) <= 0.10']","[[0.   1.  ]
 [0.   1.  ]
 [0.   0.1 ]
 [0.   0.04]]"
['petal width (cm) > 0.71'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.710001 1.      ]]"
"['petal length (cm) > 0.59', 'sepal length (cm) > 0.42']","[[0.420001 1.      ]
 [0.       1.      ]
 [0.590001 1.      ]
 [0.       1.      ]]"
"['petal width (cm) <= 0.04', 'petal length (cm) <= 0.10']","[[0.   1.  ]
 [0.   1.  ]
 [0.   0.1 ]
 [0.   0.04]]"
"['petal width (cm) > 0.04', 'sepal width (cm) <= 0.33']","[[0.       1.      ]
 [0.       0.33    ]
 [0.       1.      ]
 [0.040001 1.      ]]"
"['petal width (cm) > 0.04', 'sepal width (cm) <= 0.33', 'sepal length (cm) > 0.22']","[[0.220001 1.      ]
 [0.       0.33    ]
 [0.       1.      ]
 [0.040001 1.      ]]"
"['petal width (cm) <= 0.54', 'sepal width (cm) > 0.50']","[[0.       1.      ]
 [0.500001 1.      ]
 [0.       1.      ]
 [0.       0.54    ]]"
"['petal width (cm) > 0.54', 'sepal length (cm) > 0.42']","[[0.420001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.540001 1.      ]]"
"['petal width (cm) <= 0.04', 'petal length (cm) <= 0.10']","[[0.   1.  ]
 [0.   1.  ]
 [0.   0.1 ]
 [0.   0.04]]"
"['petal width (cm) > 0.04', 'sepal width (cm) <= 0.33', 'sepal length (cm) > 0.22']","[[0.220001 1.      ]
 [0.       0.33    ]
 [0.       1.      ]
 [0.040001 1.      ]]"
"['petal width (cm) <= 0.04', 'petal length (cm) <= 0.10']","[[0.   1.  ]
 [0.   1.  ]
 [0.   0.1 ]
 [0.   0.04]]"
"['petal length (cm) <= 0.10', 'petal width (cm) <= 0.04']","[[0.   1.  ]
 [0.   1.  ]
 [0.   0.1 ]
 [0.   0.04]]"
"['petal length (cm) > 0.69', 'sepal length (cm) > 0.64']","[[0.640001 1.      ]
 [0.       1.      ]
 [0.690001 1.      ]
 [0.       1.      ]]"
['petal width (cm) > 0.71'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.710001 1.      ]]"
"['petal width (cm) <= 0.54', 'petal length (cm) <= 0.10']","[[0.   1.  ]
 [0.   1.  ]
 [0.   0.1 ]
 [0.   0.54]]"
"['petal width (cm) <= 0.04', 'petal length (cm) <= 0.10']","[[0.   1.  ]
 [0.   1.  ]
 [0.   0.1 ]
 [0.   0.04]]"
"['sepal width (cm) > 0.50', 'petal length (cm) <= 0.10']","[[0.       1.      ]
 [0.500001 1.      ]
 [0.       0.1     ]
 [0.       1.      ]]"
"['petal width (cm) <= 0.04', 'petal length (cm) <= 0.10']","[[0.   1.  ]
 [0.   1.  ]
 [0.   0.1 ]
 [0.   0.04]]"
"['petal width (cm) <= 0.54', 'petal length (cm) <= 0.10']","[[0.   1.  ]
 [0.   1.  ]
 [0.   0.1 ]
 [0.   0.54]]"
"['petal width (cm) <= 0.04', 'sepal width (cm) > 0.50']","[[0.       1.      ]
 [0.500001 1.      ]
 [0.       1.      ]
 [0.       0.04    ]]"
"['petal width (cm) > 0.54', 'sepal length (cm) > 0.42']","[[0.420001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.540001 1.      ]]"
"['petal width (cm) > 0.54', 'sepal length (cm) > 0.42']","[[0.420001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.540001 1.      ]]"
['petal length (cm) > 0.69'],"[[0.       1.      ]
 [0.       1.      ]
 [0.690001 1.      ]
 [0.       1.      ]]"
['petal width (cm) > 0.71'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.710001 1.      ]]"
"['petal width (cm) > 0.54', 'sepal length (cm) > 0.42']","[[0.420001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.540001 1.      ]]"
"['petal width (cm) > 0.71', 'petal length (cm) > 0.59']","[[0.       1.      ]
 [0.       1.      ]
 [0.590001 1.      ]
 [0.710001 1.      ]]"
"['petal width (cm) > 0.04', 'sepal width (cm) <= 0.33', 'sepal length (cm) > 0.22']","[[0.220001 1.      ]
 [0.       0.33    ]
 [0.       1.      ]
 [0.040001 1.      ]]"
"['petal width (cm) <= 0.04', 'petal length (cm) <= 0.10']","[[0.   1.  ]
 [0.   1.  ]
 [0.   0.1 ]
 [0.   0.04]]"
