Explanation,Bounds
['PEG > 0.45'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.450001 1.      ]]"
['PEG > 0.45'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.450001 1.      ]]"
"['PEG <= 0.45', 'STR <= 0.28', 'SCG <= 0.30', 'LPR > 0.38']","[[0.       1.      ]
 [0.       0.3     ]
 [0.       0.28    ]
 [0.380001 1.      ]
 [0.       0.45    ]]"
['PEG > 0.78'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.780001 1.      ]]"
['PEG > 0.78'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.780001 1.      ]]"
['PEG > 0.78'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.780001 1.      ]]"
"['PEG <= 0.45', 'STR <= 0.46', 'SCG <= 0.61', 'LPR > 0.70']","[[0.       1.      ]
 [0.       0.61    ]
 [0.       0.46    ]
 [0.700001 1.      ]
 [0.       0.45    ]]"
"['PEG > 0.25', 'SCG > 0.61', 'STG <= 0.30']","[[0.       0.3     ]
 [0.610001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.250001 1.      ]]"
"['PEG <= 0.45', 'SCG <= 0.30', 'STR <= 0.73', 'LPR > 0.70', '0.20 < STG <= 0.47']","[[0.200001 0.47    ]
 [0.       0.3     ]
 [0.       0.73    ]
 [0.700001 1.      ]
 [0.       0.45    ]]"
['PEG > 0.78'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.780001 1.      ]]"
"['PEG > 0.25', 'SCG > 0.36', 'LPR <= 0.26', 'STG <= 0.47']","[[0.       0.47    ]
 [0.360001 1.      ]
 [0.       1.      ]
 [0.       0.26    ]
 [0.250001 1.      ]]"
['PEG > 0.45'],"[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.450001 1.      ]]"
