coverage,errors,time,rsum,size
149,0,0.015567599999485537,4.549999,1
149,0,0.01607510000030743,4.549999,1
12,6,0.047599800000170944,2.649999,4
51,0,0.013572600000770763,4.219999,1
51,0,0.013403699998889351,4.219999,1
51,0,0.013132400003087241,4.219999,1
13,4,0.11370240000178455,2.819999,4
24,5,0.11998910000329488,3.439998,3
7,4,0.11306649999824003,2.049998,5
51,0,0.014686999998957617,4.219999,1
20,6,0.1026891000001342,3.119998,4
149,0,0.015843299999687588,4.549999,1
149,0,0.014005200002429774,4.549999,1
51,0,0.012943900001118891,4.219999,1
149,0,0.013516200000594836,4.549999,1
149,0,0.013856800000212388,4.549999,1
48,30,0.019620900002337294,3.61,2
26,6,0.05572879999817815,3.6599969999999997,3
32,23,0.025141300000541378,3.2800000000000002,3
149,0,0.014278099999501137,4.549999,1
67,10,0.14667720000215922,3.989997,3
149,0,0.015657299998565577,4.549999,1
21,7,0.11850279999998747,3.139998,3
149,0,0.016514399998413865,4.549999,1
149,0,0.014564400000381283,4.549999,1
39,27,0.017639099998632446,3.55,2
92,0,0.01721180000095046,3.929999,2
11,0,0.07688319999942905,2.7499990000000003,4
149,0,0.014610700000048382,4.549999,1
40,23,0.018502399998396868,3.71,2
149,0,0.014190500001859618,4.549999,1
51,0,0.0128523999992467,4.219999,1
10,6,0.08542730000044685,2.479998,5
149,0,0.015250699998432538,4.549999,1
149,0,0.01448059999893303,4.549999,1
149,0,0.014592999999877065,4.549999,1
28,9,0.14274590000059106,3.4699990000000005,3
32,23,0.026175699997111224,3.2800000000000002,3
149,0,0.014539100000547478,4.549999,1
13,5,0.04371339999852353,2.489998,5
149,0,0.014681600001495099,4.549999,1
7,2,0.10827720000088448,2.049998,5
51,0,0.014749699999811128,4.219999,1
12,4,0.1227290000024368,2.259998,5
18,10,0.02784120000069379,3.5300000000000002,2
27,19,0.027599600001849467,3.07,3
40,23,0.02084409999952186,3.71,2
51,0,0.013418299997283611,4.219999,1
51,0,0.01405249999879743,4.219999,1
18,10,0.03298179999910644,3.5300000000000002,2
30,21,0.06969889999891166,3.02,3
27,13,0.11817570000130218,2.9199980000000005,5
51,0,0.014552799999364652,4.219999,1
51,0,0.013152199997421121,4.219999,1
149,0,0.01435479999781819,4.549999,1
149,0,0.01477589999922202,4.549999,1
51,0,0.0125495000029332,4.219999,1
11,2,0.04276430000027176,3.1299970000000004,4
40,23,0.018538500000431668,3.71,2
149,0,0.014380000000528526,4.549999,1
17,7,0.1244366999999329,2.399999,5
3,0,0.08608109999840963,1.839999,5
3,1,0.09745699999984936,2.409997,5
149,0,0.015768999997817446,4.549999,1
92,0,0.017595900000742404,4.249998,2
14,6,0.06290639999861014,2.529999,5
12,5,0.09911659999852418,2.529998,5
9,4,0.08427400000073249,2.479998,5
149,0,0.016090299999632407,4.549999,1
51,0,0.0133629000010842,4.219999,1
17,6,0.1335213999991538,2.64,4
15,10,0.02481400000033318,3.1399999999999997,3
51,0,0.01325409999844851,4.219999,1
37,9,0.04225659999792697,3.719997,3
149,0,0.019763300002523465,4.549999,1
59,33,0.016199699999560835,3.98,2
10,4,0.12214479999965988,2.02,5
51,0,0.014973199999076314,4.219999,1
51,0,0.01422169999932521,4.219999,1
7,2,0.12019950000103563,2.479998,4
9,0,0.030646300001535565,2.889999,4
12,4,0.13146559999950114,2.789998,5
59,33,0.10547220000080415,3.98,2
51,0,0.014970100000937236,4.219999,1
6,2,0.06500099999902886,2.149998,5
149,0,0.014782299997023074,4.549999,1
35,17,0.020562099998642225,3.349999,3
7,2,0.08223799999905168,2.609998,5
92,0,0.021750500000052853,3.929999,2
