coverage,errors,time,rsum,size
4,1,0.6098571000002266,20.569997,3
39,1,0.16674299999976938,21.349998,2
43,2,0.2619763000002422,21.239999,2
24,1,0.28165639999861014,21.069999,2
27,1,0.15856730000086827,20.969998,2
28,4,0.12779699999919103,20.609999000000002,2
39,1,0.18914649999896938,21.349998,2
107,13,0.2066655999988143,21.579998,2
27,1,0.12814799999978277,20.969998,2
39,1,0.15079900000091584,21.349998,2
13,0,0.0902870999998413,20.529999,2
70,4,0.2632722000016656,21.649998,2
28,4,0.16575600000032864,20.609999000000002,2
30,4,0.1502208999991126,20.479999,2
63,3,0.2195597000009002,21.619998,2
90,12,0.2658644999992248,21.189999,2
42,5,0.1994816999995237,21.039998,2
27,1,0.13935330000094837,20.969998,2
33,0,0.24181599999974424,21.409998,2
12,1,0.6856167000005371,20.239998,4
28,4,0.1723215000001801,20.609999000000002,2
39,1,0.11087760000009439,21.369998000000002,2
39,1,0.12614290000055917,21.349998,2
31,1,0.30397459999949206,21.239999,2
24,1,0.26191130000006524,21.069999,2
41,8,0.17643320000024687,20.939998000000003,2
9,0,0.7079094000000623,20.009998,4
12,0,0.24175950000062585,20.569999000000003,2
15,1,0.5644664999999804,20.399999,3
65,13,0.16530940000120609,21.289999,2
39,1,0.12753890000021784,21.349998,2
55,11,0.2345854999985022,20.62,2
7,2,0.7463755999997375,19.949998,3
90,12,0.31883769999876677,21.189999,2
53,1,0.17826200000126846,21.469998,2
106,14,0.22374759999911475,21.589998,2
70,4,0.4362044999998034,21.649998,2
4,1,0.7416234000011173,20.179999,3
27,1,0.165615699999762,20.969998,2
26,4,0.23615130000143836,20.869999,2
73,4,0.16242790000069363,21.599998000000003,2
84,11,0.18653919999997015,20.72,2
31,0,0.29994880000049307,20.689999,2
62,4,0.27981629999885627,21.549998000000002,2
62,4,0.22629799999958777,21.549998000000002,2
55,11,0.24556260000099428,20.62,2
62,4,0.19599250000101165,21.449998,2
48,7,0.30356729999948584,20.929999000000002,2
9,0,0.6936377000001812,20.379998,4
109,15,0.15336110000134795,21.599998000000003,2
41,8,0.2595994999992399,20.939998000000003,2
27,1,0.15215960000023188,20.969998,2
39,1,0.12074369999936607,21.349998,2
47,9,0.3126888999995572,20.749999000000003,2
55,11,0.3894290000007459,20.62,2
39,1,0.11945100000048114,21.349998,2
55,11,0.16384959999959392,20.62,2
42,0,0.16687999999885506,21.409998,2
27,0,0.1872657000003528,21.259998,2
39,0,0.1813641999997344,21.409998,2
39,1,0.1615605000006326,21.349998,2
62,1,0.2550510999990365,21.529998,2
28,4,0.16231650000008813,20.609999000000002,2
70,4,0.2349051999990479,21.649998,2
12,1,0.8044014999995852,20.239998,4
37,2,0.1854817000003095,20.759999,2
76,3,0.23511260000123002,21.319999,2
42,4,0.30802200000107405,21.719998,2
27,1,0.14009140000052867,20.969998,2
39,1,0.10267759999987902,21.349998,2
62,4,0.22772169999916514,21.459998000000002,2
24,5,0.18190600000161794,20.479999000000003,2
