Explanation,Bounds
['Glucose <= 0.59'],"[[0.   1.  ]
 [0.   0.59]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]]"
['Glucose <= 0.50'],"[[0.  1. ]
 [0.  0.5]
 [0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  1. ]]"
['Glucose <= 0.50'],"[[0.  1. ]
 [0.  0.5]
 [0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  1. ]]"
"['Glucose <= 0.70', 'BMI <= 0.46', 'BloodPressure <= 0.67']","[[0.   1.  ]
 [0.   0.7 ]
 [0.   0.67]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.46]
 [0.   1.  ]
 [0.   1.  ]]"
"['Glucose > 0.70', 'SkinThickness > 0.21', 'Pregnancies > 0.35', 'BMI > 0.46']","[[0.350001 1.      ]
 [0.700001 1.      ]
 [0.       1.      ]
 [0.210001 1.      ]
 [0.       1.      ]
 [0.460001 1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Glucose <= 0.59', 'SkinThickness <= 0.32']","[[0.   1.  ]
 [0.   0.59]
 [0.   1.  ]
 [0.   0.32]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]]"
"['Glucose <= 0.59', 'Age <= 0.14']","[[0.   1.  ]
 [0.   0.59]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.14]]"
"['Glucose > 0.70', 'SkinThickness > 0.32', 'BMI > 0.46']","[[0.       1.      ]
 [0.700001 1.      ]
 [0.       1.      ]
 [0.320001 1.      ]
 [0.       1.      ]
 [0.460001 1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['Glucose <= 0.50'],"[[0.  1. ]
 [0.  0.5]
 [0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  1. ]]"
"['Glucose <= 0.59', 'SkinThickness <= 0.32']","[[0.   1.  ]
 [0.   0.59]
 [0.   1.  ]
 [0.   0.32]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]]"
"['Glucose <= 0.70', 'BMI <= 0.46', 'SkinThickness > 0.21']","[[0.       1.      ]
 [0.       0.7     ]
 [0.       1.      ]
 [0.210001 1.      ]
 [0.       1.      ]
 [0.       0.46    ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Glucose > 0.70', 'SkinThickness > 0.32', 'Age > 0.05']","[[0.       1.      ]
 [0.700001 1.      ]
 [0.       1.      ]
 [0.320001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.050001 1.      ]]"
"['Glucose <= 0.70', 'BMI <= 0.40']","[[0.  1. ]
 [0.  0.7]
 [0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.4]
 [0.  1. ]
 [0.  1. ]]"
['Glucose <= 0.59'],"[[0.   1.  ]
 [0.   0.59]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]]"
"['Glucose <= 0.70', 'Insulin <= 0.00', 'Pregnancies > 0.18']","[[0.180001 1.      ]
 [0.       0.7     ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Glucose <= 0.70', 'BMI <= 0.40']","[[0.  1. ]
 [0.  0.7]
 [0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.4]
 [0.  1. ]
 [0.  1. ]]"
"['Glucose > 0.70', 'SkinThickness > 0.21', 'Pregnancies > 0.35', 'BMI > 0.46']","[[0.350001 1.      ]
 [0.700001 1.      ]
 [0.       1.      ]
 [0.210001 1.      ]
 [0.       1.      ]
 [0.460001 1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['Glucose <= 0.59', 'SkinThickness <= 0.32']","[[0.   1.  ]
 [0.   0.59]
 [0.   1.  ]
 [0.   0.32]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]]"
"['Glucose <= 0.70', 'DiabetesPedigreeFunction <= 0.23']","[[0.   1.  ]
 [0.   0.7 ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.23]
 [0.   1.  ]]"
"['Glucose > 0.70', 'BMI > 0.54', 'Age > 0.35', 'Pregnancies > 0.18']","[[0.180001 1.      ]
 [0.700001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.540001 1.      ]
 [0.       1.      ]
 [0.350001 1.      ]]"
['Glucose <= 0.50'],"[[0.  1. ]
 [0.  0.5]
 [0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  1. ]]"
"['Glucose <= 0.59', 'Pregnancies <= 0.18']","[[0.   0.18]
 [0.   0.59]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]]"
