coverage,errors,time,rsum,size
152,14,0.01842959999339655,7.5,1
216,29,0.028004399995552376,6.91,2
55,2,0.034577000013086945,6.5600000000000005,2
202,28,0.02948830000241287,7.16,2
54,16,0.04237429998465814,6.949997,3
86,7,0.03377000000909902,7.07,2
179,15,0.02849399999831803,6.73,2
32,10,0.05603289999999106,6.439997,3
152,14,0.01969469999312423,7.5,1
216,29,0.0281847000005655,6.91,2
202,28,0.031610700010787696,7.16,2
52,16,0.04494930000510067,6.979998,2
113,7,0.03936580001027323,7.1,2
179,15,0.028232499986188486,6.73,2
112,36,0.02931069998885505,6.7,2
202,28,0.045653599983779714,7.16,2
24,7,0.06543459999375045,6.809996,4
216,29,0.03047219998552464,6.91,2
113,7,0.034593299991684034,7.1,2
5,0,0.14988170002470724,5.559995,5
152,14,0.021199800015892833,7.5,1
216,29,0.0293416999920737,6.91,2
46,13,0.07897279999451712,6.419995,5
2,0,0.15996200000518002,4.349999,4
226,31,0.028410800005076453,6.82,2
36,6,0.10625920002348721,5.439998999999999,5
71,2,0.03001879999646917,6.71,2
52,16,0.02999500001897104,6.979998,2
31,8,0.06362100000842474,6.499995,5
214,48,0.03926499999943189,6.509999,3
216,29,0.03170780002255924,6.91,2
1,1,0.2510537000198383,4.3199939999999994,7
28,5,0.049277499987510964,6.589995999999999,4
121,15,0.03765539999585599,6.0,3
107,21,0.04018849998828955,6.03,3
71,2,0.02720670000417158,6.71,2
216,29,0.02541240002028644,6.91,2
152,14,0.020430200005648658,7.5,1
152,14,0.019128599989926443,7.5,1
216,29,0.03479420000803657,6.91,2
361,80,0.032252100005280226,7.37,2
32,10,0.04192839999450371,6.439997,3
216,29,0.0410787999862805,6.91,2
98,12,0.024180099979275838,7.439999,2
23,5,0.04508769998210482,6.6299969999999995,3
22,5,0.05526510000345297,6.319996,4
119,6,0.030105200014077127,6.82,2
28,2,0.08431069998187013,5.259999,4
18,6,0.05924770000274293,6.379996,4
293,52,0.021432500012451783,7.59,1
45,2,0.15179460000945255,4.609999999999999,5
21,7,0.12288929999340326,5.039999,4
153,14,0.02181090001249686,7.5,1
152,14,0.026821100007509813,7.5,1
34,18,0.12139549999847077,5.859999,4
228,36,0.029526099999202415,7.13,2
226,31,0.03361280000535771,6.82,2
152,14,0.02025520001188852,7.5,1
35,7,0.047432699997443706,6.609997,3
263,44,0.03974279999965802,6.37,3
216,29,0.030859299993608147,6.91,2
152,14,0.02063429998815991,7.5,1
152,14,0.01926830000593327,7.5,1
45,14,0.04139269998995587,6.929997,3
216,29,0.02813700001570396,6.91,2
81,7,0.02922920000855811,7.499999,2
216,29,0.028250700008356944,6.91,2
152,14,0.0202104999916628,7.5,1
32,10,0.04385990000446327,6.439997,3
4,1,0.29551850000279956,5.429993,7
71,7,0.03518120001535863,6.5,2
115,16,0.037371200014604256,6.7700000000000005,2
152,14,0.02447030000621453,7.5,1
216,29,0.03064849998918362,6.91,2
223,57,0.05207120001432486,7.1799990000000005,3
293,52,0.024210399977164343,7.59,1
91,32,0.03866560000460595,6.6399989999999995,3
113,7,0.036347400018712506,7.1,2
216,29,0.027967799978796393,6.91,2
30,1,0.03292440000222996,6.5,2
112,36,0.03825620000134222,6.7,2
226,31,0.026435399980982766,6.82,2
11,4,0.3374988000141457,6.119994,6
293,52,0.02514569999766536,7.59,1
216,29,0.030617899989010766,6.91,2
120,7,0.03625499998452142,7.04,2
113,7,0.040315300022484735,7.1,2
326,67,0.033110299991676584,6.93,2
293,52,0.021479999995790422,7.59,1
112,36,0.035519099998055026,6.7,2
24,5,0.052932399994460866,6.739997000000001,3
113,7,0.035826000006636605,7.1,2
106,21,0.036345899978186935,6.03,3
12,1,0.08651459999964572,4.509997,5
293,52,0.02381250000325963,7.59,1
216,29,0.030299300007754937,6.91,2
152,14,0.0217838000098709,7.5,1
15,3,0.09759669998311438,5.51,3
152,14,0.02089210000121966,7.5,1
18,3,0.06692919999477454,5.889995,5
152,14,0.020177200000034645,7.5,1
108,15,0.03747379998094402,6.3,3
16,0,0.06275939999613911,6.309995,5
82,4,0.026358200004324317,6.66,2
168,43,0.036254199978429824,6.669999,3
216,29,0.02988409998943098,6.91,2
22,5,0.052365199982887134,6.319996,4
115,16,0.03466229999321513,6.7700000000000005,2
154,18,0.0400546999881044,6.379999,4
92,12,0.05625749999308027,6.3100000000000005,3
216,29,0.030760499997995794,6.91,2
32,10,0.041666299977805465,6.439997,3
71,7,0.0345017000217922,6.5,2
216,29,0.03093760000774637,6.91,2
202,28,0.030810800002655014,7.16,2
216,29,0.02911209999001585,6.91,2
112,35,0.03524930001003668,7.409999,2
226,54,0.04014970001298934,6.729999,3
152,14,0.024048699997365475,7.5,1
153,14,0.018682399997487664,7.5,1
202,28,0.031249699997715652,7.16,2
309,63,0.04228100000182167,7.02,2
309,63,0.02759189999778755,7.02,2
30,1,0.02822589999414049,6.5,2
202,28,0.02879370001028292,7.16,2
248,34,0.030369499989319593,6.84,2
15,4,0.05934559999150224,5.209999,4
17,2,0.0646407000022009,6.289994999999999,5
123,40,0.04042259999550879,6.839999,3
217,29,0.030991500010713935,6.91,2
153,14,0.021186099998885766,7.5,1
293,52,0.02377219998743385,7.59,1
202,28,0.03327540002646856,7.16,2
97,12,0.03523300000233576,7.439999,2
216,29,0.027165800012880936,6.91,2
152,14,0.021688900014851242,7.5,1
293,52,0.020795299991732463,7.59,1
19,1,0.2179150000156369,6.129995,5
152,14,0.022901499993167818,7.5,1
1,0,0.4439813999924809,4.709994,7
293,52,0.029365700000198558,7.59,1
36,9,0.03788499999791384,6.859997,3
82,4,0.037066300021251664,6.66,2
8,3,0.18691400001989678,5.999995999999999,5
112,35,0.031846199999563396,7.409999,2
216,29,0.029732499999227002,6.91,2
21,6,0.05738719998043962,6.469996,4
152,14,0.01940770001965575,7.5,1
4,0,0.16874530000495724,5.509994,7
216,29,0.031893599982140586,6.91,2
197,27,0.038393599999835715,6.380000000000001,3
18,3,0.17409300000872463,6.5799959999999995,4
13,4,0.054062899987911806,5.769996,4
202,28,0.0316445000062231,7.16,2
9,2,0.1913609000039287,6.149996,5
216,29,0.03155690000858158,6.91,2
113,7,0.03354390000458807,7.1,2
216,29,0.03093310000258498,6.91,2
19,6,0.057598100014729425,6.109997,4
293,52,0.0215604999975767,7.59,1
181,17,0.027154400013387203,6.77,2
113,7,0.0332946999988053,7.1,2
4,2,0.07716549999895506,6.029995,6
122,8,0.0367448000179138,6.73,2
166,32,0.03618229998392053,6.26,3
52,16,0.036277800012612715,6.979998,2
71,7,0.036015399993630126,6.5,2
216,29,0.026554300013231114,6.91,2
216,29,0.027622199995676056,6.91,2
293,52,0.022377599991159514,7.59,1
14,0,0.09088719999999739,5.199999,4
17,2,0.052257000003010035,5.739996,4
42,15,0.08549140000832267,4.579999,7
216,29,0.032599800004391,6.91,2
181,17,0.027139599988004193,6.77,2
216,29,0.02780689997598529,6.91,2
101,6,0.029954300000099465,6.64,2
30,10,0.06729549998999573,6.369996,5
33,9,0.06143299999530427,6.559996,4
4,0,0.25116699998034164,4.9299930000000005,7
152,14,0.02440799999749288,7.5,1
17,1,0.04342130001168698,6.269996,4
216,29,0.03359649999765679,6.91,2
203,28,0.03261850000126287,7.16,2
216,29,0.027798299997812137,6.91,2
15,5,0.30857909997575916,4.709999,4
293,52,0.026820800005225465,7.59,1
216,29,0.028312700014794245,6.91,2
181,17,0.030717399989953265,6.77,2
309,63,0.03040260000852868,7.02,2
216,29,0.04162460000952706,6.91,2
5,1,0.06175950000761077,5.489997,4
115,16,0.03204160000314005,6.7700000000000005,2
115,16,0.033262600016314536,6.7700000000000005,2
11,1,0.051208099990617484,6.2899959999999995,4
112,36,0.03349169998546131,6.7,2
6,1,0.1404995000048075,4.149998,5
6,1,0.09857370000099763,4.919999,4
216,29,0.03382399998372421,6.91,2
293,52,0.022789199982071295,7.59,1
144,12,0.025920200016116723,6.640000000000001,2
171,32,0.03592480000224896,6.49,3
197,42,0.041838100005406886,6.91,2
152,14,0.02105199999641627,7.5,1
216,29,0.027329400007147342,6.91,2
216,29,0.02777410001726821,6.91,2
7,0,0.06917010000324808,6.1999949999999995,5
152,14,0.02064490001066588,7.5,1
152,14,0.019907600013539195,7.5,1
216,29,0.032440499984659255,6.91,2
216,29,0.027670900017255917,6.91,2
48,14,0.0445608000154607,6.469997,3
216,29,0.026365700003225356,6.91,2
152,14,0.02203459999873303,7.5,1
22,5,0.039029400009894744,6.529997,3
186,23,0.04687680001370609,6.2,3
30,8,0.05538090001209639,6.429995,5
309,63,0.029696699988562614,7.02,2
34,9,0.06718150002416223,6.339995999999999,4
1,0,0.08404869999503717,4.269995,7
164,31,0.037691299978177994,6.36,3
102,6,0.030063000012887642,6.640000000000001,2
293,52,0.021682299993699417,7.59,1
15,4,0.05658130001393147,6.529996000000001,4
152,14,0.01990959999966435,7.5,1
145,19,0.031870100006926805,6.71,2
6,0,0.14762040000641719,5.6099939999999995,7
145,19,0.031926399999065325,6.71,2
152,14,0.02028769999742508,7.5,1
48,10,0.035834899987094104,6.879999,3
112,36,0.03819910000311211,6.7,2
217,29,0.030220899992855266,6.91,2
171,32,0.0375200999842491,6.49,3
19,6,0.06533610000042245,6.109997,4
40,12,0.045669699989957735,6.839997,3
152,14,0.018756400007987395,7.5,1
293,52,0.020692499994765967,7.59,1
293,52,0.021981800004141405,7.59,1
216,29,0.02872670002398081,6.91,2
17,4,0.049641899997368455,6.3699959999999995,4
152,14,0.020532599999569356,7.5,1
293,52,0.022529499983647838,7.59,1
26,6,0.0544668999791611,6.399996,4
52,16,0.031576799985487014,6.979998,2
112,36,0.03211250001913868,6.7,2
216,29,0.030759899993427098,6.91,2
44,12,0.044034199992893264,6.519997,3
216,29,0.02658890001475811,6.91,2
12,5,0.10524670002632774,5.909998999999999,4
216,29,0.031032800005050376,6.91,2
293,52,0.02204910002183169,7.59,1
216,29,0.028576000011526048,6.91,2
197,42,0.040497500012861565,6.91,2
202,28,0.03215199999976903,7.16,2
113,7,0.029668100003618747,7.1,2
207,41,0.030593000003136694,6.82,2
106,21,0.04747809999389574,6.03,3
71,7,0.027025299990782514,6.5,2
145,19,0.02612639998551458,6.71,2
71,7,0.0272627999947872,6.5,2
181,17,0.027338000014424324,6.77,2
45,14,0.043349700019462034,6.929997,3
152,14,0.01917059998959303,7.5,1
217,29,0.026180300017585978,6.91,2
152,14,0.019984200014732778,7.5,1
197,42,0.029905800009146333,6.91,2
152,14,0.020520699996268377,7.5,1
293,52,0.0214181000192184,7.59,1
15,3,0.06419830000959337,6.209996,4
127,9,0.04521370001020841,6.34,3
152,14,0.02251720000640489,7.5,1
131,19,0.03953249999904074,6.37,3
20,4,0.06911240000044927,6.549996,4
216,29,0.029846200020983815,6.91,2
8,1,0.05936199999996461,6.409996,4
216,29,0.027673000004142523,6.91,2
66,8,0.04468069999711588,5.96,3
152,14,0.021411299996543676,7.5,1
216,29,0.0282067000225652,6.91,2
202,28,0.043457699997816235,7.16,2
228,36,0.02991080001811497,7.13,2
326,67,0.0288202999799978,6.93,2
113,7,0.03119800001149997,7.1,2
202,28,0.04313500001444481,7.16,2
152,14,0.020411100005730987,7.5,1
202,28,0.02919069997733459,7.16,2
175,23,0.040688299981411546,6.300000000000001,3
