Explanation,Bounds
"['f12 <= 0.10', 'f50 <= 0.11', 'f47 <= 0.12']","[[0.   0.1 ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.12]
 [0.   0.11]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.1 ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.12]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.11]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]]"
"['f36 > 0.39', 'f3 <= 0.08', 'f19 > 0.71']","[[0.710001 1.      ]
 [0.       1.      ]
 [0.       0.08    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.710001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.390001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['f12 > 0.45', 'f22 > 0.78']","[[0.450001 1.      ]
 [0.780001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.450001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.780001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['f12 <= 0.29', 'f50 <= 0.11', 'f27 > 0.41']","[[0.       0.29    ]
 [0.410001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.11    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.29    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.410001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.11    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['f12 > 0.45', 'f22 > 0.78']","[[0.450001 1.      ]
 [0.780001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.450001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.780001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['f12 > 0.29', 'f22 > 0.78', 'f50 > 0.26']","[[0.290001 1.      ]
 [0.780001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.260001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.290001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.780001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.260001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['f12 > 0.45', 'f21 > 0.85', 'f14 > 0.38']","[[0.380001 1.      ]
 [0.850001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.450001 1.      ]
 [0.       1.      ]
 [0.380001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.850001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['f12 <= 0.10', 'f44 <= 0.21', 'f20 <= 0.52']","[[0.   0.1 ]
 [0.   0.52]
 [0.   1.  ]
 [0.   0.21]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.1 ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.52]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.21]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]]"
"['f12 > 0.45', 'f22 > 0.78']","[[0.450001 1.      ]
 [0.780001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.450001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.780001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['f12 <= 0.29', 'f9 <= 0.13', 'f43 <= 0.24']","[[0.   0.29]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.24]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.13]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.29]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.24]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]]"
