Explanation,Bounds
"['lumbar_lordosis_angle > 0.35', 'pelvic_radius <= 0.60']","[[0.       1.      ]
 [0.       1.      ]
 [0.350001 1.      ]
 [0.       1.      ]
 [0.       0.6     ]
 [0.       1.      ]]"
"['pelvic_incidence > 0.21', 'pelvic_radius <= 0.60']","[[0.210001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.6     ]
 [0.       1.      ]]"
['lumbar_lordosis_angle > 0.46'],"[[0.       1.      ]
 [0.       1.      ]
 [0.460001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['pelvic_radius <= 0.45', 'pelvic_incidence > 0.21']","[[0.210001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.45    ]
 [0.       1.      ]]"
"['lumbar_lordosis_angle > 0.35', 'pelvic_radius <= 0.60']","[[0.       1.      ]
 [0.       1.      ]
 [0.350001 1.      ]
 [0.       1.      ]
 [0.       0.6     ]
 [0.       1.      ]]"
"['pelvic_radius > 0.60', 'pelvic_incidence <= 0.21', 'degree_spondylolisthesis <= 0.03', 'sacral_slope <= 0.28', 'lumbar_lordosis_angle <= 0.35']","[[0.       0.21    ]
 [0.       1.      ]
 [0.       0.35    ]
 [0.       0.28    ]
 [0.600001 1.      ]
 [0.       0.03    ]]"
"['pelvic_radius <= 0.52', 'sacral_slope > 0.19', 'degree_spondylolisthesis > 0.03']","[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.190001 1.      ]
 [0.       0.52    ]
 [0.030001 1.      ]]"
"['lumbar_lordosis_angle > 0.35', 'pelvic_radius <= 0.60']","[[0.       1.      ]
 [0.       1.      ]
 [0.350001 1.      ]
 [0.       1.      ]
 [0.       0.6     ]
 [0.       1.      ]]"
"['pelvic_radius <= 0.60', 'pelvic_tilt > 0.33', 'degree_spondylolisthesis > 0.03']","[[0.       1.      ]
 [0.330001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.6     ]
 [0.030001 1.      ]]"
"['lumbar_lordosis_angle > 0.46', 'pelvic_incidence > 0.50']","[[0.500001 1.      ]
 [0.       1.      ]
 [0.460001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['pelvic_incidence > 0.21', 'pelvic_radius <= 0.60', 'sacral_slope > 0.19']","[[0.210001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.190001 1.      ]
 [0.       0.6     ]
 [0.       1.      ]]"
"['pelvic_radius > 0.52', 'pelvic_incidence <= 0.21', 'lumbar_lordosis_angle <= 0.25', 'pelvic_tilt <= 0.33', 'degree_spondylolisthesis <= 0.03', 'sacral_slope <= 0.28']","[[0.       0.21    ]
 [0.       0.33    ]
 [0.       0.25    ]
 [0.       0.28    ]
 [0.520001 1.      ]
 [0.       0.03    ]]"
"['lumbar_lordosis_angle > 0.35', 'pelvic_radius <= 0.60']","[[0.       1.      ]
 [0.       1.      ]
 [0.350001 1.      ]
 [0.       1.      ]
 [0.       0.6     ]
 [0.       1.      ]]"
['pelvic_incidence > 0.21'],"[[0.210001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['lumbar_lordosis_angle > 0.46', 'pelvic_incidence > 0.50']","[[0.500001 1.      ]
 [0.       1.      ]
 [0.460001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['pelvic_radius > 0.60', 'pelvic_incidence <= 0.21', 'sacral_slope <= 0.19', 'pelvic_tilt <= 0.33']","[[0.       0.21    ]
 [0.       0.33    ]
 [0.       1.      ]
 [0.       0.19    ]
 [0.600001 1.      ]
 [0.       1.      ]]"
"['pelvic_radius <= 0.52', 'degree_spondylolisthesis > 0.03']","[[0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.52    ]
 [0.030001 1.      ]]"
['lumbar_lordosis_angle > 0.35'],"[[0.       1.      ]
 [0.       1.      ]
 [0.350001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
"['pelvic_radius > 0.60', 'pelvic_incidence <= 0.21', 'degree_spondylolisthesis <= 0.03', 'sacral_slope <= 0.19', 'lumbar_lordosis_angle <= 0.35', 'pelvic_tilt <= 0.33']","[[0.       0.21    ]
 [0.       0.33    ]
 [0.       0.35    ]
 [0.       0.19    ]
 [0.600001 1.      ]
 [0.       0.03    ]]"
"['lumbar_lordosis_angle > 0.35', 'pelvic_radius <= 0.60']","[[0.       1.      ]
 [0.       1.      ]
 [0.350001 1.      ]
 [0.       1.      ]
 [0.       0.6     ]
 [0.       1.      ]]"
['lumbar_lordosis_angle > 0.46'],"[[0.       1.      ]
 [0.       1.      ]
 [0.460001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]]"
['pelvic_radius <= 0.45'],"[[0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.45]
 [0.   1.  ]]"
"['pelvic_tilt > 0.56', 'degree_spondylolisthesis > 0.03']","[[0.       1.      ]
 [0.560001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.030001 1.      ]]"
"['lumbar_lordosis_angle > 0.35', 'pelvic_radius <= 0.60']","[[0.       1.      ]
 [0.       1.      ]
 [0.350001 1.      ]
 [0.       1.      ]
 [0.       0.6     ]
 [0.       1.      ]]"
"['pelvic_radius > 0.60', 'pelvic_incidence <= 0.21', 'degree_spondylolisthesis <= 0.03', 'sacral_slope <= 0.19', 'lumbar_lordosis_angle <= 0.35', 'pelvic_tilt <= 0.33']","[[0.       0.21    ]
 [0.       0.33    ]
 [0.       0.35    ]
 [0.       0.19    ]
 [0.600001 1.      ]
 [0.       0.03    ]]"
