coverage,errors,time,rsum,size
73,12,0.022662199999103905,5.249999,2
135,29,0.027636300001177005,5.3899989999999995,2
46,3,0.019185600000128034,5.539999,1
61,7,0.029409900000246125,5.239999,2
73,12,0.02659759999914968,5.249999,2
14,0,0.17663189999984752,2.269999,5
85,8,0.029100899999320973,5.299998,3
73,12,0.02659510000012233,5.249999,2
108,18,0.12876020000112476,5.239998,3
22,1,0.03380010000000766,5.039998,2
120,26,0.032008199999836506,5.199998,3
11,1,0.25375179999900865,1.5799990000000002,6
73,12,0.03166920000148821,5.249999,2
165,42,0.01687809999930323,5.789999,1
22,1,0.030621700001574936,5.039998,2
11,3,0.09658659999877273,3.1299989999999998,4
97,9,0.021809899999425397,5.489998999999999,2
89,16,0.018374500001300476,5.649999,1
6,0,0.1322533000002295,1.509999,6
73,12,0.022975800000494928,5.249999,2
46,3,0.017559899999469053,5.539999,1
70,7,0.01740810000046622,5.45,1
35,2,0.018466499999703956,5.409998,2
73,12,0.04087989999970887,5.249999,2
6,0,0.15029460000005201,1.509999,6
46,3,0.018800600000759005,5.539999,1
86,14,0.03262830000130634,5.439998,2
86,14,0.02471239999977115,5.439998,2
22,8,0.26285530000131985,1.6499990000000002,6
25,1,0.0367417999987083,5.089998,2
65,15,0.11915500000031898,4.789997,3
61,7,0.03545549999944342,5.239999,2
46,3,0.01558149999982561,5.539999,1
12,3,0.18974139999954787,1.539999,6
56,7,0.026141099999222206,5.199999,2
18,7,0.14066599999932805,1.679999,6
70,7,0.02669679999962682,5.45,1
70,7,0.020081200000277022,5.45,1
46,3,0.01740539999991597,5.539999,1
96,17,0.02759689999948023,5.3099989999999995,2
48,7,0.02925599999980477,5.079999,2
73,9,0.03029419999984384,5.099997,3
37,2,0.021788300000480376,5.229998,2
6,0,0.0933299000007537,2.1599989999999996,5
73,12,0.028534700000818702,5.249999,2
70,7,0.023379899999781628,5.45,1
73,12,0.03806059999988065,5.249999,2
83,13,0.023636300000362098,5.359998,2
91,2,0.03337250000004133,5.669998,2
91,2,0.028699099999357713,5.669998,2
19,4,0.08181660000082047,2.5699989999999997,6
70,7,0.02418059999945399,5.45,1
16,4,0.11450089999925694,3.209999,4
61,7,0.027329499998813844,5.239999,2
66,10,0.028157299999293173,5.239999,2
86,14,0.025697799999761628,5.439998,2
17,4,0.20177030000013474,3.239999,4
48,7,0.03338620000067749,5.079999,2
43,3,0.02559119999932591,5.209998000000001,2
73,12,0.02947379999932309,5.249999,2
61,7,0.024266000000352506,5.239999,2
93,2,0.03870979999919655,5.709998,2
73,12,0.02925370000048133,5.249999,2
70,7,0.018479099999240134,5.45,1
91,2,0.028558800000610063,5.669998,2
96,17,0.03388769999946817,5.3099989999999995,2
119,20,0.03360480000083044,5.429997,3
46,3,0.020489000000452506,5.539999,1
89,16,0.025684700000056182,5.649999,1
44,3,0.034679899999900954,5.209998000000001,2
89,16,0.019154400000843452,5.649999,1
16,3,0.13274959999944258,1.669999,6
70,7,0.021225200000117184,5.45,1
97,9,0.12217449999843666,5.489998999999999,2
99,16,0.10667999999895983,5.329999,2
14,0,0.17984849999993457,2.269999,5
96,17,0.02621499999986554,5.3099989999999995,2
98,9,0.022239200001422432,5.489998999999999,2
11,3,0.09462829999938549,3.1299989999999998,4
61,7,0.023211900001115282,5.239999,2
71,7,0.03068589999929827,5.45,1
70,7,0.01810710000063409,5.45,1
70,7,0.01932219999980589,5.45,1
48,7,0.021646300001521013,5.079999,2
9,1,0.16661410000051546,1.4899989999999999,6
72,17,0.1492521999989549,4.989996999999999,3
61,7,0.028923400001076516,5.239999,2
119,26,0.038422799998443224,5.3499989999999995,2
92,15,0.02478249999876425,5.389998,2
6,0,0.1654049999997369,1.409999,6
35,2,0.02496189999874332,5.499999,1
73,12,0.029665899999599787,5.249999,2
61,7,0.03409619999911229,5.239999,2
61,7,0.031425299999682466,5.239999,2
119,26,0.028325299999778508,5.3499989999999995,2
92,15,0.03334830000130751,5.389998,2
11,2,0.24462149999999383,2.01,5
