Explanation,Bounds
"['proline > 0.50', 'alcohol > 0.67']","[[0.670001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.500001 1.      ]]"
"['proline > 0.50', 'alcohol > 0.67']","[[0.670001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.500001 1.      ]]"
"['proline <= 0.50', 'alcohol <= 0.41', 'od280/od315_of_diluted_wines > 0.68']","[[0.       0.41    ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.680001 1.      ]
 [0.       0.5     ]]"
"['proline <= 0.25', 'alcohol <= 0.52']","[[0.   0.52]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.25]]"
"['proline > 0.50', 'alcohol > 0.67']","[[0.670001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.500001 1.      ]]"
"['proline <= 0.16', 'alcalinity_of_ash > 0.32']","[[0.       1.      ]
 [0.       1.      ]
 [0.320001 1.      ]
 [0.320001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.16    ]]"
"['proline <= 0.50', 'hue <= 0.22']","[[0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   1.  ]
 [0.   0.22]
 [0.   1.  ]
 [0.   0.5 ]]"
"['proline <= 0.16', 'alcalinity_of_ash > 0.32']","[[0.       1.      ]
 [0.       1.      ]
 [0.320001 1.      ]
 [0.320001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.16    ]]"
"['proline <= 0.50', 'flavanoids <= 0.40']","[[0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.4]
 [0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  1. ]
 [0.  0.5]]"
"['proline <= 0.16', 'alcalinity_of_ash > 0.32']","[[0.       1.      ]
 [0.       1.      ]
 [0.320001 1.      ]
 [0.320001 1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       1.      ]
 [0.       0.16    ]]"
