coverage_anchors,coverage_twostep,coverage_relative_%
3,6,100.0
8,11,37.5
17,11,-35.294117647058826
2,14,600.0
30,10,-66.66666666666666
2,9,350.0
8,11,37.5
21,8,-61.904761904761905
25,8,-68.0
15,14,-6.666666666666667
7,4,-42.857142857142854
12,11,-8.333333333333332
4,11,175.0
31,10,-67.74193548387096
12,9,-25.0
12,4,-66.66666666666666
12,9,-25.0
15,7,-53.333333333333336
6,7,16.666666666666664
6,3,-50.0
13,6,-53.84615384615385
10,8,-20.0
20,15,-25.0
12,10,-16.666666666666664
10,21,110.00000000000001
34,9,-73.52941176470588
12,11,-8.333333333333332
20,19,-5.0
9,6,-33.33333333333333
39,6,-84.61538461538461
11,8,-27.27272727272727
26,11,-57.692307692307686
11,1,-90.9090909090909
11,15,36.36363636363637
10,9,-10.0
3,2,-33.33333333333333
31,13,-58.06451612903226
28,12,-57.14285714285714
12,8,-33.33333333333333
8,3,-62.5
12,5,-58.333333333333336
20,3,-85.0
27,11,-59.25925925925925
9,10,11.11111111111111
8,5,-37.5
34,5,-85.29411764705883
8,8,0.0
4,5,25.0
26,10,-61.53846153846154
15,5,-66.66666666666666
24,4,-83.33333333333334
10,6,-40.0
20,8,-60.0
22,8,-63.63636363636363
14,9,-35.714285714285715
44,15,-65.9090909090909
29,9,-68.96551724137932
18,7,-61.111111111111114
24,9,-62.5
12,7,-41.66666666666667
15,9,-40.0
8,4,-50.0
9,1,-88.88888888888889
29,17,-41.37931034482759
3,3,0.0
12,17,41.66666666666667
5,3,-40.0
25,8,-68.0
15,13,-13.333333333333334
10,6,-40.0
22,10,-54.54545454545454
10,7,-30.0
6,13,116.66666666666667
31,10,-67.74193548387096
7,7,0.0
8,9,12.5
15,8,-46.666666666666664
6,4,-33.33333333333333
5,17,240.0
32,14,-56.25
18,8,-55.55555555555556
1,4,300.0
1,15,1400.0
26,13,-50.0
34,11,-67.64705882352942
20,4,-80.0
11,10,-9.090909090909092
3,15,400.0
21,5,-76.19047619047619
11,10,-9.090909090909092
7,9,28.57142857142857
13,8,-38.46153846153847
26,5,-80.76923076923077
9,1,-88.88888888888889
33,12,-63.63636363636363
4,10,150.0
12,15,25.0
8,3,-62.5
3,7,133.33333333333331
35,13,-62.857142857142854
5,3,-40.0
10,6,-40.0
9,5,-44.44444444444444
30,15,-50.0
8,13,62.5
10,3,-70.0
6,9,50.0
4,8,100.0
19,5,-73.68421052631578
5,9,80.0
28,9,-67.85714285714286
10,5,-50.0
20,10,-50.0
22,5,-77.27272727272727
20,3,-85.0
33,7,-78.78787878787878
31,16,-48.38709677419355
33,9,-72.72727272727273
28,5,-82.14285714285714
5,5,0.0
7,2,-71.42857142857143
23,9,-60.86956521739131
27,9,-66.66666666666666
19,10,-47.368421052631575
22,7,-68.18181818181817
25,6,-76.0
10,11,10.0
4,9,125.0
9,3,-66.66666666666666
10,8,-20.0
21,19,-9.523809523809524
9,7,-22.22222222222222
16,6,-62.5
20,16,-20.0
9,9,0.0
31,16,-48.38709677419355
16,10,-37.5
31,8,-74.19354838709677
2,13,550.0
27,10,-62.96296296296296
31,19,-38.70967741935484
7,10,42.857142857142854
12,7,-41.66666666666667
16,9,-43.75
39,14,-64.1025641025641
15,10,-33.33333333333333
11,6,-45.45454545454545
9,10,11.11111111111111
17,19,11.76470588235294
18,9,-50.0
4,13,225.0
23,12,-47.82608695652174
12,12,0.0
15,13,-13.333333333333334
35,21,-40.0
28,12,-57.14285714285714
32,14,-56.25
23,17,-26.08695652173913
12,11,-8.333333333333332
25,8,-68.0
26,19,-26.923076923076923
10,8,-20.0
28,7,-75.0
22,9,-59.09090909090909
10,4,-60.0
10,11,10.0
24,18,-25.0
5,10,100.0
11,7,-36.36363636363637
11,8,-27.27272727272727
1,7,600.0
5,9,80.0
14,14,0.0
19,15,-21.052631578947366
10,10,0.0
16,4,-75.0
22,15,-31.818181818181817
9,10,11.11111111111111
7,10,42.857142857142854
6,5,-16.666666666666664
5,4,-20.0
30,12,-60.0
26,10,-61.53846153846154
10,10,0.0
22,9,-59.09090909090909
9,8,-11.11111111111111
11,10,-9.090909090909092
21,20,-4.761904761904762
28,18,-35.714285714285715
29,12,-58.620689655172406
37,11,-70.27027027027027
28,5,-82.14285714285714
16,2,-87.5
6,4,-33.33333333333333
9,10,11.11111111111111
4,1,-75.0
31,4,-87.09677419354838
24,9,-62.5
4,8,100.0
36,11,-69.44444444444444
12,11,-8.333333333333332
13,4,-69.23076923076923
3,7,133.33333333333331
8,7,-12.5
23,17,-26.08695652173913
27,4,-85.18518518518519
4,5,25.0
24,10,-58.333333333333336
28,14,-50.0
12,8,-33.33333333333333
34,18,-47.05882352941176
7,10,42.857142857142854
4,8,100.0
3,10,233.33333333333334
30,12,-60.0
8,9,12.5
29,16,-44.827586206896555
33,10,-69.6969696969697
8,6,-25.0
2,1,-50.0
21,4,-80.95238095238095
9,5,-44.44444444444444
21,8,-61.904761904761905
34,7,-79.41176470588235
33,19,-42.42424242424242
9,8,-11.11111111111111
32,17,-46.875
32,11,-65.625
5,16,220.00000000000003
12,12,0.0
4,8,100.0
9,8,-11.11111111111111
33,5,-84.84848484848484
10,10,0.0
3,5,66.66666666666666
28,11,-60.71428571428571
28,15,-46.42857142857143
10,11,10.0
16,11,-31.25
16,23,43.75
22,21,-4.545454545454546
28,9,-67.85714285714286
31,10,-67.74193548387096
31,16,-48.38709677419355
8,4,-50.0
11,7,-36.36363636363637
17,14,-17.647058823529413
8,6,-25.0
42,3,-92.85714285714286
7,2,-71.42857142857143
30,13,-56.666666666666664
32,10,-68.75
15,14,-6.666666666666667
33,11,-66.66666666666666
1,11,1000.0
6,12,100.0
31,9,-70.96774193548387
38,16,-57.89473684210527
9,9,0.0
4,7,75.0
15,11,-26.666666666666668
1,4,300.0
12,9,-25.0
11,12,9.090909090909092
26,15,-42.30769230769231
29,10,-65.51724137931035
35,10,-71.42857142857143
6,12,100.0
6,5,-16.666666666666664
9,10,11.11111111111111
36,8,-77.77777777777779
11,5,-54.54545454545454
7,4,-42.857142857142854
4,9,125.0
6,9,50.0
2,6,200.0
9,9,0.0
