coverage_onestep,coverage_twostep,coverage_relative_%
16,16,0.0
26,45,73.07692307692307
23,38,65.21739130434783
25,38,52.0
53,78,47.16981132075472
23,29,26.08695652173913
20,30,50.0
29,51,75.86206896551724
20,42,110.00000000000001
25,25,0.0
30,36,20.0
29,52,79.3103448275862
27,29,7.4074074074074066
58,74,27.586206896551722
50,67,34.0
10,10,0.0
31,30,-3.225806451612903
30,30,0.0
25,43,72.0
17,29,70.58823529411765
16,51,218.75
27,31,14.814814814814813
25,32,28.000000000000004
23,53,130.43478260869566
17,47,176.47058823529412
49,75,53.06122448979592
31,51,64.51612903225806
17,42,147.05882352941177
24,41,70.83333333333334
43,76,76.74418604651163
24,41,70.83333333333334
22,21,-4.545454545454546
9,10,11.11111111111111
32,53,65.625
24,47,95.83333333333334
50,68,36.0
37,35,-5.405405405405405
53,72,35.84905660377358
29,51,75.86206896551724
23,34,47.82608695652174
21,21,0.0
7,36,414.28571428571433
27,25,-7.4074074074074066
39,40,2.564102564102564
58,67,15.517241379310345
56,90,60.71428571428571
24,27,12.5
25,48,92.0
39,38,-2.564102564102564
45,66,46.666666666666664
37,34,-8.108108108108109
27,61,125.92592592592592
24,38,58.333333333333336
28,46,64.28571428571429
37,45,21.62162162162162
52,73,40.38461538461539
28,46,64.28571428571429
29,59,103.44827586206897
31,46,48.38709677419355
24,29,20.833333333333336
26,48,84.61538461538461
22,37,68.18181818181817
12,12,0.0
32,51,59.375
11,33,200.0
24,47,95.83333333333334
5,5,0.0
55,77,40.0
23,39,69.56521739130434
15,14,-6.666666666666667
19,51,168.42105263157893
33,44,33.33333333333333
14,14,0.0
53,77,45.28301886792453
24,43,79.16666666666666
25,39,56.00000000000001
26,54,107.6923076923077
6,9,50.0
18,18,0.0
58,72,24.137931034482758
26,48,84.61538461538461
10,12,20.0
24,37,54.166666666666664
28,53,89.28571428571429
47,56,19.148936170212767
14,29,107.14285714285714
32,63,96.875
18,33,83.33333333333334
27,26,-3.7037037037037033
22,58,163.63636363636365
28,30,7.142857142857142
24,24,0.0
22,46,109.09090909090908
9,14,55.55555555555556
35,55,57.14285714285714
29,49,68.96551724137932
21,46,119.04761904761905
27,56,107.40740740740742
22,36,63.63636363636363
42,84,100.0
21,49,133.33333333333331
33,59,78.78787878787878
30,30,0.0
27,49,81.48148148148148
21,42,100.0
20,20,0.0
23,42,82.6086956521739
32,45,40.625
22,44,100.0
25,46,84.0
48,59,22.916666666666664
24,24,0.0
35,48,37.142857142857146
53,84,58.490566037735846
24,44,83.33333333333334
51,67,31.372549019607842
29,63,117.24137931034481
17,19,11.76470588235294
22,22,0.0
16,17,6.25
10,10,0.0
53,86,62.264150943396224
44,100,127.27272727272727
58,76,31.03448275862069
47,69,46.808510638297875
33,69,109.09090909090908
22,44,100.0
29,53,82.75862068965517
11,14,27.27272727272727
28,49,75.0
14,17,21.428571428571427
24,23,-4.166666666666666
29,39,34.48275862068966
26,46,76.92307692307693
21,20,-4.761904761904762
21,48,128.57142857142858
28,48,71.42857142857143
25,25,0.0
24,46,91.66666666666666
24,52,116.66666666666667
30,60,100.0
19,46,142.10526315789474
17,31,82.35294117647058
21,47,123.80952380952381
16,45,181.25
38,41,7.894736842105263
25,25,0.0
23,46,100.0
27,51,88.88888888888889
34,34,0.0
38,44,15.789473684210526
20,40,100.0
26,49,88.46153846153845
32,46,43.75
21,34,61.904761904761905
22,41,86.36363636363636
56,86,53.57142857142857
21,42,100.0
25,42,68.0
53,74,39.62264150943396
33,55,66.66666666666666
29,53,82.75862068965517
30,47,56.666666666666664
41,95,131.70731707317074
35,37,5.714285714285714
28,56,100.0
17,32,88.23529411764706
49,49,0.0
28,44,57.14285714285714
25,45,80.0
28,35,25.0
33,48,45.45454545454545
48,46,-4.166666666666666
27,47,74.07407407407408
18,54,200.0
39,40,2.564102564102564
37,42,13.513513513513514
25,44,76.0
22,32,45.45454545454545
16,45,181.25
29,51,75.86206896551724
49,65,32.6530612244898
25,38,52.0
15,18,20.0
25,49,96.0
25,30,20.0
40,40,0.0
17,26,52.94117647058824
19,45,136.8421052631579
62,84,35.483870967741936
59,86,45.76271186440678
46,77,67.3913043478261
41,56,36.58536585365854
27,53,96.29629629629629
17,18,5.88235294117647
18,23,27.77777777777778
52,75,44.230769230769226
46,71,54.347826086956516
26,47,80.76923076923077
45,83,84.44444444444444
16,37,131.25
22,31,40.909090909090914
25,41,64.0
34,43,26.47058823529412
26,38,46.15384615384615
39,66,69.23076923076923
18,20,11.11111111111111
18,29,61.111111111111114
20,29,45.0
18,19,5.555555555555555
29,53,82.75862068965517
30,48,60.0
22,35,59.09090909090909
18,43,138.88888888888889
43,47,9.30232558139535
25,47,88.0
27,49,81.48148148148148
20,45,125.0
28,30,7.142857142857142
5,10,100.0
24,39,62.5
37,38,2.7027027027027026
28,34,21.428571428571427
58,91,56.896551724137936
27,55,103.7037037037037
27,44,62.96296296296296
13,13,0.0
24,24,0.0
24,39,62.5
24,46,91.66666666666666
27,38,40.74074074074074
29,34,17.24137931034483
56,82,46.42857142857143
25,51,104.0
24,26,8.333333333333332
22,22,0.0
24,38,58.333333333333336
23,33,43.47826086956522
22,25,13.636363636363635
26,49,88.46153846153845
25,38,52.0
54,79,46.2962962962963
25,25,0.0
24,39,62.5
17,33,94.11764705882352
17,48,182.35294117647058
24,46,91.66666666666666
25,45,80.0
39,38,-2.564102564102564
37,37,0.0
35,37,5.714285714285714
51,73,43.13725490196079
25,41,64.0
18,31,72.22222222222221
32,33,3.125
23,33,43.47826086956522
31,50,61.29032258064516
27,57,111.11111111111111
34,49,44.11764705882353
29,56,93.10344827586206
28,50,78.57142857142857
27,29,7.4074074074074066
32,28,-12.5
24,49,104.16666666666667
23,48,108.69565217391303
53,55,3.7735849056603774
38,37,-2.631578947368421
26,41,57.692307692307686
24,41,70.83333333333334
29,34,17.24137931034483
22,39,77.27272727272727
30,52,73.33333333333333
21,23,9.523809523809524
22,61,177.27272727272728
25,38,52.0
25,28,12.0
28,59,110.71428571428572
44,63,43.18181818181818
20,22,10.0
48,75,56.25
40,46,15.0
27,46,70.37037037037037
26,45,73.07692307692307
1,34,3300.0
26,46,76.92307692307693
40,41,2.5
22,41,86.36363636363636
27,41,51.85185185185185
34,32,-5.88235294117647
24,45,87.5
24,37,54.166666666666664
26,44,69.23076923076923
33,52,57.57575757575758
13,22,69.23076923076923
57,69,21.052631578947366
23,54,134.7826086956522
17,17,0.0
29,39,34.48275862068966
27,53,96.29629629629629
34,67,97.05882352941177
33,46,39.39393939393939
24,22,-8.333333333333332
27,35,29.629629629629626
33,33,0.0
18,42,133.33333333333331
28,28,0.0
30,53,76.66666666666667
36,38,5.555555555555555
28,58,107.14285714285714
25,43,72.0
40,39,-2.5
29,51,75.86206896551724
49,59,20.408163265306122
14,14,0.0
50,72,44.0
21,45,114.28571428571428
19,36,89.47368421052632
22,39,77.27272727272727
39,42,7.6923076923076925
6,4,-33.33333333333333
33,40,21.21212121212121
8,22,175.0
12,14,16.666666666666664
24,33,37.5
26,39,50.0
26,44,69.23076923076923
25,48,92.0
29,48,65.51724137931035
36,43,19.444444444444446
27,32,18.51851851851852
54,82,51.85185185185185
35,60,71.42857142857143
31,62,100.0
22,22,0.0
44,53,20.454545454545457
29,43,48.275862068965516
53,65,22.641509433962266
39,38,-2.564102564102564
28,42,50.0
12,10,-16.666666666666664
23,37,60.86956521739131
54,59,9.25925925925926
28,45,60.71428571428571
8,8,0.0
40,38,-5.0
3,4,33.33333333333333
23,44,91.30434782608695
27,61,125.92592592592592
27,54,100.0
13,35,169.23076923076923
30,29,-3.3333333333333335
26,40,53.84615384615385
49,82,67.3469387755102
41,45,9.75609756097561
24,42,75.0
24,45,87.5
26,54,107.6923076923077
20,41,105.0
23,34,47.82608695652174
22,51,131.8181818181818
29,41,41.37931034482759
41,65,58.536585365853654
61,76,24.59016393442623
29,31,6.896551724137931
29,43,48.275862068965516
32,48,50.0
19,32,68.42105263157895
19,36,89.47368421052632
49,89,81.63265306122449
53,74,39.62264150943396
27,46,70.37037037037037
59,76,28.8135593220339
48,68,41.66666666666667
57,62,8.771929824561402
20,25,25.0
49,78,59.183673469387756
28,28,0.0
54,74,37.03703703703704
22,49,122.72727272727273
26,50,92.3076923076923
47,63,34.04255319148936
54,84,55.55555555555556
26,49,88.46153846153845
18,18,0.0
35,48,37.142857142857146
20,49,145.0
23,30,30.434782608695656
25,43,72.0
29,24,-17.24137931034483
28,29,3.571428571428571
12,21,75.0
47,53,12.76595744680851
27,50,85.18518518518519
26,49,88.46153846153845
28,44,57.14285714285714
54,79,46.2962962962963
21,35,66.66666666666666
47,43,-8.51063829787234
24,37,54.166666666666664
18,48,166.66666666666669
23,35,52.17391304347826
28,43,53.57142857142857
24,45,87.5
40,60,50.0
27,28,3.7037037037037033
29,36,24.137931034482758
39,63,61.53846153846154
15,24,60.0
35,37,5.714285714285714
28,39,39.285714285714285
46,52,13.043478260869565
26,48,84.61538461538461
49,78,59.183673469387756
33,50,51.515151515151516
14,16,14.285714285714285
27,41,51.85185185185185
17,17,0.0
28,49,75.0
28,40,42.857142857142854
55,81,47.27272727272727
25,33,32.0
28,44,57.14285714285714
53,80,50.943396226415096
24,52,116.66666666666667
22,52,136.36363636363635
24,25,4.166666666666666
27,28,3.7037037037037033
23,34,47.82608695652174
29,32,10.344827586206897
26,25,-3.8461538461538463
29,28,-3.4482758620689653
22,62,181.8181818181818
32,45,40.625
29,43,48.275862068965516
17,18,5.88235294117647
13,13,0.0
27,40,48.148148148148145
36,35,-2.7777777777777777
22,36,63.63636363636363
58,67,15.517241379310345
17,46,170.58823529411765
39,39,0.0
34,50,47.05882352941176
30,52,73.33333333333333
49,93,89.79591836734694
48,65,35.41666666666667
53,73,37.735849056603776
29,58,100.0
14,24,71.42857142857143
44,42,-4.545454545454546
35,51,45.714285714285715
22,24,9.090909090909092
23,25,8.695652173913043
23,43,86.95652173913044
21,49,133.33333333333331
23,37,60.86956521739131
26,43,65.38461538461539
30,32,6.666666666666667
30,48,60.0
22,33,50.0
42,45,7.142857142857142
53,82,54.71698113207547
54,56,3.7037037037037033
23,31,34.78260869565217
22,47,113.63636363636364
26,23,-11.538461538461538
19,31,63.1578947368421
14,24,71.42857142857143
35,36,2.857142857142857
51,82,60.78431372549019
32,45,40.625
27,50,85.18518518518519
28,53,89.28571428571429
26,29,11.538461538461538
23,34,47.82608695652174
29,29,0.0
22,21,-4.545454545454546
17,16,-5.88235294117647
30,53,76.66666666666667
48,55,14.583333333333334
25,50,100.0
41,79,92.6829268292683
25,49,96.0
46,76,65.21739130434783
23,59,156.52173913043478
48,62,29.166666666666668
21,47,123.80952380952381
12,13,8.333333333333332
50,68,36.0
25,28,12.0
33,52,57.57575757575758
27,48,77.77777777777779
11,11,0.0
27,48,77.77777777777779
10,10,0.0
31,40,29.03225806451613
25,45,80.0
28,35,25.0
27,57,111.11111111111111
28,34,21.428571428571427
42,47,11.904761904761903
28,42,50.0
27,41,51.85185185185185
31,31,0.0
52,54,3.8461538461538463
22,46,109.09090909090908
22,41,86.36363636363636
28,51,82.14285714285714
32,56,75.0
33,27,-18.181818181818183
22,41,86.36363636363636
39,37,-5.128205128205128
51,60,17.647058823529413
22,26,18.181818181818183
56,65,16.071428571428573
21,41,95.23809523809523
32,38,18.75
34,57,67.64705882352942
29,31,6.896551724137931
23,44,91.30434782608695
19,43,126.3157894736842
29,30,3.4482758620689653
35,59,68.57142857142857
27,44,62.96296296296296
32,49,53.125
26,56,115.38461538461537
47,75,59.57446808510638
34,44,29.411764705882355
26,33,26.923076923076923
4,22,450.0
26,34,30.76923076923077
23,23,0.0
19,49,157.89473684210526
23,31,34.78260869565217
19,41,115.78947368421053
24,46,91.66666666666666
56,69,23.214285714285715
29,32,10.344827586206897
27,40,48.148148148148145
59,75,27.11864406779661
40,43,7.5
27,27,0.0
27,42,55.55555555555556
12,12,0.0
23,41,78.26086956521739
32,47,46.875
22,42,90.9090909090909
17,18,5.88235294117647
16,38,137.5
17,18,5.88235294117647
23,52,126.08695652173914
37,46,24.324324324324326
21,44,109.52380952380953
8,9,12.5
23,27,17.391304347826086
23,46,100.0
46,91,97.82608695652173
41,41,0.0
26,55,111.53846153846155
52,83,59.61538461538461
23,39,69.56521739130434
32,49,53.125
38,44,15.789473684210526
29,63,117.24137931034481
27,54,100.0
29,48,65.51724137931035
28,29,3.571428571428571
19,23,21.052631578947366
22,48,118.18181818181819
20,46,130.0
56,84,50.0
54,72,33.33333333333333
22,61,177.27272727272728
30,52,73.33333333333333
26,28,7.6923076923076925
24,42,75.0
23,36,56.52173913043478
29,56,93.10344827586206
23,26,13.043478260869565
20,43,114.99999999999999
21,53,152.38095238095238
16,21,31.25
22,41,86.36363636363636
15,17,13.333333333333334
36,51,41.66666666666667
25,42,68.0
29,47,62.06896551724138
49,49,0.0
31,32,3.225806451612903
51,67,31.372549019607842
9,9,0.0
51,82,60.78431372549019
44,69,56.81818181818182
16,17,6.25
39,40,2.564102564102564
55,67,21.818181818181817
28,32,14.285714285714285
53,64,20.754716981132077
53,67,26.41509433962264
9,11,22.22222222222222
27,30,11.11111111111111
26,26,0.0
25,31,24.0
25,37,48.0
15,23,53.333333333333336
30,37,23.333333333333332
29,44,51.724137931034484
19,26,36.84210526315789
19,24,26.31578947368421
46,73,58.69565217391305
24,48,100.0
27,30,11.11111111111111
30,30,0.0
19,19,0.0
24,42,75.0
20,25,25.0
28,28,0.0
21,41,95.23809523809523
43,45,4.651162790697675
23,31,34.78260869565217
28,53,89.28571428571429
20,21,5.0
52,71,36.53846153846153
49,55,12.244897959183673
20,44,120.0
30,51,70.0
28,48,71.42857142857143
12,12,0.0
21,43,104.76190476190477
27,45,66.66666666666666
29,46,58.620689655172406
