coverage_anchors,coverage_twostep,coverage_relative_%
51,38,-25.49019607843137
55,34,-38.18181818181819
12,36,200.0
89,37,-58.42696629213483
42,34,-19.047619047619047
59,38,-35.59322033898305
74,30,-59.45945945945946
24,31,29.166666666666668
45,43,-4.444444444444445
52,5,-90.38461538461539
58,38,-34.48275862068966
44,36,-18.181818181818183
57,25,-56.14035087719298
26,31,19.230769230769234
12,32,166.66666666666669
49,25,-48.97959183673469
46,31,-32.608695652173914
48,28,-41.66666666666667
51,38,-25.49019607843137
53,35,-33.9622641509434
52,32,-38.46153846153847
48,35,-27.083333333333332
58,33,-43.103448275862064
5,1,-80.0
46,33,-28.26086956521739
14,27,92.85714285714286
51,31,-39.21568627450981
52,6,-88.46153846153845
53,36,-32.075471698113205
54,35,-35.18518518518518
41,40,-2.4390243902439024
50,41,-18.0
54,27,-50.0
89,34,-61.79775280898876
54,28,-48.148148148148145
47,32,-31.914893617021278
74,27,-63.51351351351351
50,30,-40.0
59,32,-45.76271186440678
51,36,-29.411764705882355
51,24,-52.94117647058824
63,29,-53.96825396825397
33,36,9.090909090909092
53,32,-39.62264150943396
36,39,8.333333333333332
71,29,-59.154929577464785
47,37,-21.27659574468085
59,32,-45.76271186440678
55,32,-41.81818181818181
27,27,0.0
49,36,-26.53061224489796
32,30,-6.25
50,35,-30.0
48,35,-27.083333333333332
53,30,-43.39622641509434
53,28,-47.16981132075472
52,25,-51.92307692307693
88,34,-61.36363636363637
48,27,-43.75
46,34,-26.08695652173913
53,28,-47.16981132075472
50,30,-40.0
56,30,-46.42857142857143
71,35,-50.70422535211267
12,21,75.0
54,42,-22.22222222222222
63,34,-46.03174603174603
73,33,-54.794520547945204
55,24,-56.36363636363636
17,36,111.76470588235294
43,24,-44.18604651162791
36,37,2.7777777777777777
88,31,-64.77272727272727
32,33,3.125
71,33,-53.52112676056338
48,36,-25.0
21,39,85.71428571428571
51,28,-45.09803921568628
49,35,-28.57142857142857
50,37,-26.0
46,24,-47.82608695652174
70,24,-65.71428571428571
70,35,-50.0
59,32,-45.76271186440678
48,36,-25.0
74,26,-64.86486486486487
47,32,-31.914893617021278
52,35,-32.69230769230769
48,30,-37.5
46,34,-26.08695652173913
27,29,7.4074074074074066
55,27,-50.90909090909091
89,33,-62.92134831460674
43,36,-16.27906976744186
51,28,-45.09803921568628
51,30,-41.17647058823529
11,24,118.18181818181819
12,28,133.33333333333331
52,37,-28.846153846153843
55,29,-47.27272727272727
51,31,-39.21568627450981
49,35,-28.57142857142857
24,35,45.83333333333333
82,27,-67.07317073170732
45,38,-15.555555555555555
58,33,-43.103448275862064
52,30,-42.30769230769231
16,30,87.5
87,33,-62.06896551724138
45,24,-46.666666666666664
55,32,-41.81818181818181
52,40,-23.076923076923077
44,32,-27.27272727272727
56,29,-48.214285714285715
51,37,-27.450980392156865
49,29,-40.816326530612244
43,25,-41.86046511627907
39,32,-17.94871794871795
75,40,-46.666666666666664
34,25,-26.47058823529412
87,38,-56.32183908045977
46,31,-32.608695652173914
56,36,-35.714285714285715
53,23,-56.60377358490566
54,36,-33.33333333333333
59,32,-45.76271186440678
69,28,-59.42028985507246
