coverage_onestep,coverage_twostep,coverage_relative_%
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
6,67,1016.6666666666666
79,79,0.0
101,101,0.0
54,54,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
53,101,90.56603773584906
101,101,0.0
101,101,0.0
19,19,0.0
101,101,0.0
101,101,0.0
101,101,0.0
7,28,300.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
61,82,34.42622950819672
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
48,48,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
49,101,106.12244897959184
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
46,76,65.21739130434783
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
96,96,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
95,95,0.0
101,101,0.0
88,88,0.0
101,101,0.0
75,75,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
59,92,55.932203389830505
101,101,0.0
101,101,0.0
101,101,0.0
58,58,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
96,96,0.0
97,97,0.0
101,101,0.0
9,101,1022.2222222222222
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
64,64,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
61,61,0.0
101,101,0.0
101,101,0.0
101,101,0.0
61,101,65.57377049180327
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
33,37,12.121212121212121
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
57,57,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
72,72,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
51,101,98.0392156862745
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
93,93,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
1,36,3500.0
101,101,0.0
101,101,0.0
53,53,0.0
78,78,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
53,53,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
79,79,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
5,10,100.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
52,52,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
90,90,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
75,75,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
76,76,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
79,79,0.0
65,93,43.07692307692308
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
78,78,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
54,101,87.03703703703704
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
85,85,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
101,101,0.0
