coverage_anchors,coverage_twostep,coverage_relative_%
4,1,-75.0
46,1,-97.82608695652173
52,1,-98.07692307692307
8,1,-87.5
6,1,-83.33333333333334
5,1,-80.0
34,1,-97.05882352941177
3,1,-66.66666666666666
7,1,-85.71428571428571
42,1,-97.61904761904762
14,1,-92.85714285714286
18,1,-94.44444444444444
1,1,0.0
2,1,-50.0
7,1,-85.71428571428571
2,1,-50.0
12,1,-91.66666666666666
6,1,-83.33333333333334
9,1,-88.88888888888889
26,1,-96.15384615384616
4,1,-75.0
3,1,-66.66666666666666
2,1,-50.0
37,1,-97.2972972972973
9,1,-88.88888888888889
43,1,-97.67441860465115
3,1,-66.66666666666666
27,1,-96.29629629629629
37,1,-97.2972972972973
3,1,-66.66666666666666
8,1,-87.5
27,1,-96.29629629629629
34,1,-97.05882352941177
4,1,-75.0
4,1,-75.0
29,1,-96.55172413793103
28,1,-96.42857142857143
46,1,-97.82608695652173
5,1,-80.0
41,1,-97.5609756097561
5,1,-80.0
7,1,-85.71428571428571
8,1,-87.5
3,1,-66.66666666666666
33,1,-96.96969696969697
40,1,-97.5
23,1,-95.65217391304348
7,1,-85.71428571428571
5,1,-80.0
3,1,-66.66666666666666
30,1,-96.66666666666667
16,1,-93.75
6,1,-83.33333333333334
16,1,-93.75
13,1,-92.3076923076923
3,1,-66.66666666666666
39,1,-97.43589743589743
32,1,-96.875
4,1,-75.0
37,1,-97.2972972972973
9,1,-88.88888888888889
39,1,-97.43589743589743
24,1,-95.83333333333334
6,1,-83.33333333333334
55,1,-98.18181818181819
51,1,-98.0392156862745
6,1,-83.33333333333334
5,1,-80.0
42,1,-97.61904761904762
2,1,-50.0
3,1,-66.66666666666666
32,1,-96.875
2,1,-50.0
43,1,-97.67441860465115
58,1,-98.27586206896551
17,1,-94.11764705882352
7,1,-85.71428571428571
44,1,-97.72727272727273
4,1,-75.0
30,1,-96.66666666666667
4,1,-75.0
7,1,-85.71428571428571
7,1,-85.71428571428571
8,1,-87.5
4,1,-75.0
30,1,-96.66666666666667
5,1,-80.0
4,1,-75.0
20,1,-95.0
10,1,-90.0
26,1,-96.15384615384616
3,1,-66.66666666666666
15,1,-93.33333333333333
12,1,-91.66666666666666
13,1,-92.3076923076923
2,1,-50.0
3,1,-66.66666666666666
9,1,-88.88888888888889
28,1,-96.42857142857143
5,1,-80.0
49,1,-97.95918367346938
3,1,-66.66666666666666
8,1,-87.5
2,1,-50.0
13,1,-92.3076923076923
35,1,-97.14285714285714
32,1,-96.875
31,1,-96.7741935483871
8,1,-87.5
5,1,-80.0
6,1,-83.33333333333334
5,1,-80.0
41,1,-97.5609756097561
5,1,-80.0
6,1,-83.33333333333334
22,1,-95.45454545454545
6,1,-83.33333333333334
7,1,-85.71428571428571
1,1,0.0
30,1,-96.66666666666667
2,1,-50.0
37,1,-97.2972972972973
2,1,-50.0
41,1,-97.5609756097561
36,1,-97.22222222222221
3,1,-66.66666666666666
2,1,-50.0
2,1,-50.0
11,1,-90.9090909090909
4,1,-75.0
54,1,-98.14814814814815
5,1,-80.0
5,1,-80.0
2,1,-50.0
1,1,0.0
5,1,-80.0
29,1,-96.55172413793103
1,1,0.0
52,1,-98.07692307692307
27,1,-96.29629629629629
36,1,-97.22222222222221
57,1,-98.24561403508771
2,1,-50.0
22,1,-95.45454545454545
37,1,-97.2972972972973
3,1,-66.66666666666666
4,1,-75.0
5,1,-80.0
35,1,-97.14285714285714
3,1,-66.66666666666666
3,1,-66.66666666666666
3,1,-66.66666666666666
8,1,-87.5
6,1,-83.33333333333334
35,1,-97.14285714285714
11,1,-90.9090909090909
2,1,-50.0
7,1,-85.71428571428571
42,1,-97.61904761904762
