coverage_anchors,coverage_twostep,coverage_relative_%
59,1,-98.30508474576271
30,1,-96.66666666666667
39,1,-97.43589743589743
24,1,-95.83333333333334
22,1,-95.45454545454545
29,1,-96.55172413793103
72,1,-98.61111111111111
24,1,-95.83333333333334
24,1,-95.83333333333334
62,1,-98.38709677419355
55,1,-98.18181818181819
62,1,-98.38709677419355
10,1,-90.0
1,1,0.0
31,1,-96.7741935483871
53,1,-98.11320754716981
17,1,-94.11764705882352
16,1,-93.75
49,1,-97.95918367346938
41,1,-97.5609756097561
50,1,-98.0
49,1,-97.95918367346938
23,1,-95.65217391304348
28,1,-96.42857142857143
50,1,-98.0
24,1,-95.83333333333334
24,1,-95.83333333333334
20,1,-95.0
25,1,-96.0
50,1,-98.0
1,1,0.0
25,1,-96.0
30,1,-96.66666666666667
38,1,-97.36842105263158
17,1,-94.11764705882352
13,1,-92.3076923076923
18,1,-94.44444444444444
41,1,-97.5609756097561
22,1,-95.45454545454545
45,1,-97.77777777777777
50,1,-98.0
61,1,-98.36065573770492
42,1,-97.61904761904762
41,1,-97.5609756097561
23,1,-95.65217391304348
29,1,-96.55172413793103
38,1,-97.36842105263158
24,1,-95.83333333333334
53,1,-98.11320754716981
22,1,-95.45454545454545
23,1,-95.65217391304348
50,1,-98.0
20,1,-95.0
29,1,-96.55172413793103
24,1,-95.83333333333334
61,1,-98.36065573770492
62,1,-98.38709677419355
50,1,-98.0
25,1,-96.0
38,1,-97.36842105263158
22,1,-95.45454545454545
22,1,-95.45454545454545
13,1,-92.3076923076923
26,1,-96.15384615384616
56,1,-98.21428571428571
42,1,-97.61904761904762
17,1,-94.11764705882352
18,1,-94.44444444444444
28,1,-96.42857142857143
25,1,-96.0
17,1,-94.11764705882352
38,1,-97.36842105263158
32,1,-96.875
24,1,-95.83333333333334
1,1,0.0
63,1,-98.4126984126984
68,1,-98.52941176470588
40,1,-97.5
29,1,-96.55172413793103
30,1,-96.66666666666667
19,1,-94.73684210526315
79,1,-98.73417721518987
44,2,-95.45454545454545
74,1,-98.64864864864865
41,1,-97.5609756097561
45,1,-97.77777777777777
21,1,-95.23809523809523
19,1,-94.73684210526315
70,1,-98.57142857142858
50,1,-98.0
26,1,-96.15384615384616
24,1,-95.83333333333334
11,1,-90.9090909090909
45,1,-97.77777777777777
13,1,-92.3076923076923
60,1,-98.33333333333333
31,1,-96.7741935483871
22,1,-95.45454545454545
56,1,-98.21428571428571
70,1,-98.57142857142858
41,1,-97.5609756097561
15,1,-93.33333333333333
51,1,-98.0392156862745
52,1,-98.07692307692307
48,1,-97.91666666666666
27,1,-96.29629629629629
24,1,-95.83333333333334
30,1,-96.66666666666667
35,1,-97.14285714285714
12,1,-91.66666666666666
31,1,-96.7741935483871
24,1,-95.83333333333334
41,1,-97.5609756097561
22,1,-95.45454545454545
51,1,-98.0392156862745
51,1,-98.0392156862745
18,1,-94.44444444444444
28,1,-96.42857142857143
24,1,-95.83333333333334
50,1,-98.0
49,1,-97.95918367346938
62,1,-98.38709677419355
55,1,-98.18181818181819
19,1,-94.73684210526315
16,1,-93.75
57,1,-98.24561403508771
26,1,-96.15384615384616
25,1,-96.0
53,1,-98.11320754716981
41,1,-97.5609756097561
9,1,-88.88888888888889
57,1,-98.24561403508771
39,1,-97.43589743589743
14,1,-92.85714285714286
43,1,-97.67441860465115
1,1,0.0
18,1,-94.44444444444444
26,1,-96.15384615384616
55,1,-98.18181818181819
20,1,-95.0
28,1,-96.42857142857143
36,1,-97.22222222222221
31,1,-96.7741935483871
1,1,0.0
40,1,-97.5
71,1,-98.59154929577466
21,1,-95.23809523809523
26,1,-96.15384615384616
28,1,-96.42857142857143
14,1,-92.85714285714286
44,1,-97.72727272727273
60,1,-98.33333333333333
47,1,-97.87234042553192
60,1,-98.33333333333333
24,1,-95.83333333333334
70,1,-98.57142857142858
72,1,-98.61111111111111
55,1,-98.18181818181819
32,1,-96.875
25,1,-96.0
59,1,-98.30508474576271
38,1,-97.36842105263158
18,1,-94.44444444444444
36,1,-97.22222222222221
17,1,-94.11764705882352
31,1,-96.7741935483871
75,1,-98.66666666666667
50,1,-98.0
18,1,-94.44444444444444
39,1,-97.43589743589743
21,1,-95.23809523809523
33,1,-96.96969696969697
27,1,-96.29629629629629
24,1,-95.83333333333334
39,1,-97.43589743589743
29,1,-96.55172413793103
36,1,-97.22222222222221
23,1,-95.65217391304348
35,1,-97.14285714285714
23,1,-95.65217391304348
28,1,-96.42857142857143
23,1,-95.65217391304348
28,1,-96.42857142857143
8,1,-87.5
27,1,-96.29629629629629
52,1,-98.07692307692307
35,1,-97.14285714285714
25,1,-96.0
13,1,-92.3076923076923
44,1,-97.72727272727273
30,1,-96.66666666666667
41,1,-97.5609756097561
56,1,-98.21428571428571
26,1,-96.15384615384616
21,1,-95.23809523809523
20,1,-95.0
57,1,-98.24561403508771
48,1,-97.91666666666666
48,1,-97.91666666666666
63,1,-98.4126984126984
15,1,-93.33333333333333
20,1,-95.0
21,1,-95.23809523809523
1,1,0.0
19,1,-94.73684210526315
44,1,-97.72727272727273
51,1,-98.0392156862745
19,1,-94.73684210526315
1,1,0.0
