coverage_anchors,coverage_twostep,coverage_relative_%
60,1,-98.33333333333333
22,2,-90.9090909090909
24,1,-95.83333333333334
19,1,-94.73684210526315
17,1,-94.11764705882352
7,1,-85.71428571428571
23,1,-95.65217391304348
59,1,-98.30508474576271
38,1,-97.36842105263158
38,1,-97.36842105263158
2,1,-50.0
52,1,-98.07692307692307
1,1,0.0
27,1,-96.29629629629629
2,1,-50.0
40,1,-97.5
5,1,-80.0
19,1,-94.73684210526315
79,1,-98.73417721518987
11,1,-90.9090909090909
2,1,-50.0
39,1,-97.43589743589743
15,1,-93.33333333333333
11,1,-90.9090909090909
11,1,-90.9090909090909
14,2,-85.71428571428571
1,1,0.0
88,1,-98.86363636363636
40,1,-97.5
35,1,-97.14285714285714
9,2,-77.77777777777779
30,1,-96.66666666666667
5,1,-80.0
13,1,-92.3076923076923
30,1,-96.66666666666667
42,1,-97.61904761904762
13,1,-92.3076923076923
1,1,0.0
70,1,-98.57142857142858
36,1,-97.22222222222221
22,1,-95.45454545454545
11,1,-90.9090909090909
19,4,-78.94736842105263
36,1,-97.22222222222221
19,1,-94.73684210526315
1,1,0.0
75,1,-98.66666666666667
84,1,-98.80952380952381
14,2,-85.71428571428571
44,1,-97.72727272727273
83,1,-98.79518072289156
12,1,-91.66666666666666
20,1,-95.0
26,1,-96.15384615384616
30,2,-93.33333333333333
24,1,-95.83333333333334
23,1,-95.65217391304348
9,1,-88.88888888888889
40,1,-97.5
24,1,-95.83333333333334
11,1,-90.9090909090909
86,1,-98.83720930232558
17,1,-94.11764705882352
12,2,-83.33333333333334
11,1,-90.9090909090909
3,2,-33.33333333333333
1,1,0.0
24,1,-95.83333333333334
18,1,-94.44444444444444
27,1,-96.29629629629629
1,1,0.0
1,1,0.0
25,1,-96.0
1,1,0.0
33,1,-96.96969696969697
32,1,-96.875
82,1,-98.78048780487805
5,1,-80.0
11,1,-90.9090909090909
7,1,-85.71428571428571
21,1,-95.23809523809523
16,1,-93.75
11,1,-90.9090909090909
4,1,-75.0
32,1,-96.875
4,1,-75.0
38,1,-97.36842105263158
10,1,-90.0
14,1,-92.85714285714286
35,1,-97.14285714285714
5,1,-80.0
8,1,-87.5
41,1,-97.5609756097561
18,1,-94.44444444444444
14,1,-92.85714285714286
18,1,-94.44444444444444
10,1,-90.0
80,3,-96.25
23,1,-95.65217391304348
22,1,-95.45454545454545
7,1,-85.71428571428571
16,2,-87.5
22,1,-95.45454545454545
22,1,-95.45454545454545
18,1,-94.44444444444444
7,1,-85.71428571428571
38,1,-97.36842105263158
1,1,0.0
15,1,-93.33333333333333
77,1,-98.7012987012987
6,1,-83.33333333333334
12,1,-91.66666666666666
27,1,-96.29629629629629
13,1,-92.3076923076923
20,1,-95.0
16,2,-87.5
21,1,-95.23809523809523
28,1,-96.42857142857143
10,1,-90.0
14,1,-92.85714285714286
6,1,-83.33333333333334
79,1,-98.73417721518987
74,1,-98.64864864864865
84,1,-98.80952380952381
26,1,-96.15384615384616
42,1,-97.61904761904762
20,2,-90.0
79,1,-98.73417721518987
28,1,-96.42857142857143
81,1,-98.76543209876543
31,1,-96.7741935483871
45,1,-97.77777777777777
22,1,-95.45454545454545
13,2,-84.61538461538461
35,1,-97.14285714285714
1,1,0.0
25,1,-96.0
1,1,0.0
8,1,-87.5
21,1,-95.23809523809523
25,1,-96.0
37,1,-97.2972972972973
1,1,0.0
12,1,-91.66666666666666
1,1,0.0
15,1,-93.33333333333333
20,1,-95.0
23,2,-91.30434782608695
24,1,-95.83333333333334
30,1,-96.66666666666667
1,1,0.0
49,1,-97.95918367346938
21,1,-95.23809523809523
22,1,-95.45454545454545
25,2,-92.0
15,1,-93.33333333333333
34,1,-97.05882352941177
8,1,-87.5
23,1,-95.65217391304348
26,1,-96.15384615384616
18,2,-88.88888888888889
