coverage_onestep,coverage_twostep,coverage_relative_%
5,4,-20.0
5,15,200.0
2,29,1350.0
3,13,333.33333333333337
3,3,0.0
1,1,0.0
3,9,200.0
1,1,0.0
1,5,400.0
1,3,200.0
1,5,400.0
1,12,1100.0
1,3,200.0
1,2,100.0
1,1,0.0
1,3,200.0
1,2,100.0
5,6,20.0
1,2,100.0
1,10,900.0
1,1,0.0
3,11,266.66666666666663
4,40,900.0
13,13,0.0
1,63,6200.0
3,58,1833.3333333333333
1,1,0.0
1,4,300.0
1,3,200.0
3,5,66.66666666666666
5,6,20.0
1,2,100.0
1,4,300.0
1,12,1100.0
1,1,0.0
1,2,100.0
4,83,1975.0
1,1,0.0
1,1,0.0
1,1,0.0
1,7,600.0
3,7,133.33333333333331
13,20,53.84615384615385
1,1,0.0
7,46,557.1428571428571
1,3,200.0
3,13,333.33333333333337
1,1,0.0
1,13,1200.0
1,1,0.0
1,1,0.0
5,7,40.0
1,1,0.0
4,35,775.0
2,6,200.0
4,7,75.0
3,20,566.6666666666667
1,3,200.0
1,29,2800.0
1,1,0.0
1,2,100.0
1,1,0.0
1,1,0.0
1,5,400.0
1,11,1000.0
3,22,633.3333333333333
1,5,400.0
2,31,1450.0
3,4,33.33333333333333
6,14,133.33333333333331
1,1,0.0
1,2,100.0
1,2,100.0
2,3,50.0
1,10,900.0
2,9,350.0
2,4,100.0
1,1,0.0
1,1,0.0
1,3,200.0
1,1,0.0
7,22,214.28571428571428
13,22,69.23076923076923
6,54,800.0
1,7,600.0
1,1,0.0
1,4,300.0
1,2,100.0
1,1,0.0
5,6,20.0
1,12,1100.0
1,23,2200.0
1,1,0.0
1,48,4700.0
1,3,200.0
4,10,150.0
3,9,200.0
11,15,36.36363636363637
3,7,133.33333333333331
4,11,175.0
1,1,0.0
4,55,1275.0
1,47,4600.0
7,19,171.42857142857142
4,7,75.0
1,1,0.0
1,1,0.0
1,1,0.0
4,6,50.0
2,3,50.0
1,3,200.0
1,2,100.0
2,7,250.0
1,9,800.0
1,3,200.0
2,18,800.0
4,57,1325.0
1,7,600.0
2,5,150.0
1,2,100.0
1,2,100.0
1,1,0.0
2,2,0.0
1,20,1900.0
3,3,0.0
1,3,200.0
4,21,425.0
2,5,150.0
1,1,0.0
1,2,100.0
1,2,100.0
1,10,900.0
2,3,50.0
4,30,650.0
2,2,0.0
1,4,300.0
1,5,400.0
1,5,400.0
6,12,100.0
5,27,440.00000000000006
2,23,1050.0
1,6,500.0
1,6,500.0
9,9,0.0
1,7,600.0
5,14,180.0
3,10,233.33333333333334
2,5,150.0
3,34,1033.3333333333335
1,1,0.0
1,2,100.0
3,4,33.33333333333333
4,10,150.0
1,2,100.0
8,12,50.0
3,25,733.3333333333333
1,1,0.0
1,1,0.0
5,5,0.0
1,5,400.0
1,66,6500.0
