coverage_anchors,coverage_twostep,coverage_relative_%
1,1,0.0
3,1,-66.66666666666666
6,1,-83.33333333333334
6,1,-83.33333333333334
14,1,-92.85714285714286
3,1,-66.66666666666666
2,1,-50.0
3,1,-66.66666666666666
13,1,-92.3076923076923
7,1,-85.71428571428571
1,1,0.0
4,1,-75.0
7,1,-85.71428571428571
2,1,-50.0
5,1,-80.0
3,1,-66.66666666666666
13,1,-92.3076923076923
1,1,0.0
3,1,-66.66666666666666
9,1,-88.88888888888889
13,1,-92.3076923076923
7,1,-85.71428571428571
17,1,-94.11764705882352
3,1,-66.66666666666666
5,1,-80.0
2,1,-50.0
11,1,-90.9090909090909
1,1,0.0
2,1,-50.0
6,1,-83.33333333333334
5,1,-80.0
1,1,0.0
2,1,-50.0
3,1,-66.66666666666666
4,1,-75.0
10,1,-90.0
3,1,-66.66666666666666
17,1,-94.11764705882352
14,1,-92.85714285714286
11,1,-90.9090909090909
2,1,-50.0
6,1,-83.33333333333334
1,1,0.0
6,1,-83.33333333333334
2,1,-50.0
1,1,0.0
1,1,0.0
5,1,-80.0
3,1,-66.66666666666666
5,1,-80.0
1,1,0.0
18,1,-94.44444444444444
2,1,-50.0
3,1,-66.66666666666666
1,1,0.0
5,1,-80.0
4,1,-75.0
19,1,-94.73684210526315
3,1,-66.66666666666666
1,1,0.0
1,1,0.0
2,1,-50.0
13,1,-92.3076923076923
2,1,-50.0
9,1,-88.88888888888889
8,1,-87.5
3,1,-66.66666666666666
2,1,-50.0
3,1,-66.66666666666666
5,1,-80.0
1,1,0.0
9,1,-88.88888888888889
1,1,0.0
5,1,-80.0
21,1,-95.23809523809523
2,1,-50.0
1,1,0.0
18,1,-94.44444444444444
14,1,-92.85714285714286
6,1,-83.33333333333334
6,1,-83.33333333333334
12,1,-91.66666666666666
7,1,-85.71428571428571
1,1,0.0
11,1,-90.9090909090909
4,1,-75.0
1,1,0.0
1,1,0.0
8,1,-87.5
6,1,-83.33333333333334
3,1,-66.66666666666666
21,1,-95.23809523809523
5,1,-80.0
8,1,-87.5
4,1,-75.0
3,1,-66.66666666666666
3,1,-66.66666666666666
1,1,0.0
7,1,-85.71428571428571
1,1,0.0
1,1,0.0
8,1,-87.5
7,1,-85.71428571428571
6,1,-83.33333333333334
