coverage_anchors,coverage_twostep,coverage_relative_%
40,24,-40.0
29,27,-6.896551724137931
28,19,-32.142857142857146
26,16,-38.46153846153847
29,13,-55.172413793103445
32,15,-53.125
3,1,-66.66666666666666
25,23,-8.0
23,17,-26.08695652173913
7,2,-71.42857142857143
1,1,0.0
4,1,-75.0
34,20,-41.17647058823529
4,3,-25.0
7,1,-85.71428571428571
28,19,-32.142857142857146
11,18,63.63636363636363
30,19,-36.666666666666664
34,21,-38.23529411764706
16,7,-56.25
1,1,0.0
6,2,-66.66666666666666
47,24,-48.93617021276596
36,14,-61.111111111111114
29,1,-96.55172413793103
1,1,0.0
30,12,-60.0
58,18,-68.96551724137932
1,1,0.0
28,19,-32.142857142857146
24,13,-45.83333333333333
36,2,-94.44444444444444
29,18,-37.93103448275862
3,1,-66.66666666666666
32,17,-46.875
2,2,0.0
1,2,100.0
25,12,-52.0
29,11,-62.06896551724138
6,3,-50.0
1,2,100.0
5,1,-80.0
2,2,0.0
10,3,-70.0
5,3,-40.0
26,22,-15.384615384615385
30,13,-56.666666666666664
27,20,-25.925925925925924
25,15,-40.0
29,20,-31.03448275862069
9,8,-11.11111111111111
34,26,-23.52941176470588
6,3,-50.0
5,2,-60.0
37,27,-27.027027027027028
1,1,0.0
2,3,50.0
35,18,-48.57142857142857
66,11,-83.33333333333334
26,16,-38.46153846153847
25,27,8.0
1,1,0.0
30,18,-40.0
1,1,0.0
29,28,-3.4482758620689653
11,14,27.27272727272727
22,18,-18.181818181818183
1,1,0.0
29,17,-41.37931034482759
30,13,-56.666666666666664
28,1,-96.42857142857143
33,16,-51.515151515151516
53,4,-92.45283018867924
51,21,-58.82352941176471
32,26,-18.75
33,20,-39.39393939393939
58,22,-62.06896551724138
25,10,-60.0
37,19,-48.64864864864865
1,4,300.0
21,15,-28.57142857142857
33,26,-21.21212121212121
28,16,-42.857142857142854
21,21,0.0
27,1,-96.29629629629629
35,22,-37.142857142857146
32,22,-31.25
10,11,10.0
9,1,-88.88888888888889
30,29,-3.3333333333333335
28,22,-21.428571428571427
23,22,-4.3478260869565215
27,18,-33.33333333333333
1,2,100.0
27,15,-44.44444444444444
27,18,-33.33333333333333
30,18,-40.0
28,15,-46.42857142857143
29,17,-41.37931034482759
30,16,-46.666666666666664
35,9,-74.28571428571429
2,2,0.0
58,17,-70.6896551724138
30,4,-86.66666666666667
31,21,-32.25806451612903
11,18,63.63636363636363
9,3,-66.66666666666666
2,3,50.0
36,13,-63.888888888888886
31,15,-51.61290322580645
8,15,87.5
1,3,200.0
54,24,-55.55555555555556
