coverage_onestep,coverage_twostep,coverage_relative_%
30,76,153.33333333333334
48,67,39.58333333333333
50,77,54.0
44,44,0.0
50,99,98.0
53,101,90.56603773584906
23,54,134.7826086956522
48,61,27.083333333333332
58,68,17.24137931034483
1,61,6000.0
1,50,4900.0
21,59,180.95238095238096
23,55,139.1304347826087
18,33,83.33333333333334
22,40,81.81818181818183
36,38,5.555555555555555
47,101,114.89361702127661
40,76,90.0
65,101,55.38461538461539
1,101,10000.0
16,44,175.0
21,46,119.04761904761905
22,22,0.0
1,101,10000.0
21,67,219.04761904761907
12,54,350.0
31,101,225.80645161290326
40,39,-2.5
10,38,280.0
28,54,92.85714285714286
30,45,50.0
28,48,71.42857142857143
60,79,31.666666666666664
10,37,270.0
32,66,106.25
1,29,2800.0
9,30,233.33333333333334
50,100,100.0
52,101,94.23076923076923
24,78,225.0
7,27,285.7142857142857
25,36,44.0
9,47,422.22222222222223
25,42,68.0
12,44,266.66666666666663
28,28,0.0
34,38,11.76470588235294
58,68,17.24137931034483
53,81,52.83018867924528
41,41,0.0
48,101,110.41666666666667
21,65,209.52380952380955
9,82,811.1111111111111
22,51,131.8181818181818
44,59,34.090909090909086
13,40,207.6923076923077
11,37,236.36363636363637
55,101,83.63636363636363
43,45,4.651162790697675
26,48,84.61538461538461
45,82,82.22222222222221
19,38,100.0
48,100,108.33333333333333
15,66,340.0
24,55,129.16666666666669
49,94,91.83673469387756
57,55,-3.508771929824561
15,34,126.66666666666666
47,86,82.97872340425532
30,100,233.33333333333334
23,30,30.434782608695656
53,88,66.0377358490566
40,39,-2.5
22,51,131.8181818181818
27,72,166.66666666666669
59,82,38.983050847457626
24,62,158.33333333333331
45,95,111.11111111111111
23,38,65.21739130434783
10,38,280.0
36,40,11.11111111111111
29,56,93.10344827586206
49,69,40.816326530612244
30,62,106.66666666666667
23,60,160.8695652173913
50,98,96.0
22,38,72.72727272727273
52,93,78.84615384615384
1,79,7800.0
30,63,110.00000000000001
50,78,56.00000000000001
48,86,79.16666666666666
52,101,94.23076923076923
18,47,161.11111111111111
24,84,250.0
27,61,125.92592592592592
46,96,108.69565217391303
35,54,54.285714285714285
42,72,71.42857142857143
41,47,14.634146341463413
1,101,10000.0
1,24,2300.0
23,55,139.1304347826087
30,53,76.66666666666667
54,78,44.44444444444444
54,101,87.03703703703704
16,35,118.75
17,48,182.35294117647058
24,70,191.66666666666669
51,87,70.58823529411765
24,62,158.33333333333331
5,71,1320.0
26,71,173.0769230769231
