coverage_anchors,coverage_twostep,coverage_relative_%
76,42,-44.73684210526316
66,46,-30.303030303030305
6,9,50.0
36,52,44.44444444444444
34,53,55.88235294117647
46,63,36.95652173913043
13,5,-61.53846153846154
12,13,8.333333333333332
6,2,-66.66666666666666
32,46,43.75
13,5,-61.53846153846154
57,22,-61.40350877192983
66,39,-40.909090909090914
38,54,42.10526315789473
66,43,-34.84848484848485
74,48,-35.13513513513514
12,7,-41.66666666666667
16,5,-68.75
19,6,-68.42105263157895
59,12,-79.66101694915254
8,10,25.0
70,42,-40.0
8,5,-37.5
67,34,-49.25373134328358
53,29,-45.28301886792453
15,10,-33.33333333333333
59,52,-11.864406779661017
1,1,0.0
75,40,-46.666666666666664
6,5,-16.666666666666664
66,47,-28.78787878787879
32,45,40.625
6,5,-16.666666666666664
62,30,-51.61290322580645
68,34,-50.0
28,14,-50.0
8,2,-75.0
13,11,-15.384615384615385
32,30,-6.25
5,2,-60.0
54,30,-44.44444444444444
7,7,0.0
30,50,66.66666666666666
1,9,800.0
23,10,-56.52173913043478
11,8,-27.27272727272727
11,6,-45.45454545454545
41,59,43.90243902439025
36,57,58.333333333333336
27,6,-77.77777777777779
3,7,133.33333333333331
8,3,-62.5
31,46,48.38709677419355
35,52,48.57142857142857
47,41,-12.76595744680851
61,44,-27.86885245901639
39,55,41.02564102564102
14,9,-35.714285714285715
16,8,-50.0
60,17,-71.66666666666667
10,2,-80.0
1,6,500.0
1,5,400.0
62,23,-62.903225806451616
71,33,-53.52112676056338
9,8,-11.11111111111111
2,5,150.0
4,1,-75.0
59,37,-37.28813559322034
39,57,46.15384615384615
18,2,-88.88888888888889
41,6,-85.36585365853658
28,45,60.71428571428571
15,3,-80.0
66,41,-37.878787878787875
20,6,-70.0
11,6,-45.45454545454545
48,64,33.33333333333333
32,45,40.625
4,5,25.0
11,2,-81.81818181818183
8,2,-75.0
15,3,-80.0
39,51,30.76923076923077
5,8,60.0
58,21,-63.793103448275865
15,5,-66.66666666666666
8,6,-25.0
65,44,-32.30769230769231
52,26,-50.0
6,2,-66.66666666666666
16,4,-75.0
34,52,52.94117647058824
65,30,-53.84615384615385
3,5,66.66666666666666
12,1,-91.66666666666666
7,4,-42.857142857142854
59,33,-44.06779661016949
4,5,25.0
22,10,-54.54545454545454
10,3,-70.0
73,54,-26.027397260273972
10,3,-70.0
59,29,-50.847457627118644
20,4,-80.0
3,2,-33.33333333333333
18,7,-61.111111111111114
7,6,-14.285714285714285
7,4,-42.857142857142854
41,48,17.073170731707318
13,5,-61.53846153846154
15,6,-60.0
61,39,-36.0655737704918
16,8,-50.0
59,28,-52.54237288135594
19,4,-78.94736842105263
8,3,-62.5
58,34,-41.37931034482759
17,12,-29.411764705882355
12,2,-83.33333333333334
3,3,0.0
10,4,-60.0
11,9,-18.181818181818183
66,42,-36.36363636363637
39,60,53.84615384615385
10,9,-10.0
2,6,200.0
64,27,-57.8125
61,29,-52.459016393442624
9,5,-44.44444444444444
70,31,-55.714285714285715
61,31,-49.18032786885246
59,36,-38.983050847457626
62,18,-70.96774193548387
10,5,-50.0
13,8,-38.46153846153847
55,24,-56.36363636363636
18,8,-55.55555555555556
20,4,-80.0
12,5,-58.333333333333336
3,3,0.0
64,15,-76.5625
36,49,36.11111111111111
15,7,-53.333333333333336
65,42,-35.38461538461539
25,6,-76.0
36,50,38.88888888888889
