coverage_onestep,coverage_twostep,coverage_relative_%
51,53,3.9215686274509802
51,56,9.803921568627452
23,38,65.21739130434783
101,101,0.0
101,101,0.0
101,101,0.0
12,12,0.0
18,21,16.666666666666664
6,11,83.33333333333334
101,101,0.0
10,12,20.0
29,36,24.137931034482758
49,55,12.244897959183673
101,101,0.0
68,71,4.411764705882353
99,99,0.0
24,32,33.33333333333333
16,22,37.5
32,37,15.625
15,14,-6.666666666666667
15,18,20.0
46,53,15.217391304347828
9,11,22.22222222222222
43,46,6.976744186046512
56,57,1.7857142857142856
46,50,8.695652173913043
47,53,12.76595744680851
10,12,20.0
68,68,0.0
20,46,130.0
58,58,0.0
101,101,0.0
18,22,22.22222222222222
56,57,1.7857142857142856
33,43,30.303030303030305
34,54,58.82352941176471
5,5,0.0
15,37,146.66666666666666
61,63,3.278688524590164
5,11,120.0
39,39,0.0
25,29,16.0
101,101,0.0
11,11,0.0
43,53,23.25581395348837
42,42,0.0
36,36,0.0
101,101,0.0
101,101,0.0
41,51,24.390243902439025
5,5,0.0
9,9,0.0
101,101,0.0
101,101,0.0
52,65,25.0
44,44,0.0
101,101,0.0
8,11,37.5
32,48,50.0
26,45,73.07692307692307
13,16,23.076923076923077
25,25,0.0
13,13,0.0
24,46,91.66666666666666
54,54,0.0
27,44,62.96296296296296
24,34,41.66666666666667
11,11,0.0
45,52,15.555555555555555
101,101,0.0
14,43,207.14285714285717
32,48,50.0
101,101,0.0
15,23,53.333333333333336
43,43,0.0
13,14,7.6923076923076925
19,27,42.10526315789473
101,101,0.0
101,101,0.0
5,5,0.0
20,20,0.0
16,23,43.75
11,18,63.63636363636363
101,101,0.0
22,41,86.36363636363636
30,56,86.66666666666667
32,34,6.25
21,29,38.095238095238095
60,66,10.0
42,42,0.0
24,21,-12.5
7,17,142.85714285714286
101,101,0.0
43,43,0.0
26,46,76.92307692307693
11,18,63.63636363636363
16,27,68.75
48,55,14.583333333333334
4,15,275.0
57,60,5.263157894736842
17,18,5.88235294117647
49,56,14.285714285714285
20,20,0.0
29,29,0.0
6,5,-16.666666666666664
15,15,0.0
22,22,0.0
15,15,0.0
7,36,414.28571428571433
101,101,0.0
22,31,40.909090909090914
5,5,0.0
54,55,1.8518518518518516
47,49,4.25531914893617
44,44,0.0
12,52,333.33333333333337
12,20,66.66666666666666
48,57,18.75
32,32,0.0
10,11,10.0
4,14,250.0
4,4,0.0
22,24,9.090909090909092
49,51,4.081632653061225
101,101,0.0
30,30,0.0
5,5,0.0
46,50,8.695652173913043
58,59,1.7241379310344827
20,23,15.0
43,48,11.627906976744185
25,48,92.0
42,40,-4.761904761904762
28,28,0.0
15,15,0.0
15,36,140.0
63,67,6.349206349206349
29,29,0.0
12,15,25.0
8,11,37.5
9,14,55.55555555555556
35,35,0.0
101,101,0.0
21,23,9.523809523809524
53,59,11.320754716981133
14,43,207.14285714285717
101,101,0.0
32,61,90.625
101,101,0.0
101,101,0.0
30,38,26.666666666666668
6,9,50.0
17,18,5.88235294117647
79,79,0.0
48,65,35.41666666666667
70,70,0.0
23,21,-8.695652173913043
53,64,20.754716981132077
46,52,13.043478260869565
7,7,0.0
101,101,0.0
55,62,12.727272727272727
30,30,0.0
59,68,15.254237288135593
16,20,25.0
30,31,3.3333333333333335
101,101,0.0
58,61,5.172413793103448
20,19,-5.0
22,27,22.727272727272727
7,7,0.0
42,46,9.523809523809524
18,21,16.666666666666664
25,33,32.0
23,37,60.86956521739131
18,18,0.0
14,31,121.42857142857142
54,65,20.37037037037037
48,60,25.0
12,10,-16.666666666666664
31,50,61.29032258064516
39,50,28.205128205128204
101,101,0.0
18,25,38.88888888888889
28,57,103.57142857142858
24,34,41.66666666666667
48,49,2.083333333333333
28,28,0.0
16,16,0.0
19,31,63.1578947368421
8,8,0.0
101,101,0.0
101,101,0.0
101,101,0.0
44,53,20.454545454545457
49,56,14.285714285714285
26,31,19.230769230769234
43,46,6.976744186046512
14,14,0.0
25,43,72.0
57,62,8.771929824561402
101,101,0.0
17,18,5.88235294117647
48,48,0.0
101,101,0.0
101,101,0.0
101,101,0.0
27,27,0.0
34,34,0.0
49,53,8.16326530612245
53,57,7.547169811320755
101,101,0.0
9,12,33.33333333333333
47,51,8.51063829787234
46,46,0.0
34,34,0.0
15,15,0.0
46,48,4.3478260869565215
29,31,6.896551724137931
5,7,40.0
33,44,33.33333333333333
101,101,0.0
40,44,10.0
101,101,0.0
101,101,0.0
47,51,8.51063829787234
101,101,0.0
11,11,0.0
50,50,0.0
25,33,32.0
30,35,16.666666666666664
30,29,-3.3333333333333335
40,40,0.0
26,31,19.230769230769234
34,38,11.76470588235294
43,40,-6.976744186046512
5,5,0.0
101,101,0.0
30,30,0.0
16,15,-6.25
42,44,4.761904761904762
101,101,0.0
54,55,1.8518518518518516
