coverage_anchors,coverage_twostep,coverage_relative_%
8,1,-87.5
28,2,-92.85714285714286
30,1,-96.66666666666667
63,1,-98.4126984126984
52,1,-98.07692307692307
12,1,-91.66666666666666
52,1,-98.07692307692307
58,1,-98.27586206896551
36,1,-97.22222222222221
47,1,-97.87234042553192
9,2,-77.77777777777779
55,1,-98.18181818181819
13,1,-92.3076923076923
4,1,-75.0
20,1,-95.0
58,1,-98.27586206896551
63,2,-96.82539682539682
68,3,-95.58823529411765
53,1,-98.11320754716981
24,1,-95.83333333333334
14,2,-85.71428571428571
60,5,-91.66666666666666
41,1,-97.5609756097561
57,1,-98.24561403508771
43,1,-97.67441860465115
37,3,-91.8918918918919
32,1,-96.875
25,1,-96.0
4,1,-75.0
40,1,-97.5
58,1,-98.27586206896551
47,1,-97.87234042553192
1,1,0.0
57,1,-98.24561403508771
55,1,-98.18181818181819
61,1,-98.36065573770492
24,1,-95.83333333333334
5,1,-80.0
77,1,-98.7012987012987
39,2,-94.87179487179486
57,1,-98.24561403508771
14,1,-92.85714285714286
31,4,-87.09677419354838
48,1,-97.91666666666666
47,1,-97.87234042553192
8,1,-87.5
48,1,-97.91666666666666
3,1,-66.66666666666666
11,1,-90.9090909090909
68,1,-98.52941176470588
66,2,-96.96969696969697
53,1,-98.11320754716981
43,1,-97.67441860465115
22,1,-95.45454545454545
18,1,-94.44444444444444
43,1,-97.67441860465115
9,1,-88.88888888888889
58,3,-94.82758620689656
13,5,-61.53846153846154
47,1,-97.87234042553192
55,2,-96.36363636363636
56,1,-98.21428571428571
11,1,-90.9090909090909
66,1,-98.48484848484848
10,1,-90.0
12,1,-91.66666666666666
33,1,-96.96969696969697
75,1,-98.66666666666667
52,1,-98.07692307692307
37,2,-94.5945945945946
55,1,-98.18181818181819
11,2,-81.81818181818183
49,1,-97.95918367346938
56,1,-98.21428571428571
46,1,-97.82608695652173
9,1,-88.88888888888889
17,1,-94.11764705882352
44,2,-95.45454545454545
40,1,-97.5
50,1,-98.0
56,1,-98.21428571428571
15,1,-93.33333333333333
34,1,-97.05882352941177
69,2,-97.10144927536231
52,1,-98.07692307692307
46,1,-97.82608695652173
37,1,-97.2972972972973
39,1,-97.43589743589743
54,1,-98.14814814814815
4,1,-75.0
37,1,-97.2972972972973
38,2,-94.73684210526315
20,1,-95.0
71,1,-98.59154929577466
2,1,-50.0
55,1,-98.18181818181819
49,3,-93.87755102040816
20,2,-90.0
2,1,-50.0
56,1,-98.21428571428571
7,1,-85.71428571428571
27,1,-96.29629629629629
31,1,-96.7741935483871
40,2,-95.0
51,1,-98.0392156862745
53,2,-96.22641509433963
20,1,-95.0
15,3,-80.0
28,1,-96.42857142857143
53,1,-98.11320754716981
53,3,-94.33962264150944
37,1,-97.2972972972973
6,1,-83.33333333333334
39,1,-97.43589743589743
49,1,-97.95918367346938
3,1,-66.66666666666666
48,1,-97.91666666666666
20,1,-95.0
22,1,-95.45454545454545
12,1,-91.66666666666666
51,1,-98.0392156862745
32,3,-90.625
10,1,-90.0
48,2,-95.83333333333334
23,1,-95.65217391304348
43,1,-97.67441860465115
10,1,-90.0
55,1,-98.18181818181819
11,1,-90.9090909090909
6,2,-66.66666666666666
36,1,-97.22222222222221
51,1,-98.0392156862745
40,1,-97.5
10,1,-90.0
94,1,-98.93617021276596
16,2,-87.5
5,1,-80.0
6,1,-83.33333333333334
53,1,-98.11320754716981
6,1,-83.33333333333334
57,2,-96.49122807017544
11,1,-90.9090909090909
5,1,-80.0
54,1,-98.14814814814815
41,1,-97.5609756097561
22,1,-95.45454545454545
52,1,-98.07692307692307
