coverage_onestep,coverage_twostep,coverage_relative_%
1,1,0.0
4,5,25.0
1,1,0.0
1,1,0.0
1,1,0.0
2,2,0.0
1,2,100.0
1,1,0.0
2,2,0.0
3,3,0.0
1,1,0.0
1,1,0.0
3,3,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
18,41,127.77777777777777
1,1,0.0
1,1,0.0
1,1,0.0
4,6,50.0
2,2,0.0
1,1,0.0
2,2,0.0
3,3,0.0
1,1,0.0
6,5,-16.666666666666664
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
1,1,0.0
4,4,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
2,2,0.0
1,1,0.0
1,1,0.0
3,3,0.0
1,1,0.0
1,1,0.0
1,1,0.0
2,1,-50.0
1,1,0.0
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
3,3,0.0
1,1,0.0
1,1,0.0
1,1,0.0
5,5,0.0
10,11,10.0
6,6,0.0
1,1,0.0
5,5,0.0
1,1,0.0
5,5,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
3,3,0.0
6,11,83.33333333333334
2,3,50.0
2,17,750.0
1,1,0.0
1,1,0.0
5,4,-20.0
1,1,0.0
1,1,0.0
2,2,0.0
2,2,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
11,14,27.27272727272727
1,1,0.0
8,11,37.5
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
12,17,41.66666666666667
5,9,80.0
1,1,0.0
1,1,0.0
1,1,0.0
9,8,-11.11111111111111
3,2,-33.33333333333333
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
5,5,0.0
1,1,0.0
3,4,33.33333333333333
1,1,0.0
2,6,200.0
1,1,0.0
1,1,0.0
14,14,0.0
1,1,0.0
1,1,0.0
2,2,0.0
13,13,0.0
1,1,0.0
1,1,0.0
1,1,0.0
5,5,0.0
1,1,0.0
1,1,0.0
6,5,-16.666666666666664
2,3,50.0
22,22,0.0
1,1,0.0
1,1,0.0
1,2,100.0
1,1,0.0
1,1,0.0
5,7,40.0
1,1,0.0
4,3,-25.0
1,1,0.0
10,30,200.0
1,1,0.0
4,4,0.0
2,2,0.0
1,1,0.0
1,1,0.0
1,1,0.0
4,4,0.0
10,8,-20.0
1,1,0.0
1,1,0.0
1,1,0.0
2,2,0.0
1,1,0.0
