coverage_anchors,coverage_twostep,coverage_relative_%
62,1,-98.38709677419355
44,1,-97.72727272727273
14,1,-92.85714285714286
32,1,-96.875
8,7,-12.5
54,1,-98.14814814814815
14,1,-92.85714285714286
8,4,-50.0
2,1,-50.0
18,1,-94.44444444444444
36,1,-97.22222222222221
17,5,-70.58823529411765
18,1,-94.44444444444444
20,1,-95.0
1,1,0.0
29,1,-96.55172413793103
9,3,-66.66666666666666
16,1,-93.75
31,1,-96.7741935483871
1,5,400.0
45,2,-95.55555555555556
18,1,-94.44444444444444
9,4,-55.55555555555556
1,1,0.0
5,1,-80.0
2,1,-50.0
24,2,-91.66666666666666
27,3,-88.88888888888889
10,3,-70.0
1,1,0.0
25,1,-96.0
1,3,200.0
11,4,-63.63636363636363
7,1,-85.71428571428571
9,1,-88.88888888888889
23,1,-95.65217391304348
55,1,-98.18181818181819
55,1,-98.18181818181819
55,2,-96.36363636363636
15,1,-93.33333333333333
27,1,-96.29629629629629
20,6,-70.0
50,2,-96.0
53,1,-98.11320754716981
8,2,-75.0
6,7,16.666666666666664
43,1,-97.67441860465115
2,1,-50.0
13,7,-46.15384615384615
28,1,-96.42857142857143
1,1,0.0
1,1,0.0
22,1,-95.45454545454545
47,2,-95.74468085106383
1,1,0.0
23,1,-95.65217391304348
3,1,-66.66666666666666
13,1,-92.3076923076923
3,2,-33.33333333333333
10,1,-90.0
56,1,-98.21428571428571
15,1,-93.33333333333333
23,1,-95.65217391304348
26,7,-73.07692307692307
21,1,-95.23809523809523
19,3,-84.21052631578947
20,2,-90.0
53,1,-98.11320754716981
14,2,-85.71428571428571
2,1,-50.0
22,1,-95.45454545454545
7,1,-85.71428571428571
19,1,-94.73684210526315
49,1,-97.95918367346938
6,1,-83.33333333333334
65,2,-96.92307692307692
14,1,-92.85714285714286
26,1,-96.15384615384616
56,1,-98.21428571428571
49,1,-97.95918367346938
12,1,-91.66666666666666
23,1,-95.65217391304348
4,4,0.0
57,1,-98.24561403508771
22,1,-95.45454545454545
40,1,-97.5
29,1,-96.55172413793103
53,1,-98.11320754716981
49,2,-95.91836734693877
1,1,0.0
18,2,-88.88888888888889
33,1,-96.96969696969697
1,1,0.0
2,1,-50.0
24,1,-95.83333333333334
51,1,-98.0392156862745
56,1,-98.21428571428571
1,1,0.0
16,1,-93.75
11,3,-72.72727272727273
55,1,-98.18181818181819
43,1,-97.67441860465115
10,2,-80.0
3,1,-66.66666666666666
1,1,0.0
16,1,-93.75
10,1,-90.0
31,1,-96.7741935483871
23,1,-95.65217391304348
1,1,0.0
22,1,-95.45454545454545
15,3,-80.0
70,1,-98.57142857142858
63,2,-96.82539682539682
26,1,-96.15384615384616
42,1,-97.61904761904762
22,1,-95.45454545454545
37,1,-97.2972972972973
51,1,-98.0392156862745
23,1,-95.65217391304348
15,1,-93.33333333333333
9,1,-88.88888888888889
24,1,-95.83333333333334
61,3,-95.08196721311475
29,2,-93.10344827586206
3,1,-66.66666666666666
1,1,0.0
6,1,-83.33333333333334
22,1,-95.45454545454545
1,1,0.0
17,1,-94.11764705882352
28,1,-96.42857142857143
9,1,-88.88888888888889
13,1,-92.3076923076923
54,1,-98.14814814814815
57,1,-98.24561403508771
19,1,-94.73684210526315
9,3,-66.66666666666666
62,1,-98.38709677419355
12,2,-83.33333333333334
63,2,-96.82539682539682
18,3,-83.33333333333334
19,1,-94.73684210526315
1,3,200.0
15,1,-93.33333333333333
20,1,-95.0
12,3,-75.0
20,1,-95.0
1,1,0.0
11,1,-90.9090909090909
3,1,-66.66666666666666
3,3,0.0
14,4,-71.42857142857143
1,1,0.0
8,2,-75.0
54,4,-92.5925925925926
6,1,-83.33333333333334
20,1,-95.0
13,7,-46.15384615384615
32,1,-96.875
17,1,-94.11764705882352
36,1,-97.22222222222221
13,4,-69.23076923076923
49,1,-97.95918367346938
6,1,-83.33333333333334
10,2,-80.0
1,1,0.0
31,1,-96.7741935483871
50,1,-98.0
58,1,-98.27586206896551
2,1,-50.0
2,6,200.0
8,1,-87.5
8,1,-87.5
53,1,-98.11320754716981
45,1,-97.77777777777777
8,1,-87.5
4,4,0.0
12,8,-33.33333333333333
1,5,400.0
46,1,-97.82608695652173
5,3,-40.0
16,1,-93.75
11,1,-90.9090909090909
28,1,-96.42857142857143
1,1,0.0
42,2,-95.23809523809523
58,1,-98.27586206896551
57,1,-98.24561403508771
8,1,-87.5
17,1,-94.11764705882352
9,6,-33.33333333333333
1,1,0.0
7,1,-85.71428571428571
6,5,-16.666666666666664
7,1,-85.71428571428571
3,1,-66.66666666666666
2,1,-50.0
66,1,-98.48484848484848
52,3,-94.23076923076923
47,1,-97.87234042553192
8,1,-87.5
10,1,-90.0
12,1,-91.66666666666666
18,1,-94.44444444444444
22,1,-95.45454545454545
8,5,-37.5
19,1,-94.73684210526315
13,1,-92.3076923076923
20,1,-95.0
56,2,-96.42857142857143
8,6,-25.0
60,1,-98.33333333333333
58,1,-98.27586206896551
13,6,-53.84615384615385
20,1,-95.0
16,3,-81.25
3,1,-66.66666666666666
16,5,-68.75
10,3,-70.0
6,1,-83.33333333333334
4,2,-50.0
23,1,-95.65217391304348
13,4,-69.23076923076923
17,2,-88.23529411764706
62,2,-96.7741935483871
1,1,0.0
31,1,-96.7741935483871
15,1,-93.33333333333333
35,1,-97.14285714285714
11,1,-90.9090909090909
61,1,-98.36065573770492
7,1,-85.71428571428571
11,6,-45.45454545454545
12,1,-91.66666666666666
54,1,-98.14814814814815
13,1,-92.3076923076923
15,1,-93.33333333333333
58,2,-96.55172413793103
13,7,-46.15384615384615
50,1,-98.0
61,2,-96.72131147540983
12,6,-50.0
6,4,-33.33333333333333
20,1,-95.0
1,1,0.0
22,6,-72.72727272727273
19,1,-94.73684210526315
1,1,0.0
54,1,-98.14814814814815
18,1,-94.44444444444444
21,3,-85.71428571428571
47,1,-97.87234042553192
32,1,-96.875
31,1,-96.7741935483871
39,1,-97.43589743589743
1,1,0.0
