coverage_onestep,coverage_twostep,coverage_relative_%
5,5,0.0
5,8,60.0
6,2,-66.66666666666666
5,10,100.0
14,22,57.14285714285714
2,4,100.0
1,3,200.0
10,18,80.0
6,6,0.0
2,3,50.0
4,4,0.0
29,29,0.0
1,7,600.0
4,9,125.0
1,1,0.0
1,6,500.0
24,25,4.166666666666666
4,13,225.0
3,3,0.0
7,8,14.285714285714285
9,13,44.44444444444444
1,3,200.0
4,4,0.0
1,5,400.0
5,5,0.0
4,3,-25.0
14,13,-7.142857142857142
21,23,9.523809523809524
4,5,25.0
1,1,0.0
3,15,400.0
8,9,12.5
15,13,-13.333333333333334
2,2,0.0
1,3,200.0
5,11,120.0
6,14,133.33333333333331
4,4,0.0
10,10,0.0
3,18,500.0
1,1,0.0
32,56,75.0
5,36,620.0
2,2,0.0
19,19,0.0
17,17,0.0
6,12,100.0
1,1,0.0
5,5,0.0
4,12,200.0
2,2,0.0
1,1,0.0
3,3,0.0
4,6,50.0
1,1,0.0
3,3,0.0
4,5,25.0
3,30,900.0
20,30,50.0
4,5,25.0
1,4,300.0
14,28,100.0
18,40,122.22222222222223
12,17,41.66666666666667
5,3,-40.0
11,33,200.0
3,11,266.66666666666663
4,34,750.0
24,24,0.0
1,1,0.0
1,1,0.0
1,1,0.0
4,24,500.0
7,6,-14.285714285714285
1,1,0.0
9,21,133.33333333333331
1,1,0.0
1,4,300.0
9,23,155.55555555555557
6,8,33.33333333333333
1,2,100.0
3,3,0.0
8,9,12.5
6,23,283.33333333333337
4,35,775.0
3,30,900.0
1,4,300.0
1,1,0.0
2,6,200.0
4,5,25.0
24,32,33.33333333333333
5,5,0.0
1,3,200.0
4,9,125.0
4,5,25.0
1,8,700.0
2,19,850.0
1,2,100.0
8,8,0.0
12,12,0.0
6,16,166.66666666666669
3,6,100.0
3,3,0.0
3,7,133.33333333333331
1,4,300.0
1,8,700.0
27,35,29.629629629629626
1,3,200.0
3,2,-33.33333333333333
2,4,100.0
7,17,142.85714285714286
22,22,0.0
10,42,320.0
9,14,55.55555555555556
3,12,300.0
4,23,475.0
2,21,950.0
4,7,75.0
10,23,130.0
4,4,0.0
2,3,50.0
1,2,100.0
2,7,250.0
7,11,57.14285714285714
2,4,100.0
6,7,16.666666666666664
1,1,0.0
11,21,90.9090909090909
2,2,0.0
11,8,-27.27272727272727
8,37,362.5
3,3,0.0
1,5,400.0
9,18,100.0
2,5,150.0
9,9,0.0
5,31,520.0
4,4,0.0
1,24,2300.0
3,3,0.0
4,5,25.0
9,13,44.44444444444444
3,34,1033.3333333333335
3,2,-33.33333333333333
2,13,550.0
9,8,-11.11111111111111
14,19,35.714285714285715
4,4,0.0
4,5,25.0
5,10,100.0
1,1,0.0
9,9,0.0
4,5,25.0
1,1,0.0
20,34,70.0
14,19,35.714285714285715
1,16,1500.0
6,6,0.0
23,23,0.0
2,7,250.0
4,4,0.0
1,11,1000.0
5,5,0.0
6,7,16.666666666666664
1,1,0.0
2,2,0.0
4,5,25.0
5,7,40.0
6,29,383.33333333333337
6,6,0.0
1,1,0.0
10,11,10.0
1,13,1200.0
14,22,57.14285714285714
7,19,171.42857142857142
13,16,23.076923076923077
1,2,100.0
12,15,25.0
6,6,0.0
6,6,0.0
4,5,25.0
31,36,16.129032258064516
5,4,-20.0
1,6,500.0
5,15,200.0
1,1,0.0
8,10,25.0
8,25,212.5
18,26,44.44444444444444
2,5,150.0
4,29,625.0
4,4,0.0
3,3,0.0
1,1,0.0
11,12,9.090909090909092
5,12,140.0
2,2,0.0
1,6,500.0
3,26,766.6666666666667
7,7,0.0
7,10,42.857142857142854
1,2,100.0
4,10,150.0
19,30,57.89473684210527
2,3,50.0
2,5,150.0
5,9,80.0
4,6,50.0
7,9,28.57142857142857
5,8,60.0
1,22,2100.0
14,17,21.428571428571427
3,4,33.33333333333333
8,9,12.5
5,5,0.0
2,5,150.0
9,11,22.22222222222222
5,5,0.0
5,5,0.0
14,14,0.0
3,3,0.0
7,10,42.857142857142854
4,5,25.0
7,7,0.0
10,10,0.0
6,8,33.33333333333333
3,3,0.0
1,1,0.0
3,3,0.0
2,5,150.0
1,3,200.0
1,5,400.0
2,6,200.0
32,52,62.5
7,6,-14.285714285714285
10,42,320.0
7,7,0.0
3,11,266.66666666666663
3,4,33.33333333333333
4,6,50.0
5,20,300.0
17,13,-23.52941176470588
10,16,60.0
14,17,21.428571428571427
1,3,200.0
13,23,76.92307692307693
8,9,12.5
4,12,200.0
1,1,0.0
1,8,700.0
1,7,600.0
6,5,-16.666666666666664
3,3,0.0
6,8,33.33333333333333
4,5,25.0
1,5,400.0
1,2,100.0
1,34,3300.0
3,6,100.0
6,7,16.666666666666664
3,24,700.0
5,5,0.0
8,12,50.0
7,11,57.14285714285714
4,18,350.0
3,3,0.0
2,6,200.0
5,12,140.0
26,28,7.6923076923076925
1,5,400.0
4,29,625.0
1,4,300.0
3,4,33.33333333333333
1,1,0.0
17,19,11.76470588235294
5,13,160.0
3,3,0.0
6,15,150.0
3,5,66.66666666666666
2,5,150.0
6,6,0.0
3,5,66.66666666666666
1,2,100.0
8,7,-12.5
3,3,0.0
2,6,200.0
5,4,-20.0
3,3,0.0
10,10,0.0
2,3,50.0
1,5,400.0
1,18,1700.0
1,21,2000.0
3,4,33.33333333333333
1,1,0.0
4,19,375.0
3,3,0.0
8,8,0.0
2,7,250.0
3,1,-66.66666666666666
5,23,360.0
11,11,0.0
2,1,-50.0
1,1,0.0
3,5,66.66666666666666
4,5,25.0
6,7,16.666666666666664
5,11,120.0
37,39,5.405405405405405
6,36,500.0
2,7,250.0
2,30,1400.0
1,3,200.0
6,5,-16.666666666666664
3,4,33.33333333333333
1,1,0.0
6,6,0.0
12,14,16.666666666666664
14,23,64.28571428571429
1,1,0.0
2,5,150.0
1,1,0.0
5,22,340.0
1,1,0.0
5,5,0.0
15,15,0.0
5,11,120.0
22,28,27.27272727272727
3,10,233.33333333333334
6,16,166.66666666666669
2,10,400.0
1,1,0.0
17,19,11.76470588235294
4,14,250.0
21,25,19.047619047619047
1,7,600.0
12,14,16.666666666666664
13,20,53.84615384615385
6,18,200.0
1,1,0.0
3,11,266.66666666666663
2,2,0.0
1,1,0.0
5,5,0.0
26,63,142.30769230769232
1,1,0.0
3,5,66.66666666666666
1,1,0.0
8,10,25.0
3,2,-33.33333333333333
2,3,50.0
2,3,50.0
4,4,0.0
17,17,0.0
1,3,200.0
15,17,13.333333333333334
6,6,0.0
5,7,40.0
3,3,0.0
10,11,10.0
5,6,20.0
16,21,31.25
4,6,50.0
2,1,-50.0
10,28,180.0
1,6,500.0
1,1,0.0
3,3,0.0
7,9,28.57142857142857
12,13,8.333333333333332
1,1,0.0
3,38,1166.6666666666665
3,7,133.33333333333331
1,1,0.0
7,7,0.0
2,4,100.0
7,15,114.28571428571428
10,13,30.0
12,12,0.0
16,18,12.5
4,12,200.0
1,1,0.0
2,12,500.0
55,60,9.090909090909092
2,11,450.0
1,3,200.0
36,40,11.11111111111111
1,7,600.0
5,26,420.0
1,4,300.0
19,32,68.42105263157895
1,2,100.0
3,3,0.0
3,3,0.0
1,1,0.0
4,3,-25.0
5,5,0.0
4,6,50.0
2,2,0.0
17,22,29.411764705882355
2,4,100.0
5,10,100.0
3,21,600.0
3,5,66.66666666666666
2,2,0.0
15,32,113.33333333333333
4,4,0.0
9,13,44.44444444444444
21,28,33.33333333333333
11,48,336.3636363636364
1,1,0.0
1,1,0.0
21,23,9.523809523809524
2,14,600.0
1,10,900.0
3,2,-33.33333333333333
5,8,60.0
1,2,100.0
1,9,800.0
2,2,0.0
13,21,61.53846153846154
1,1,0.0
9,38,322.22222222222223
10,18,80.0
6,7,16.666666666666664
5,5,0.0
23,43,86.95652173913044
1,6,500.0
10,17,70.0
10,10,0.0
1,4,300.0
2,10,400.0
2,12,500.0
8,15,87.5
2,6,200.0
3,3,0.0
2,2,0.0
6,6,0.0
5,5,0.0
6,10,66.66666666666666
4,4,0.0
4,5,25.0
1,10,900.0
1,3,200.0
7,15,114.28571428571428
1,4,300.0
2,10,400.0
3,3,0.0
11,12,9.090909090909092
4,22,450.0
3,9,200.0
17,28,64.70588235294117
2,3,50.0
3,3,0.0
4,9,125.0
1,3,200.0
12,12,0.0
11,18,63.63636363636363
1,4,300.0
4,3,-25.0
4,6,50.0
18,21,16.666666666666664
5,7,40.0
1,1,0.0
2,10,400.0
1,1,0.0
6,5,-16.666666666666664
2,12,500.0
2,2,0.0
2,17,750.0
7,7,0.0
1,1,0.0
7,7,0.0
10,10,0.0
2,4,100.0
4,6,50.0
4,10,150.0
10,10,0.0
4,4,0.0
6,6,0.0
1,1,0.0
2,2,0.0
11,38,245.45454545454547
10,30,200.0
4,11,175.0
4,7,75.0
7,8,14.285714285714285
7,11,57.14285714285714
2,2,0.0
4,38,850.0
14,20,42.857142857142854
35,35,0.0
6,6,0.0
3,4,33.33333333333333
1,2,100.0
5,5,0.0
1,7,600.0
1,1,0.0
4,4,0.0
11,26,136.36363636363635
2,3,50.0
1,4,300.0
6,7,16.666666666666664
10,27,170.0
10,11,10.0
9,22,144.44444444444443
1,1,0.0
5,8,60.0
1,2,100.0
2,2,0.0
4,8,100.0
8,8,0.0
3,6,100.0
6,19,216.66666666666666
3,14,366.66666666666663
7,13,85.71428571428571
6,17,183.33333333333331
2,9,350.0
1,2,100.0
6,19,216.66666666666666
7,8,14.285714285714285
2,3,50.0
7,7,0.0
2,8,300.0
6,6,0.0
4,6,50.0
1,4,300.0
10,11,10.0
3,3,0.0
1,1,0.0
4,4,0.0
2,3,50.0
1,1,0.0
1,1,0.0
9,54,500.0
1,29,2800.0
2,2,0.0
1,2,100.0
5,35,600.0
17,20,17.647058823529413
10,29,190.0
18,22,22.22222222222222
2,2,0.0
12,17,41.66666666666667
15,15,0.0
1,8,700.0
4,6,50.0
6,8,33.33333333333333
50,51,2.0
4,8,100.0
5,17,240.0
1,1,0.0
5,6,20.0
3,8,166.66666666666669
1,3,200.0
3,4,33.33333333333333
2,4,100.0
6,14,133.33333333333331
7,7,0.0
1,1,0.0
8,9,12.5
5,11,120.0
6,33,450.0
3,4,33.33333333333333
1,3,200.0
4,10,150.0
31,76,145.16129032258064
9,10,11.11111111111111
11,29,163.63636363636365
5,27,440.00000000000006
2,4,100.0
6,15,150.0
8,19,137.5
6,7,16.666666666666664
1,22,2100.0
3,24,700.0
