coverage_anchors,coverage_twostep,coverage_relative_%
1,1,0.0
3,1,-66.66666666666666
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
14,1,-92.85714285714286
1,1,0.0
5,1,-80.0
3,1,-66.66666666666666
3,1,-66.66666666666666
1,1,0.0
14,1,-92.85714285714286
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
17,1,-94.11764705882352
19,1,-94.73684210526315
2,1,-50.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
6,1,-83.33333333333334
36,1,-97.22222222222221
1,1,0.0
1,1,0.0
1,1,0.0
2,1,-50.0
5,1,-80.0
2,1,-50.0
1,1,0.0
1,1,0.0
1,1,0.0
2,1,-50.0
1,1,0.0
1,1,0.0
9,1,-88.88888888888889
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
2,1,-50.0
13,1,-92.3076923076923
7,1,-85.71428571428571
1,1,0.0
1,1,0.0
1,1,0.0
15,1,-93.33333333333333
1,1,0.0
1,1,0.0
1,1,0.0
11,1,-90.9090909090909
2,1,-50.0
2,1,-50.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
4,1,-75.0
1,1,0.0
2,1,-50.0
2,1,-50.0
1,1,0.0
6,1,-83.33333333333334
8,1,-87.5
2,1,-50.0
1,1,0.0
10,1,-90.0
4,1,-75.0
19,1,-94.73684210526315
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
4,1,-75.0
1,1,0.0
21,1,-95.23809523809523
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
10,1,-90.0
3,1,-66.66666666666666
6,1,-83.33333333333334
4,1,-75.0
1,1,0.0
1,1,0.0
14,1,-92.85714285714286
1,1,0.0
1,1,0.0
1,1,0.0
2,1,-50.0
7,1,-85.71428571428571
1,1,0.0
1,1,0.0
1,1,0.0
4,1,-75.0
1,1,0.0
13,1,-92.3076923076923
1,1,0.0
11,1,-90.9090909090909
1,1,0.0
20,1,-95.0
2,1,-50.0
1,1,0.0
1,1,0.0
2,1,-50.0
1,1,0.0
1,1,0.0
6,1,-83.33333333333334
3,1,-66.66666666666666
3,1,-66.66666666666666
4,1,-75.0
13,1,-92.3076923076923
1,1,0.0
1,1,0.0
2,1,-50.0
1,1,0.0
1,1,0.0
1,1,0.0
2,1,-50.0
1,1,0.0
4,1,-75.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
1,1,0.0
3,1,-66.66666666666666
1,1,0.0
1,1,0.0
30,1,-96.66666666666667
10,1,-90.0
1,1,0.0
1,1,0.0
1,1,0.0
7,1,-85.71428571428571
5,1,-80.0
1,1,0.0
1,1,0.0
1,1,0.0
